cell_id,Pterocles alchata,Pterocles alchata alchata,Pterocles alchata caudacutus
832033fffffffff,11.0,0.0,0.0
832c90fffffffff,5.0,0.0,0.0
832c91fffffffff,12.0,0.0,0.0
832c93fffffffff,9.0,0.0,0.0
832c9bfffffffff,1.0,0.0,0.0
832ca0fffffffff,1.0,0.0,0.0
832cc0fffffffff,2.0,0.0,0.0
832da8fffffffff,5.0,0.0,0.0
832dabfffffffff,16.0,0.0,0.0
832db2fffffffff,4.0,0.0,0.0
832db6fffffffff,14.0,0.0,2.0
833873fffffffff,2.0,0.0,0.0
833900fffffffff,115.0,70.0,0.0
833903fffffffff,30.0,11.0,0.0
833908fffffffff,6.0,2.0,0.0
833909fffffffff,7.0,0.0,0.0
83390cfffffffff,40.0,4.0,0.0
83390dfffffffff,1.0,0.0,0.0
83390efffffffff,13.0,3.0,0.0
83391efffffffff,12.0,1.0,0.0
83392afffffffff,35.0,1.0,0.0
83392efffffffff,11.0,0.0,0.0
833956fffffffff,74.0,4.0,0.0
833968fffffffff,4.0,0.0,0.0
833970fffffffff,30.0,25.0,0.0
833971fffffffff,25.0,21.0,0.0
833973fffffffff,10.0,0.0,0.0
833974fffffffff,14.0,5.0,0.0
833976fffffffff,4.0,0.0,0.0
833988fffffffff,12.0,0.0,1.0
833e68fffffffff,3.0,0.0,0.0
833e6cfffffffff,34.0,0.0,0.0
8342ebfffffffff,1.0,0.0,0.0
8343a1fffffffff,5.0,0.0,0.0
