cell_id,Leucocarbo chalconotus,Leucocarbo chalconotus chalconotus,Leucocarbo chalconotus stewarti
84da841ffffffff,2.0,0.0,0.0
84da843ffffffff,5.0,1.0,0.0
84da847ffffffff,4.0,4.0,0.0
84da861ffffffff,1.0,0.0,0.0
84da867ffffffff,7.0,0.0,0.0
84da86bffffffff,25.0,8.0,0.0
84daaa1ffffffff,34.0,0.0,34.0
84daaa3ffffffff,1.0,0.0,1.0
84daaa7ffffffff,4.0,0.0,2.0
84daaa9ffffffff,6.0,0.0,4.0
84daaabffffffff,26.0,0.0,20.0
84dab35ffffffff,5.0,1.0,0.0
