cell_id,Pyrrhura roseifrons,Pyrrhura roseifrons peruviana/dilutissima,Pyrrhura roseifrons parvifrons,Pyrrhura roseifrons roseifrons
838a45fffffffff,7.0,0.0,0.0,0.0
838a55fffffffff,1.0,0.0,0.0,0.0
838a63fffffffff,44.0,0.0,0.0,5.0
838a6dfffffffff,55.0,0.0,0.0,1.0
838a6efffffffff,3.0,0.0,0.0,0.0
838b40fffffffff,2.0,0.0,0.0,1.0
838b44fffffffff,51.0,0.0,0.0,4.0
838b45fffffffff,4.0,0.0,0.0,2.0
838b48fffffffff,5.0,0.0,0.0,0.0
838b5dfffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,4.0,0.0,0.0,0.0
838b62fffffffff,3.0,0.0,0.0,0.0
838b63fffffffff,206.0,0.0,0.0,22.0
838b69fffffffff,9.0,0.0,0.0,0.0
838b6cfffffffff,7.0,0.0,0.0,0.0
838b6dfffffffff,1.0,0.0,0.0,0.0
838b6efffffffff,85.0,0.0,0.0,8.0
838b70fffffffff,2.0,0.0,0.0,2.0
838b71fffffffff,18.0,0.0,0.0,1.0
838b74fffffffff,97.0,0.0,0.0,4.0
838e64fffffffff,3.0,0.0,0.0,0.0
838e65fffffffff,3.0,3.0,0.0,0.0
838f40fffffffff,60.0,0.0,24.0,0.0
838f42fffffffff,1.0,0.0,0.0,0.0
838f43fffffffff,78.0,0.0,11.0,0.0
838f48fffffffff,7.0,0.0,0.0,0.0
838f4afffffffff,15.0,0.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0,0.0
838f4cfffffffff,2.0,0.0,0.0,0.0
838f4dfffffffff,1.0,0.0,0.0,0.0
838f5dfffffffff,5.0,0.0,0.0,0.0
838f61fffffffff,9.0,0.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0,1.0
838f6bfffffffff,10.0,0.0,0.0,0.0
838f6efffffffff,1.0,0.0,0.0,1.0
838f71fffffffff,2.0,0.0,0.0,0.0
838f73fffffffff,3.0,1.0,0.0,0.0
