cell_id,Scotocerca inquieta,Scotocerca inquieta saharae/theresae,Scotocerca inquieta [inquieta Group]
832016fffffffff,4.0,0.0,0.0
8320b3fffffffff,2.0,0.0,0.0
8320f5fffffffff,3.0,0.0,0.0
832182fffffffff,1.0,0.0,0.0
832183fffffffff,1.0,0.0,0.0
832189fffffffff,2.0,0.0,0.0
83218bfffffffff,9.0,0.0,0.0
83218dfffffffff,2.0,0.0,0.0
83218efffffffff,1.0,0.0,0.0
832198fffffffff,12.0,0.0,0.0
832199fffffffff,4.0,0.0,2.0
83219cfffffffff,11.0,0.0,1.0
83219dfffffffff,4.0,0.0,0.0
83219efffffffff,1.0,0.0,0.0
8321b5fffffffff,2.0,0.0,0.0
832c82fffffffff,4.0,0.0,0.0
832c83fffffffff,2.0,0.0,0.0
832c89fffffffff,4.0,0.0,0.0
832c8efffffffff,5.0,0.0,0.0
832c9efffffffff,1.0,0.0,0.0
832caafffffffff,2.0,0.0,0.0
832cc1fffffffff,2.0,0.0,0.0
832cc2fffffffff,14.0,0.0,0.0
832cc3fffffffff,43.0,0.0,0.0
832ccbfffffffff,2.0,0.0,0.0
832ccefffffffff,7.0,0.0,0.0
832cd4fffffffff,37.0,0.0,0.0
832cd5fffffffff,21.0,0.0,0.0
832cd6fffffffff,2.0,0.0,0.0
832cd8fffffffff,2.0,0.0,0.0
832cd9fffffffff,5.0,0.0,0.0
832cdcfffffffff,7.0,0.0,0.0
832cddfffffffff,43.0,0.0,0.0
832cf0fffffffff,6.0,0.0,0.0
832cf3fffffffff,21.0,0.0,0.0
832cf4fffffffff,2.0,0.0,0.0
832d86fffffffff,1.0,0.0,0.0
832db0fffffffff,54.0,0.0,13.0
832db2fffffffff,505.0,0.0,119.0
832db3fffffffff,3.0,0.0,0.0
832db6fffffffff,26.0,0.0,7.0
833816fffffffff,59.0,0.0,0.0
833832fffffffff,1.0,0.0,0.0
833842fffffffff,3.0,0.0,0.0
833843fffffffff,13.0,0.0,0.0
83384afffffffff,9.0,0.0,0.0
83384efffffffff,2.0,0.0,0.0
83385cfffffffff,1.0,0.0,0.0
83385dfffffffff,1.0,0.0,0.0
833876fffffffff,1.0,0.0,0.0
833988fffffffff,7.0,0.0,0.0
833989fffffffff,133.0,10.0,0.0
83398afffffffff,1.0,0.0,0.0
83398bfffffffff,6.0,0.0,0.0
83398efffffffff,4.0,0.0,0.0
833992fffffffff,7.0,0.0,0.0
833993fffffffff,38.0,1.0,0.0
833e58fffffffff,1.0,0.0,0.0
833e62fffffffff,4.0,0.0,0.0
833e68fffffffff,457.0,0.0,61.0
833e6afffffffff,41.0,0.0,0.0
833e6bfffffffff,2.0,0.0,0.0
833e6cfffffffff,1252.0,0.0,250.0
833e6dfffffffff,34.0,0.0,0.0
833ee9fffffffff,6.0,0.0,0.0
833fa5fffffffff,1.0,0.0,0.0
834220fffffffff,2.0,0.0,0.0
834225fffffffff,25.0,0.0,0.0
834230fffffffff,2.0,0.0,0.0
834300fffffffff,3.0,0.0,0.0
834304fffffffff,4.0,0.0,0.0
83430afffffffff,5.0,0.0,0.0
83430efffffffff,3.0,0.0,0.0
834316fffffffff,3.0,0.0,0.0
83431efffffffff,22.0,0.0,0.0
834323fffffffff,3.0,0.0,0.0
834326fffffffff,9.0,0.0,0.0
83432cfffffffff,2.0,0.0,0.0
834331fffffffff,10.0,0.0,0.0
834336fffffffff,2.0,0.0,0.0
834354fffffffff,3.0,0.0,0.0
834360fffffffff,21.0,0.0,0.0
834361fffffffff,6.0,0.0,0.0
834362fffffffff,6.0,0.0,0.0
834363fffffffff,4.0,0.0,0.0
834364fffffffff,2.0,0.0,0.0
834365fffffffff,4.0,0.0,0.0
834381fffffffff,27.0,0.0,0.0
83438cfffffffff,24.0,0.0,0.0
8343a8fffffffff,5.0,0.0,1.0
8343a9fffffffff,6.0,0.0,0.0
8343acfffffffff,100.0,0.0,16.0
8343adfffffffff,2.0,0.0,0.0
8343aefffffffff,7.0,0.0,0.0
835202fffffffff,16.0,0.0,0.0
835206fffffffff,27.0,0.0,0.0
835215fffffffff,2.0,0.0,0.0
83521bfffffffff,1.0,0.0,0.0
83521cfffffffff,2.0,0.0,0.0
835230fffffffff,8.0,0.0,0.0
835233fffffffff,1.0,0.0,0.0
835234fffffffff,8.0,0.0,0.0
835313fffffffff,4.0,0.0,0.0
83531afffffffff,3.0,0.0,0.0
83531bfffffffff,1.0,0.0,0.0
835332fffffffff,3.0,0.0,0.0
835336fffffffff,3.0,0.0,0.0
835354fffffffff,3.0,0.0,0.0
835510fffffffff,2.0,2.0,0.0
835512fffffffff,2.0,2.0,0.0
835530fffffffff,1.0,0.0,0.0
835532fffffffff,2.0,0.0,0.0
835534fffffffff,6.0,1.0,0.0
836332fffffffff,8.0,0.0,0.0
