cell_id,Ortalis ruficauda,Ortalis ruficauda ruficrissa,Ortalis ruficauda ruficauda
835e62fffffffff,1.0,0.0,0.0
835e65fffffffff,3.0,0.0,2.0
835e71fffffffff,7.0,0.0,0.0
835f41fffffffff,3.0,0.0,0.0
835f43fffffffff,1.0,0.0,0.0
835f48fffffffff,41.0,0.0,1.0
835f49fffffffff,7.0,0.0,0.0
835f4afffffffff,61.0,0.0,0.0
835f4bfffffffff,66.0,0.0,0.0
835f4efffffffff,16.0,0.0,0.0
835f5bfffffffff,1465.0,0.0,66.0
835f5dfffffffff,19.0,0.0,0.0
836609fffffffff,34.0,0.0,0.0
83660bfffffffff,9.0,0.0,0.0
83660cfffffffff,58.0,0.0,0.0
83660dfffffffff,117.0,0.0,0.0
836620fffffffff,717.0,80.0,0.0
836621fffffffff,132.0,8.0,0.0
836622fffffffff,23.0,0.0,0.0
836623fffffffff,11.0,2.0,0.0
836625fffffffff,381.0,40.0,0.0
836628fffffffff,49.0,0.0,0.0
836629fffffffff,62.0,0.0,0.0
83662bfffffffff,100.0,0.0,3.0
83662cfffffffff,4.0,0.0,0.0
83662dfffffffff,16.0,0.0,0.0
83662efffffffff,55.0,0.0,0.0
836631fffffffff,10.0,0.0,0.0
836650fffffffff,1.0,0.0,0.0
836652fffffffff,3.0,0.0,0.0
836654fffffffff,143.0,0.0,1.0
836656fffffffff,467.0,0.0,4.0
836664fffffffff,37.0,0.0,0.0
836666fffffffff,1.0,0.0,0.0
836670fffffffff,63.0,0.0,4.0
836671fffffffff,3.0,0.0,0.0
836672fffffffff,461.0,0.0,20.0
836673fffffffff,34.0,0.0,0.0
836674fffffffff,8.0,0.0,0.0
836675fffffffff,69.0,0.0,0.0
836676fffffffff,18.0,0.0,0.0
8366e1fffffffff,6.0,0.0,0.0
8366e3fffffffff,13.0,0.0,0.0
8366e5fffffffff,71.0,0.0,0.0
8366ecfffffffff,12.0,0.0,0.0
836741fffffffff,1803.0,0.0,19.0
836742fffffffff,113.0,0.0,4.0
836743fffffffff,679.0,0.0,8.0
83674afffffffff,195.0,0.0,15.0
83674cfffffffff,2355.0,0.0,40.0
83674dfffffffff,8.0,0.0,0.0
83674efffffffff,806.0,0.0,0.0
836751fffffffff,177.0,0.0,0.0
836752fffffffff,9.0,0.0,0.0
836753fffffffff,217.0,0.0,0.0
836755fffffffff,12.0,0.0,0.0
836756fffffffff,2.0,0.0,0.0
836758fffffffff,17.0,0.0,0.0
836759fffffffff,98.0,0.0,6.0
83675afffffffff,139.0,0.0,0.0
83675bfffffffff,10.0,0.0,0.0
83675cfffffffff,360.0,0.0,0.0
83675dfffffffff,22.0,0.0,0.0
83675efffffffff,175.0,0.0,0.0
