cell_id,Lamprotornis chloropterus,Lamprotornis chloropterus chloropterus,Lamprotornis chloropterus elisabeth
825287fffffffff,8.0,0.0,0.0
82529ffffffffff,40.0,15.0,0.0
8252b7fffffffff,1.0,0.0,0.0
825407fffffffff,1.0,1.0,0.0
82541ffffffffff,182.0,24.0,0.0
825447fffffffff,2.0,0.0,0.0
8254affffffffff,158.0,33.0,0.0
8254c7fffffffff,2.0,0.0,0.0
8254e7fffffffff,21.0,4.0,0.0
8254f7fffffffff,81.0,15.0,0.0
825857fffffffff,1.0,0.0,0.0
82585ffffffffff,1.0,0.0,0.0
825897fffffffff,11.0,3.0,0.0
8258a7fffffffff,2.0,0.0,0.0
8258cffffffffff,7.0,3.0,0.0
8258e7fffffffff,36.0,20.0,0.0
825987fffffffff,2.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0
82599ffffffffff,11.0,3.0,0.0
826a47fffffffff,13.0,0.0,0.0
826a4ffffffffff,8.0,0.0,0.0
826a5ffffffffff,55.0,1.0,0.0
826a67fffffffff,2.0,0.0,0.0
826a6ffffffffff,16.0,0.0,0.0
826ac7fffffffff,10.0,0.0,0.0
826acffffffffff,61.0,5.0,0.0
826ae7fffffffff,5.0,0.0,0.0
826aeffffffffff,270.0,59.0,0.0
826b17fffffffff,4.0,0.0,0.0
826bb7fffffffff,1.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0
827527fffffffff,78.0,10.0,0.0
82752ffffffffff,6.0,2.0,0.0
827537fffffffff,4.0,0.0,0.0
827577fffffffff,23.0,0.0,0.0
827a4ffffffffff,132.0,8.0,0.0
827acffffffffff,38.0,8.0,0.0
827adffffffffff,11.0,1.0,0.0
827aeffffffffff,11.0,0.0,0.0
827b4ffffffffff,1.0,0.0,1.0
827b5ffffffffff,1.0,0.0,1.0
827b6ffffffffff,14.0,0.0,5.0
829607fffffffff,32.0,0.0,23.0
82960ffffffffff,14.0,0.0,7.0
829617fffffffff,3.0,0.0,3.0
829627fffffffff,16.0,0.0,10.0
82962ffffffffff,75.0,0.0,44.0
829637fffffffff,6.0,0.0,3.0
829687fffffffff,6.0,0.0,4.0
82968ffffffffff,2.0,0.0,2.0
8296a7fffffffff,27.0,0.0,17.0
8296affffffffff,4.0,0.0,2.0
8296b7fffffffff,90.0,0.0,56.0
829707fffffffff,5.0,0.0,0.0
82970ffffffffff,11.0,0.0,2.0
829717fffffffff,32.0,0.0,30.0
82971ffffffffff,52.0,0.0,38.0
829757fffffffff,67.0,0.0,57.0
82975ffffffffff,10.0,0.0,4.0
829777fffffffff,1.0,0.0,0.0
82978ffffffffff,19.0,0.0,8.0
8297affffffffff,12.0,0.0,2.0
