cell_id,Molothrus aeneus,Molothrus aeneus [aeneus Group],Molothrus aeneus armenti
8226d7fffffffff,10.0,0.0,0.0
8226dffffffffff,197.0,0.0,0.0
8229a7fffffffff,12.0,0.0,0.0
8229b7fffffffff,359.0,0.0,0.0
824417fffffffff,172.0,0.0,0.0
824427fffffffff,5.0,2.0,0.0
824447fffffffff,677.0,0.0,0.0
824457fffffffff,203.0,0.0,0.0
824467fffffffff,106.0,0.0,0.0
82446ffffffffff,1894.0,0.0,0.0
824477fffffffff,1228.0,0.0,0.0
8244a7fffffffff,838.0,0.0,0.0
8244affffffffff,146.0,0.0,0.0
824507fffffffff,530.0,12.0,0.0
82450ffffffffff,5624.0,818.0,0.0
82451ffffffffff,69.0,10.0,0.0
824527fffffffff,3711.0,48.0,0.0
82452ffffffffff,5006.0,205.0,0.0
824537fffffffff,551.0,0.0,0.0
82456ffffffffff,2.0,0.0,0.0
824577fffffffff,429.0,79.0,0.0
824807fffffffff,194.0,0.0,0.0
82480ffffffffff,463.0,0.0,0.0
824817fffffffff,93.0,0.0,0.0
82481ffffffffff,44.0,0.0,0.0
824837fffffffff,3063.0,81.0,0.0
824857fffffffff,145.0,0.0,0.0
82485ffffffffff,190.0,0.0,0.0
824887fffffffff,2323.0,10.0,0.0
82488ffffffffff,1226.0,0.0,0.0
824897fffffffff,4223.0,2.0,0.0
82489ffffffffff,1427.0,0.0,0.0
8248a7fffffffff,1155.0,66.0,0.0
8248affffffffff,243.0,0.0,0.0
8248b7fffffffff,13431.0,333.0,0.0
8248c7fffffffff,1904.0,0.0,0.0
8248cffffffffff,7.0,0.0,0.0
8248d7fffffffff,268.0,0.0,0.0
8248e7fffffffff,196.0,0.0,0.0
8248effffffffff,8346.0,0.0,0.0
8248f7fffffffff,358.0,0.0,0.0
824987fffffffff,1549.0,56.0,0.0
82498ffffffffff,169.0,0.0,0.0
824997fffffffff,8785.0,657.0,0.0
82499ffffffffff,537.0,14.0,0.0
8249a7fffffffff,52.0,0.0,0.0
8249affffffffff,2488.0,80.0,0.0
8249b7fffffffff,1210.0,23.0,0.0
826607fffffffff,7.0,0.0,0.0
826617fffffffff,9.0,2.0,0.0
826627fffffffff,317.0,0.0,114.0
826637fffffffff,5.0,0.0,0.0
8266a7fffffffff,388.0,12.0,0.0
8266b7fffffffff,6009.0,73.0,0.0
826797fffffffff,15.0,0.0,0.0
82679ffffffffff,471.0,0.0,0.0
826d07fffffffff,489.0,104.0,0.0
826d17fffffffff,274.0,31.0,0.0
826d27fffffffff,1236.0,151.0,0.0
826d2ffffffffff,5548.0,827.0,0.0
826d37fffffffff,2899.0,296.0,0.0
826d67fffffffff,3560.0,0.0,0.0
826d6ffffffffff,6967.0,0.0,0.0
826d77fffffffff,997.0,10.0,0.0
