cell_id,Buteo buteo,Buteo buteo buteo,Buteo buteo arrigonii,Buteo buteo rothschildi,Buteo buteo insularum,Buteo buteo bannermani,Buteo buteo vulpinus/menetriesi
8408123ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408137ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408165ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408805ffffffff,19.0,2.0,0.0,0.0,0.0,0.0,0.0
8408809ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
840880bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,74.0,3.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,48.0,8.0,0.0,0.0,0.0,0.0,0.0
840882bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840882dffffffff,19.0,7.0,0.0,0.0,0.0,0.0,0.0
8408837ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8408839ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408841ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408843ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408845ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8408847ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840884bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840884dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408851ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408855ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8408861ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,32.0,4.0,0.0,0.0,0.0,0.0,0.0
8408865ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,104.0,3.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,112.0,11.0,0.0,0.0,0.0,0.0,0.0
840886dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408881ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
840888bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84088a1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84088a9ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84088adffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84088e1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84088e7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408901ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840890dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8408959ffffffff,31.0,2.0,0.0,0.0,0.0,0.0,0.0
840895bffffffff,60.0,10.0,0.0,0.0,0.0,0.0,0.0
8408963ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408965ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408985ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8408987ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840898bffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8408991ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408995ffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8408997ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
840899dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a1ffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a9ffffffff,98.0,1.0,0.0,0.0,0.0,0.0,0.0
84089abffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
84089adffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
84089b1ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84089b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089b7ffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
84089bbffffffff,67.0,2.0,0.0,0.0,0.0,0.0,0.0
84089bdffffffff,16.0,1.0,0.0,0.0,0.0,0.0,2.0
84089cbffffffff,5.0,4.0,0.0,0.0,0.0,0.0,0.0
84089d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d3ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d9ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
84089dbffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
