cell_id,Tunchiornis ochraceiceps,Tunchiornis ochraceiceps [ochraceiceps Group],Tunchiornis ochraceiceps ferrugineifrons/viridior,Tunchiornis ochraceiceps luteifrons,Tunchiornis ochraceiceps rubrifrons/lutescens
824507fffffffff,60.0,0.0,0.0,0.0,0.0
82450ffffffffff,267.0,0.0,0.0,0.0,0.0
824527fffffffff,1573.0,0.0,0.0,0.0,0.0
82452ffffffffff,5400.0,80.0,0.0,0.0,0.0
824537fffffffff,455.0,0.0,0.0,0.0,0.0
825f07fffffffff,59.0,0.0,0.0,0.0,0.0
825f0ffffffffff,2.0,0.0,0.0,0.0,0.0
825f17fffffffff,21.0,0.0,0.0,9.0,0.0
825f2ffffffffff,49.0,0.0,0.0,0.0,0.0
825f47fffffffff,8.0,0.0,0.0,0.0,0.0
825f6ffffffffff,11.0,0.0,0.0,0.0,0.0
825f77fffffffff,19.0,2.0,0.0,0.0,0.0
826617fffffffff,112.0,9.0,0.0,0.0,0.0
82661ffffffffff,11.0,0.0,0.0,0.0,0.0
826647fffffffff,4.0,0.0,0.0,0.0,0.0
82664ffffffffff,5.0,0.0,0.0,0.0,0.0
82665ffffffffff,29.0,0.0,0.0,0.0,0.0
82666ffffffffff,17.0,0.0,0.0,0.0,0.0
8266a7fffffffff,126.0,11.0,0.0,0.0,0.0
8266b7fffffffff,2270.0,2.0,0.0,0.0,0.0
8266c7fffffffff,20.0,0.0,0.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0,0.0,0.0
8266d7fffffffff,242.0,10.0,0.0,0.0,0.0
8266dffffffffff,141.0,9.0,10.0,0.0,0.0
8266e7fffffffff,6.0,0.0,0.0,0.0,0.0
8266f7fffffffff,25.0,0.0,0.0,0.0,0.0
826797fffffffff,96.0,0.0,0.0,0.0,0.0
82679ffffffffff,28.0,0.0,0.0,0.0,0.0
826d27fffffffff,51.0,4.0,0.0,0.0,0.0
826d2ffffffffff,340.0,69.0,0.0,0.0,0.0
826d37fffffffff,70.0,2.0,0.0,0.0,0.0
826d67fffffffff,513.0,0.0,0.0,0.0,0.0
826d6ffffffffff,3159.0,0.0,0.0,0.0,0.0
82804ffffffffff,2.0,0.0,0.0,0.0,0.0
828067fffffffff,9.0,0.0,0.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0,0.0,0.0
828077fffffffff,1.0,0.0,0.0,0.0,0.0
82814ffffffffff,42.0,0.0,0.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0,0.0,0.0
828a07fffffffff,7.0,0.0,0.0,0.0,0.0
828a17fffffffff,28.0,0.0,0.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0,0.0,0.0
828a47fffffffff,12.0,0.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0,0.0
828a6ffffffffff,26.0,0.0,0.0,0.0,0.0
828a87fffffffff,7.0,0.0,0.0,0.0,0.0
828a97fffffffff,3.0,0.0,0.0,0.0,0.0
828a9ffffffffff,15.0,0.0,0.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0,0.0,0.0
828af7fffffffff,354.0,0.0,0.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0,0.0,0.0
828b2ffffffffff,11.0,0.0,0.0,0.0,0.0
828b47fffffffff,114.0,0.0,0.0,0.0,0.0
828b4ffffffffff,10.0,0.0,0.0,0.0,0.0
828b67fffffffff,46.0,0.0,0.0,0.0,0.0
828b6ffffffffff,31.0,0.0,0.0,0.0,0.0
828b77fffffffff,29.0,0.0,0.0,0.0,0.0
828b9ffffffffff,88.0,0.0,0.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,104.0,0.0,0.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0,0.0,0.0
828f67fffffffff,5.0,0.0,0.0,0.0,0.0
828f6ffffffffff,4.0,0.0,0.0,0.0,0.0
828f77fffffffff,8.0,0.0,0.0,0.0,0.0
82a85ffffffffff,2.0,0.0,0.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0,0.0,0.0
