cell_id,Leucosticte arctoa,Leucosticte arctoa [arctoa Group],Leucosticte arctoa brunneonucha/gigliolii
83058cfffffffff,3.0,0.0,0.0
831590fffffffff,2.0,0.0,0.0
831598fffffffff,10.0,0.0,0.0
83159bfffffffff,1.0,0.0,0.0
8316a5fffffffff,1.0,0.0,0.0
831743fffffffff,2.0,0.0,0.0
831750fffffffff,6.0,0.0,0.0
83175cfffffffff,10.0,0.0,0.0
832049fffffffff,2.0,0.0,0.0
83204cfffffffff,1.0,0.0,0.0
83204dfffffffff,1.0,0.0,0.0
83206bfffffffff,2.0,0.0,0.0
832400fffffffff,1.0,0.0,0.0
832406fffffffff,2.0,0.0,0.0
832426fffffffff,31.0,0.0,0.0
83246afffffffff,2.0,0.0,0.0
832512fffffffff,5.0,0.0,0.0
832515fffffffff,1.0,0.0,0.0
832516fffffffff,3.0,0.0,0.0
832532fffffffff,1.0,0.0,0.0
832545fffffffff,2.0,0.0,0.0
832559fffffffff,6.0,0.0,0.0
83255afffffffff,3.0,0.0,0.0
83255bfffffffff,1.0,0.0,0.0
8325a1fffffffff,1.0,0.0,0.0
832e12fffffffff,32.0,0.0,0.0
832e13fffffffff,48.0,0.0,0.0
832e18fffffffff,1.0,0.0,0.0
832e19fffffffff,9.0,0.0,0.0
832e1afffffffff,1.0,0.0,0.0
832e1bfffffffff,6.0,0.0,0.0
832e29fffffffff,1.0,0.0,0.0
832e44fffffffff,3.0,0.0,0.0
832e60fffffffff,1.0,0.0,0.0
832e66fffffffff,1.0,0.0,0.0
832e75fffffffff,10.0,0.0,0.0
832ea8fffffffff,9.0,0.0,0.0
832eacfffffffff,63.0,0.0,0.0
832eadfffffffff,12.0,0.0,0.0
832f5afffffffff,1.0,0.0,0.0
8330e8fffffffff,7.0,0.0,0.0
83316cfffffffff,1.0,0.0,0.0
