cell_id,Dryobates pubescens,Dryobates pubescens pubescens/medianus,Dryobates pubescens leucurus/glacialis,Dryobates pubescens gairdnerii/turati
820c17fffffffff,2.0,0.0,0.0,0.0
820c1ffffffffff,2.0,0.0,0.0,0.0
820c27fffffffff,2.0,0.0,0.0,0.0
820c47fffffffff,825.0,0.0,0.0,0.0
820c57fffffffff,269.0,0.0,0.0,0.0
820c5ffffffffff,231.0,0.0,0.0,0.0
820c67fffffffff,28.0,0.0,0.0,0.0
820c6ffffffffff,6.0,0.0,0.0,0.0
820c77fffffffff,2968.0,10.0,0.0,0.0
820ceffffffffff,13.0,0.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0
820d5ffffffffff,307.0,17.0,0.0,0.0
820e4ffffffffff,1507.0,0.0,0.0,0.0
820e5ffffffffff,19.0,0.0,0.0,0.0
820e6ffffffffff,7.0,0.0,0.0,0.0
820e9ffffffffff,2.0,0.0,0.0,0.0
820ecffffffffff,637.0,9.0,0.0,0.0
820edffffffffff,39.0,3.0,0.0,0.0
820eeffffffffff,156.0,0.0,0.0,0.0
821207fffffffff,2.0,0.0,0.0,0.0
82120ffffffffff,5.0,0.0,0.0,0.0
821217fffffffff,2.0,0.0,0.0,0.0
82121ffffffffff,139.0,0.0,0.0,0.0
821227fffffffff,2.0,0.0,0.0,0.0
82122ffffffffff,12.0,0.0,0.0,0.0
821237fffffffff,9.0,0.0,0.0,0.0
821247fffffffff,19.0,0.0,0.0,0.0
82124ffffffffff,63.0,0.0,0.0,0.0
821257fffffffff,820.0,111.0,0.0,0.0
82125ffffffffff,1179.0,0.0,0.0,0.0
82126ffffffffff,7.0,0.0,0.0,0.0
821277fffffffff,121.0,4.0,0.0,0.0
821287fffffffff,220.0,0.0,0.0,3.0
82128ffffffffff,1076.0,0.0,0.0,0.0
821297fffffffff,2.0,0.0,0.0,0.0
82129ffffffffff,15.0,0.0,0.0,1.0
8212a7fffffffff,6.0,0.0,0.0,0.0
8212affffffffff,799.0,0.0,0.0,0.0
8212b7fffffffff,145.0,0.0,0.0,0.0
8212c7fffffffff,1545.0,0.0,0.0,0.0
8212cffffffffff,23232.0,0.0,9.0,0.0
8212d7fffffffff,2289.0,0.0,0.0,0.0
8212dffffffffff,5485.0,0.0,64.0,0.0
8212e7fffffffff,1164.0,33.0,0.0,0.0
8212effffffffff,8640.0,95.0,0.0,0.0
8212f7fffffffff,388.0,0.0,0.0,0.0
821387fffffffff,1568.0,0.0,0.0,0.0
82138ffffffffff,11.0,0.0,0.0,0.0
821397fffffffff,27.0,0.0,0.0,0.0
82139ffffffffff,53.0,0.0,0.0,0.0
8213b7fffffffff,302.0,0.0,0.0,0.0
821aa7fffffffff,211.0,0.0,0.0,0.0
821b87fffffffff,6.0,0.0,0.0,0.0
821b8ffffffffff,2.0,0.0,0.0,0.0
821b97fffffffff,7.0,0.0,0.0,0.0
821b9ffffffffff,325.0,0.0,0.0,0.0
821bb7fffffffff,3.0,0.0,0.0,0.0
821d27fffffffff,5.0,0.0,0.0,0.0
822607fffffffff,3355.0,412.0,0.0,0.0
82260ffffffffff,10095.0,445.0,0.0,0.0
822617fffffffff,1030.0,17.0,0.0,0.0
82261ffffffffff,1172.0,102.0,0.0,0.0
822627fffffffff,15457.0,716.0,0.0,0.0
82262ffffffffff,25503.0,805.0,0.0,0.0
822637fffffffff,1600.0,253.0,0.0,0.0
822647fffffffff,24821.0,2810.0,0.0,0.0
82264ffffffffff,22448.0,249.0,0.0,0.0
822657fffffffff,34868.0,1474.0,0.0,0.0
