cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
8480301ffffffff,3.0,0.0,3.0
84811a3ffffffff,2.0,0.0,2.0
8481ad1ffffffff,1.0,0.0,1.0
848b201ffffffff,4.0,4.0,0.0
848b203ffffffff,4.0,4.0,0.0
848b20bffffffff,4.0,4.0,0.0
848b241ffffffff,2.0,2.0,0.0
848b251ffffffff,6.0,6.0,0.0
848b259ffffffff,4.0,4.0,0.0
848b25dffffffff,4.0,4.0,0.0
84a94e5ffffffff,1.0,0.0,0.0
84a96d9ffffffff,3.0,0.0,0.0
84b25cdffffffff,7.0,1.0,0.0
84b2613ffffffff,22.0,0.0,0.0
84b2687ffffffff,3.0,0.0,0.0
84b268dffffffff,5.0,0.0,0.0
84b26b1ffffffff,7.0,0.0,0.0
84b26b9ffffffff,3.0,0.0,0.0
84b26bdffffffff,12.0,0.0,0.0
84b26c5ffffffff,2.0,0.0,0.0
84b26c7ffffffff,2.0,0.0,0.0
84b270dffffffff,4.0,0.0,0.0
84b3423ffffffff,39.0,0.0,0.0
84b342bffffffff,2.0,0.0,0.0
84b3481ffffffff,2.0,0.0,0.0
84b348bffffffff,2.0,0.0,0.0
84b34c1ffffffff,4.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0
84b34dbffffffff,1.0,0.0,0.0
84b3513ffffffff,5.0,0.0,0.0
84b35cdffffffff,5.0,0.0,0.0
84b35ddffffffff,1.0,1.0,0.0
84b3699ffffffff,1.0,0.0,0.0
84b36b5ffffffff,1.0,0.0,0.0
84c2e3bffffffff,2.0,0.0,0.0
84c3215ffffffff,2.0,0.0,0.0
84c328dffffffff,4.0,0.0,0.0
84c3297ffffffff,4.0,0.0,0.0
84c32adffffffff,2.0,0.0,0.0
84c32b3ffffffff,4.0,0.0,0.0
84c32e1ffffffff,30.0,0.0,0.0
84c3401ffffffff,1.0,0.0,0.0
84c3505ffffffff,4.0,0.0,0.0
84c350dffffffff,2.0,0.0,0.0
84c353dffffffff,1.0,0.0,0.0
84c3569ffffffff,1.0,0.0,0.0
84c371bffffffff,4.0,0.0,0.0
84c376dffffffff,4.0,0.0,0.0
