cell_id,Anthus correndera,Anthus correndera [correndera Group],Anthus correndera grayi
828b2ffffffffff,5.0,0.0,0.0
828b6ffffffffff,6.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0
828e67fffffffff,80.0,0.0,0.0
828f5ffffffffff,9.0,0.0,0.0
82a907fffffffff,280.0,0.0,0.0
82a90ffffffffff,2.0,0.0,0.0
82a927fffffffff,2.0,0.0,0.0
82a92ffffffffff,65.0,0.0,0.0
82b207fffffffff,58.0,0.0,0.0
82b20ffffffffff,4.0,0.0,0.0
82b21ffffffffff,835.0,0.0,0.0
82b227fffffffff,23.0,0.0,0.0
82b22ffffffffff,6.0,0.0,0.0
82b247fffffffff,96.0,0.0,0.0
82b24ffffffffff,143.0,0.0,0.0
82b25ffffffffff,87.0,0.0,0.0
82b267fffffffff,8.0,0.0,0.0
82b26ffffffffff,46.0,0.0,0.0
82b277fffffffff,15.0,0.0,0.0
82b2c7fffffffff,4292.0,72.0,0.0
82b2cffffffffff,48.0,0.0,0.0
82b2dffffffffff,601.0,0.0,0.0
82b2e7fffffffff,469.0,0.0,0.0
82b2effffffffff,81.0,0.0,0.0
82b307fffffffff,3.0,0.0,0.0
82b30ffffffffff,45.0,0.0,0.0
82b327fffffffff,31.0,0.0,0.0
82b32ffffffffff,9.0,0.0,0.0
82b337fffffffff,4.0,0.0,0.0
82b347fffffffff,4.0,0.0,0.0
82b357fffffffff,20.0,0.0,0.0
82b35ffffffffff,12.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0
82c207fffffffff,13.0,0.0,0.0
82c21ffffffffff,696.0,0.0,0.0
82c227fffffffff,20.0,0.0,0.0
82c22ffffffffff,123.0,0.0,0.0
82c2c7fffffffff,190.0,0.0,0.0
82c2cffffffffff,16.0,0.0,0.0
82c2d7fffffffff,80.0,2.0,0.0
82c2dffffffffff,10.0,0.0,0.0
82c2e7fffffffff,348.0,0.0,0.0
82c2effffffffff,300.0,0.0,0.0
82c2f7fffffffff,177.0,0.0,0.0
82c307fffffffff,11.0,0.0,0.0
82c30ffffffffff,7.0,0.0,0.0
82c327fffffffff,90.0,0.0,0.0
82c32ffffffffff,45.0,0.0,0.0
82c347fffffffff,24.0,0.0,0.0
82c34ffffffffff,136.0,0.0,0.0
82c357fffffffff,44.0,3.0,0.0
82c35ffffffffff,9.0,0.0,0.0
82c367fffffffff,17.0,0.0,0.0
82c36ffffffffff,3.0,0.0,0.0
82c377fffffffff,3.0,0.0,0.0
82ce17fffffffff,3.0,0.0,0.0
82ce87fffffffff,326.0,0.0,0.0
82ce8ffffffffff,352.0,0.0,0.0
82ce97fffffffff,23.0,0.0,0.0
82ce9ffffffffff,308.0,0.0,0.0
82cea7fffffffff,71.0,0.0,0.0
82ceaffffffffff,1282.0,0.0,0.0
82ceb7fffffffff,2.0,0.0,0.0
82cf17fffffffff,362.0,41.0,0.0
82cf87fffffffff,30.0,0.0,0.0
82cf8ffffffffff,222.0,5.0,0.0
82cf97fffffffff,4.0,0.0,0.0
82cf9ffffffffff,37.0,0.0,0.0
82cfa7fffffffff,1828.0,52.0,0.0
82cfaffffffffff,420.0,14.0,0.0
82cfb7fffffffff,2.0,0.0,0.0
82de67fffffffff,65.0,0.0,16.0
82de77fffffffff,261.0,0.0,40.0
82df47fffffffff,568.0,115.0,0.0
82df4ffffffffff,12.0,2.0,0.0
82df6ffffffffff,1784.0,258.0,0.0
