cell_id,Muscicapa dauurica,Muscicapa dauurica dauurica,Muscicapa dauurica poonensis/siamensis
820a37fffffffff,1.0,0.0,0.0
82148ffffffffff,18.0,0.0,0.0
82149ffffffffff,11.0,0.0,0.0
8214affffffffff,26.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0
82158ffffffffff,6.0,0.0,0.0
821597fffffffff,6.0,0.0,0.0
82159ffffffffff,1.0,0.0,0.0
822407fffffffff,5.0,0.0,0.0
82240ffffffffff,11.0,0.0,0.0
822427fffffffff,5.0,0.0,0.0
82242ffffffffff,18.0,0.0,0.0
822437fffffffff,3.0,0.0,0.0
822447fffffffff,3.0,0.0,0.0
82244ffffffffff,11.0,0.0,0.0
822457fffffffff,73.0,0.0,0.0
82245ffffffffff,2.0,0.0,0.0
822467fffffffff,54.0,0.0,0.0
82246ffffffffff,2.0,0.0,0.0
822477fffffffff,12.0,0.0,0.0
82250ffffffffff,1.0,0.0,0.0
822517fffffffff,5.0,0.0,0.0
822547fffffffff,26.0,0.0,0.0
82255ffffffffff,32.0,0.0,0.0
8225affffffffff,1.0,0.0,0.0
822e0ffffffffff,33.0,0.0,0.0
822e17fffffffff,14.0,0.0,0.0
822e1ffffffffff,29.0,0.0,0.0
822e47fffffffff,1.0,0.0,0.0
822e4ffffffffff,2.0,0.0,0.0
822e67fffffffff,21.0,0.0,0.0
822e6ffffffffff,69.0,0.0,0.0
822e77fffffffff,81.0,0.0,0.0
822e8ffffffffff,20.0,0.0,0.0
822eaffffffffff,36.0,0.0,0.0
822ec7fffffffff,6.0,0.0,0.0
822ecffffffffff,15.0,0.0,0.0
822ed7fffffffff,5.0,0.0,0.0
822edffffffffff,3.0,0.0,0.0
822ef7fffffffff,2.0,0.0,0.0
822f5ffffffffff,37.0,0.0,0.0
823007fffffffff,1.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0
82301ffffffffff,76.0,0.0,0.0
823027fffffffff,5.0,0.0,0.0
823037fffffffff,105.0,0.0,0.0
823087fffffffff,83.0,0.0,0.0
823097fffffffff,17.0,0.0,0.0
82309ffffffffff,666.0,2.0,0.0
8230affffffffff,4.0,0.0,0.0
8230b7fffffffff,2.0,0.0,0.0
8230c7fffffffff,24.0,0.0,0.0
8230d7fffffffff,7.0,0.0,0.0
8230dffffffffff,3.0,0.0,0.0
8230e7fffffffff,227.0,0.0,0.0
8230effffffffff,1.0,0.0,0.0
8230f7fffffffff,11.0,0.0,0.0
823137fffffffff,3.0,0.0,0.0
82316ffffffffff,45.0,0.0,0.0
823187fffffffff,56.0,0.0,0.0
82318ffffffffff,358.0,0.0,0.0
8231a7fffffffff,1.0,0.0,0.0
8231affffffffff,72.0,0.0,0.0
823c07fffffffff,4.0,0.0,0.0
823c0ffffffffff,2.0,0.0,0.0
823c17fffffffff,3.0,0.0,0.0
823c1ffffffffff,7.0,0.0,0.0
823c37fffffffff,12.0,0.0,0.0
823c87fffffffff,5.0,0.0,0.0
823c8ffffffffff,78.0,0.0,0.0
823c97fffffffff,93.0,0.0,0.0
823caffffffffff,8.0,0.0,0.0
823cb7fffffffff,43.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0
823ccffffffffff,2.0,0.0,0.0
823cdffffffffff,26.0,0.0,0.0
823ce7fffffffff,27.0,0.0,0.0
823cf7fffffffff,40.0,0.0,0.0
823d17fffffffff,115.0,0.0,0.0
