cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
824507fffffffff,769.0,2.0,0.0
82450ffffffffff,1801.0,120.0,0.0
82451ffffffffff,2.0,0.0,0.0
824527fffffffff,5630.0,23.0,0.0
82452ffffffffff,18615.0,740.0,0.0
824537fffffffff,1366.0,0.0,0.0
824577fffffffff,11.0,5.0,0.0
824997fffffffff,117.0,18.0,0.0
82499ffffffffff,4.0,0.0,0.0
82660ffffffffff,84.0,0.0,0.0
826617fffffffff,1401.0,127.0,0.0
82661ffffffffff,326.0,4.0,0.0
8266a7fffffffff,10213.0,658.0,0.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,10462.0,22.0,0.0
8266d7fffffffff,2280.0,0.0,285.0
8266e7fffffffff,19.0,0.0,0.0
8266f7fffffffff,192.0,7.0,0.0
826797fffffffff,366.0,0.0,0.0
82679ffffffffff,3738.0,12.0,0.0
8267b7fffffffff,11.0,0.0,0.0
826d07fffffffff,128.0,32.0,0.0
826d27fffffffff,954.0,186.0,0.0
826d2ffffffffff,1808.0,397.0,0.0
826d37fffffffff,851.0,166.0,0.0
826d67fffffffff,1958.0,0.0,0.0
826d6ffffffffff,26414.0,0.0,0.0
826d77fffffffff,199.0,0.0,0.0
828f0ffffffffff,620.0,0.0,79.0
828f27fffffffff,2.0,0.0,0.0
828f2ffffffffff,837.0,0.0,78.0
828f77fffffffff,3.0,0.0,0.0
