cell_id,Machaeropterus striolatus,Machaeropterus striolatus [striolatus Group],Machaeropterus striolatus aureopectus
835f75fffffffff,51.0,3.0,2.0
836604fffffffff,1.0,0.0,0.0
836608fffffffff,626.0,3.0,0.0
836609fffffffff,14.0,0.0,0.0
83660afffffffff,441.0,8.0,0.0
83660cfffffffff,13.0,0.0,0.0
83660dfffffffff,30.0,0.0,0.0
83660efffffffff,3.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0
836618fffffffff,14.0,2.0,0.0
836619fffffffff,1442.0,83.0,0.0
83661bfffffffff,384.0,1.0,0.0
83661cfffffffff,91.0,0.0,0.0
83661dfffffffff,239.0,3.0,0.0
83661efffffffff,147.0,0.0,0.0
836629fffffffff,11.0,0.0,0.0
83662dfffffffff,58.0,0.0,0.0
83662efffffffff,5.0,0.0,0.0
836641fffffffff,5.0,0.0,0.0
836652fffffffff,9.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0
836656fffffffff,31.0,0.0,0.0
83665afffffffff,139.0,16.0,0.0
83665bfffffffff,90.0,11.0,0.0
83665efffffffff,2.0,0.0,0.0
836663fffffffff,9.0,0.0,0.0
83666cfffffffff,4.0,0.0,0.0
83666efffffffff,1.0,0.0,0.0
8366c0fffffffff,91.0,0.0,0.0
8366c1fffffffff,2.0,0.0,0.0
8366c2fffffffff,217.0,9.0,0.0
8366c3fffffffff,10.0,2.0,0.0
8366c5fffffffff,66.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0
8366c9fffffffff,11.0,0.0,0.0
8366cdfffffffff,2.0,2.0,0.0
8366cefffffffff,49.0,6.0,0.0
8366d1fffffffff,302.0,0.0,0.0
8366d8fffffffff,30.0,8.0,0.0
8366dafffffffff,39.0,7.0,0.0
8366dbfffffffff,7.0,0.0,0.0
8366dcfffffffff,120.0,25.0,0.0
8366ddfffffffff,12.0,2.0,0.0
8366defffffffff,311.0,68.0,0.0
8366e0fffffffff,89.0,5.0,0.0
8366e1fffffffff,64.0,0.0,0.0
8366e3fffffffff,77.0,9.0,0.0
8366e4fffffffff,92.0,0.0,0.0
8366e5fffffffff,343.0,0.0,0.0
8366e6fffffffff,14.0,5.0,0.0
8366e8fffffffff,3.0,0.0,0.0
8366eafffffffff,11.0,0.0,0.0
8366ecfffffffff,190.0,0.0,0.0
8366eefffffffff,266.0,6.0,0.0
8366f1fffffffff,129.0,3.0,0.0
8366f5fffffffff,105.0,0.0,0.0
83675afffffffff,16.0,0.0,0.0
83675cfffffffff,1.0,0.0,0.0
83675efffffffff,30.0,0.0,0.0
838a45fffffffff,9.0,0.0,0.0
838a63fffffffff,40.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,49.0,0.0,0.0
838a6dfffffffff,102.0,14.0,0.0
838a70fffffffff,7.0,0.0,0.0
838b69fffffffff,14.0,0.0,0.0
838f44fffffffff,15.0,3.0,0.0
838f48fffffffff,8.0,0.0,0.0
838f61fffffffff,37.0,3.0,0.0
838f65fffffffff,10.0,0.0,0.0
838f6bfffffffff,42.0,19.0,0.0
838f6efffffffff,2.0,0.0,0.0
838f71fffffffff,25.0,3.0,0.0
838f72fffffffff,96.0,29.0,0.0
838f74fffffffff,28.0,3.0,0.0
838f76fffffffff,19.0,0.0,0.0
