cell_id,Geranospiza caerulescens,Geranospiza caerulescens [nigra Group],Geranospiza caerulescens caerulescens,Geranospiza caerulescens gracilis/flexipes
824507fffffffff,33.0,0.0,0.0,0.0
82450ffffffffff,678.0,79.0,0.0,0.0
82451ffffffffff,1.0,1.0,0.0,0.0
824527fffffffff,124.0,0.0,0.0,0.0
82452ffffffffff,843.0,7.0,0.0,0.0
824537fffffffff,58.0,0.0,0.0,0.0
824577fffffffff,108.0,16.0,0.0,0.0
824807fffffffff,11.0,0.0,0.0,0.0
82480ffffffffff,126.0,0.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0,0.0
824837fffffffff,565.0,16.0,0.0,0.0
824997fffffffff,63.0,2.0,0.0,0.0
82499ffffffffff,37.0,0.0,0.0,0.0
8249a7fffffffff,11.0,0.0,0.0,0.0
8249affffffffff,102.0,0.0,0.0,0.0
8249b7fffffffff,2.0,0.0,0.0,0.0
825f0ffffffffff,38.0,0.0,0.0,0.0
825f17fffffffff,7.0,0.0,0.0,0.0
825f1ffffffffff,11.0,0.0,0.0,0.0
825f2ffffffffff,141.0,0.0,0.0,0.0
825f47fffffffff,21.0,0.0,1.0,0.0
825f4ffffffffff,12.0,0.0,0.0,0.0
825f57fffffffff,7.0,0.0,0.0,0.0
825f6ffffffffff,13.0,0.0,0.0,0.0
825f77fffffffff,8.0,0.0,0.0,0.0
826607fffffffff,221.0,0.0,0.0,0.0
82660ffffffffff,72.0,0.0,0.0,0.0
826617fffffffff,1290.0,121.0,0.0,0.0
82661ffffffffff,58.0,0.0,0.0,0.0
826627fffffffff,495.0,0.0,0.0,0.0
82662ffffffffff,61.0,0.0,4.0,0.0
826637fffffffff,129.0,0.0,0.0,0.0
826647fffffffff,149.0,0.0,0.0,0.0
826657fffffffff,163.0,0.0,0.0,0.0
82665ffffffffff,16.0,0.0,0.0,0.0
826667fffffffff,52.0,0.0,2.0,0.0
82666ffffffffff,3.0,0.0,3.0,0.0
826677fffffffff,141.0,0.0,1.0,0.0
8266a7fffffffff,982.0,42.0,0.0,0.0
8266b7fffffffff,307.0,0.0,0.0,0.0
8266c7fffffffff,99.0,0.0,0.0,0.0
8266cffffffffff,11.0,0.0,0.0,0.0
8266d7fffffffff,102.0,3.0,0.0,0.0
8266dffffffffff,536.0,0.0,92.0,0.0
8266e7fffffffff,410.0,0.0,0.0,0.0
8266effffffffff,154.0,0.0,0.0,0.0
826747fffffffff,66.0,0.0,0.0,0.0
82674ffffffffff,104.0,0.0,4.0,0.0
826757fffffffff,200.0,0.0,0.0,0.0
82675ffffffffff,113.0,0.0,2.0,0.0
826797fffffffff,3.0,0.0,0.0,0.0
