cell_id,Sclerurus scansor,Sclerurus scansor cearensis,Sclerurus scansor scansor
8480021ffffffff,14.0,11.0,0.0
8480023ffffffff,2.0,2.0,0.0
8480027ffffffff,6.0,6.0,0.0
848002dffffffff,3.0,1.0,0.0
8480101ffffffff,60.0,41.0,0.0
8480105ffffffff,3.0,3.0,0.0
8480109ffffffff,198.0,155.0,0.0
8480155ffffffff,2.0,2.0,0.0
8480301ffffffff,2.0,0.0,0.0
8480309ffffffff,15.0,9.0,0.0
848030dffffffff,4.0,3.0,0.0
8480363ffffffff,46.0,36.0,0.0
8481303ffffffff,5.0,3.0,0.0
8481339ffffffff,50.0,30.0,0.0
8481363ffffffff,8.0,0.0,0.0
84a8001ffffffff,2.0,0.0,2.0
84a8009ffffffff,5.0,0.0,0.0
84a8019ffffffff,3.0,0.0,2.0
84a8049ffffffff,17.0,0.0,0.0
84a804bffffffff,1.0,0.0,0.0
84a804dffffffff,18.0,0.0,3.0
84a8057ffffffff,2.0,0.0,2.0
84a805dffffffff,6.0,0.0,0.0
84a8061ffffffff,6.0,0.0,4.0
84a8067ffffffff,154.0,0.0,54.0
84a8069ffffffff,21.0,0.0,0.0
84a8101ffffffff,23.0,0.0,11.0
84a8103ffffffff,13.0,0.0,4.0
84a8105ffffffff,153.0,0.0,17.0
84a8107ffffffff,145.0,0.0,38.0
84a8109ffffffff,16.0,0.0,8.0
84a810bffffffff,89.0,0.0,16.0
84a810dffffffff,8.0,0.0,3.0
84a811dffffffff,1.0,0.0,1.0
84a8123ffffffff,7.0,0.0,3.0
84a8125ffffffff,39.0,0.0,16.0
84a8127ffffffff,27.0,0.0,0.0
84a8129ffffffff,24.0,0.0,10.0
84a812dffffffff,26.0,0.0,11.0
84a8139ffffffff,3.0,0.0,0.0
84a8143ffffffff,4.0,0.0,4.0
84a8151ffffffff,5.0,0.0,0.0
84a8153ffffffff,33.0,0.0,24.0
84a8155ffffffff,78.0,0.0,29.0
84a8157ffffffff,93.0,0.0,22.0
84a815bffffffff,249.0,0.0,63.0
84a8167ffffffff,17.0,0.0,11.0
84a81cdffffffff,27.0,0.0,0.0
84a81d9ffffffff,15.0,0.0,6.0
84a81e1ffffffff,3.0,0.0,3.0
84a81e9ffffffff,10.0,0.0,2.0
84a8203ffffffff,6.0,0.0,0.0
84a8207ffffffff,2.0,0.0,0.0
84a8211ffffffff,1.0,0.0,1.0
84a8219ffffffff,3.0,0.0,3.0
84a8227ffffffff,2.0,0.0,0.0
84a8229ffffffff,2.0,0.0,2.0
84a8231ffffffff,2.0,0.0,0.0
84a8233ffffffff,1.0,0.0,0.0
84a8235ffffffff,2.0,0.0,0.0
84a8237ffffffff,3.0,0.0,0.0
84a8241ffffffff,3.0,0.0,0.0
84a826dffffffff,3.0,0.0,3.0
84a82e1ffffffff,3.0,0.0,3.0
84a82e7ffffffff,3.0,0.0,0.0
84a8311ffffffff,18.0,0.0,3.0
84a8313ffffffff,41.0,0.0,17.0
84a8315ffffffff,1.0,0.0,1.0
84a8319ffffffff,4.0,0.0,1.0
84a831bffffffff,32.0,0.0,2.0
84a831dffffffff,1.0,0.0,1.0
84a8331ffffffff,1.0,0.0,0.0
84a8333ffffffff,1.0,0.0,0.0
84a833bffffffff,55.0,0.0,3.0
84a8351ffffffff,4.0,0.0,2.0
84a8353ffffffff,64.0,0.0,6.0
84a8357ffffffff,9.0,0.0,2.0
84a8359ffffffff,18.0,0.0,4.0
84a835bffffffff,27.0,0.0,5.0
84a8811ffffffff,12.0,0.0,0.0
84a8819ffffffff,2.0,0.0,0.0
84a881bffffffff,8.0,0.0,0.0
84a8821ffffffff,1.0,0.0,0.0
84a8829ffffffff,1.0,0.0,0.0
84a882dffffffff,7.0,0.0,2.0
84a8845ffffffff,1.0,0.0,0.0
84a8849ffffffff,66.0,0.0,11.0
84a884bffffffff,2.0,0.0,2.0
84a884dffffffff,3.0,0.0,0.0
84a8853ffffffff,2.0,0.0,2.0
84a8867ffffffff,1.0,0.0,0.0
84a8917ffffffff,1.0,0.0,0.0
84a8919ffffffff,6.0,0.0,1.0
84a8a03ffffffff,4.0,0.0,0.0
84a8a07ffffffff,33.0,0.0,7.0
84a8a11ffffffff,20.0,0.0,12.0
84a8a13ffffffff,56.0,0.0,17.0
84a8a15ffffffff,4.0,0.0,0.0
84a8a17ffffffff,48.0,0.0,19.0
84a8a19ffffffff,20.0,0.0,6.0
84a8a1dffffffff,13.0,0.0,6.0
84a8a23ffffffff,227.0,0.0,56.0
84a8a27ffffffff,20.0,0.0,8.0
84a8a31ffffffff,2.0,0.0,0.0
84a8a37ffffffff,1.0,0.0,1.0
84a8a39ffffffff,5.0,0.0,5.0
84a8a3bffffffff,3.0,0.0,3.0
84a8a3dffffffff,98.0,0.0,22.0
84a8a53ffffffff,15.0,0.0,6.0
84a8aadffffffff,3.0,0.0,3.0
84a8ac1ffffffff,1.0,0.0,0.0
84a8acbffffffff,1.0,0.0,0.0
84a8acdffffffff,5.0,0.0,0.0
84a8ad1ffffffff,5.0,0.0,0.0
84a8ae1ffffffff,3.0,0.0,0.0
84a8ae9ffffffff,1.0,0.0,0.0
84a8aedffffffff,6.0,0.0,1.0
84a8b13ffffffff,3.0,0.0,1.0
84a8c2bffffffff,2.0,0.0,0.0
84a8c63ffffffff,4.0,0.0,0.0
84a8d1bffffffff,24.0,0.0,8.0
84a8de3ffffffff,1.0,0.0,0.0
84a8debffffffff,4.0,0.0,0.0
84a9017ffffffff,2.0,0.0,0.0
84a9033ffffffff,2.0,0.0,2.0
84a9089ffffffff,4.0,0.0,2.0
84a908dffffffff,5.0,0.0,2.0
84a90a7ffffffff,2.0,0.0,0.0
84a90c3ffffffff,1.0,0.0,1.0
84a90c7ffffffff,5.0,0.0,2.0
84a90cdffffffff,2.0,0.0,0.0
84a90d5ffffffff,3.0,0.0,0.0
84a90e1ffffffff,28.0,0.0,8.0
84a90e5ffffffff,27.0,0.0,7.0
84a9183ffffffff,1.0,0.0,0.0
84a918bffffffff,8.0,0.0,1.0
84a9195ffffffff,25.0,0.0,0.0
84a919dffffffff,11.0,0.0,0.0
84a91b1ffffffff,49.0,0.0,17.0
84a91b3ffffffff,2.0,0.0,0.0
84a91b5ffffffff,74.0,0.0,16.0
84a91b7ffffffff,10.0,0.0,2.0
84a91b9ffffffff,2.0,0.0,0.0
84a91bbffffffff,6.0,0.0,0.0
84a91bdffffffff,4.0,0.0,1.0
84a91d1ffffffff,3.0,0.0,2.0
84a91d7ffffffff,20.0,0.0,3.0
84a91d9ffffffff,28.0,0.0,0.0
84a92c5ffffffff,4.0,0.0,4.0
