cell_id,Conirostrum albifrons,Conirostrum albifrons [albifrons Group],Conirostrum albifrons [atrocyaneum Group]
8466083ffffffff,41.0,0.0,0.0
8466087ffffffff,3.0,0.0,0.0
8466089ffffffff,27.0,0.0,0.0
846608dffffffff,5.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
84660b1ffffffff,1.0,0.0,0.0
84660b3ffffffff,13.0,0.0,0.0
84660b5ffffffff,5.0,0.0,0.0
84660b7ffffffff,12.0,0.0,0.0
84660b9ffffffff,36.0,0.0,0.0
84660bdffffffff,30.0,0.0,0.0
84660c1ffffffff,1.0,0.0,0.0
84660c3ffffffff,17.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0
84660ddffffffff,22.0,0.0,0.0
8466181ffffffff,69.0,0.0,0.0
8466183ffffffff,9.0,0.0,0.0
8466187ffffffff,49.0,0.0,2.0
8466189ffffffff,5.0,0.0,0.0
846618bffffffff,30.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0
8466193ffffffff,3.0,0.0,0.0
8466197ffffffff,277.0,0.0,0.0
846619dffffffff,46.0,0.0,0.0
84661b1ffffffff,56.0,0.0,11.0
84661b9ffffffff,7.0,0.0,0.0
84661bbffffffff,170.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661d5ffffffff,43.0,0.0,0.0
8466c25ffffffff,4.0,0.0,0.0
8466c2dffffffff,7.0,0.0,0.0
8466c45ffffffff,4.0,0.0,0.0
8466c47ffffffff,7.0,0.0,0.0
8466c4bffffffff,4.0,0.0,0.0
8466c4dffffffff,5.0,0.0,0.0
8466c63ffffffff,18.0,0.0,0.0
8466c67ffffffff,9.0,0.0,0.0
8466c69ffffffff,17.0,0.0,0.0
8466c6bffffffff,2.0,0.0,0.0
8466c6dffffffff,3.0,0.0,0.0
8466d03ffffffff,20.0,0.0,0.0
8466d11ffffffff,6.0,0.0,2.0
8466d1dffffffff,4.0,0.0,0.0
8466d31ffffffff,1244.0,0.0,55.0
8466d33ffffffff,18.0,0.0,0.0
8466d35ffffffff,6.0,0.0,0.0
8466d37ffffffff,41.0,0.0,0.0
8466d39ffffffff,14.0,0.0,0.0
8466d53ffffffff,17.0,0.0,0.0
8466d59ffffffff,3.0,0.0,3.0
8466da7ffffffff,1.0,0.0,0.0
8466dadffffffff,2.0,0.0,0.0
8466de1ffffffff,321.0,0.0,28.0
8466de5ffffffff,2.0,0.0,0.0
8466dedffffffff,956.0,0.0,91.0
8466e09ffffffff,17.0,0.0,0.0
8466e0bffffffff,60.0,0.0,0.0
8466e2dffffffff,15.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0
8466e43ffffffff,58.0,0.0,0.0
8466e45ffffffff,1.0,0.0,0.0
8466e47ffffffff,196.0,0.0,0.0
8466e55ffffffff,29.0,0.0,0.0
8466e57ffffffff,3.0,0.0,0.0
8466e5dffffffff,1.0,0.0,0.0
8466e61ffffffff,138.0,0.0,0.0
8466e65ffffffff,350.0,0.0,0.0
8466e67ffffffff,251.0,0.0,0.0
8466e69ffffffff,19.0,0.0,0.0
8466e6dffffffff,2011.0,0.0,0.0
8466f19ffffffff,115.0,0.0,0.0
8466f1dffffffff,20.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,3.0,0.0,0.0
8466f53ffffffff,52.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0
8466f5bffffffff,70.0,0.0,0.0
8466f5dffffffff,1.0,0.0,0.0
8467413ffffffff,3.0,0.0,0.0
8467417ffffffff,45.0,0.0,0.0
84674e9ffffffff,17.0,0.0,0.0
848b203ffffffff,16.0,0.0,0.0
848b211ffffffff,6.0,0.0,0.0
848b213ffffffff,3.0,0.0,0.0
848b2c1ffffffff,1.0,0.0,0.0
848b2c5ffffffff,22.0,0.0,0.0
848b2cdffffffff,5.0,0.0,0.0
848b2dbffffffff,4.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b611ffffffff,9.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,605.0,0.0,8.0
848b61bffffffff,1.0,0.0,0.0
848b61dffffffff,4.0,0.0,0.0
848b665ffffffff,1.0,0.0,0.0
848b6c1ffffffff,9.0,0.0,0.0
848b6c5ffffffff,19.0,0.0,0.0
848b6c9ffffffff,8.0,0.0,0.0
848b6cdffffffff,558.0,0.0,0.0
848b759ffffffff,8.0,0.0,0.0
848b75bffffffff,4.0,0.0,0.0
848e60bffffffff,2.0,0.0,0.0
848e619ffffffff,4.0,0.0,0.0
848e641ffffffff,8.0,0.0,0.0
848e649ffffffff,26.0,0.0,0.0
848e64bffffffff,44.0,0.0,0.0
848e651ffffffff,39.0,0.0,0.0
848e6c9ffffffff,6.0,0.0,0.0
848e6cbffffffff,6.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0
848f2d3ffffffff,7.0,0.0,0.0
848f2ddffffffff,2.0,0.0,0.0
848f421ffffffff,2.0,0.0,0.0
848f425ffffffff,17.0,0.0,0.0
848f42dffffffff,18.0,0.0,3.0
848f465ffffffff,11.0,0.0,0.0
848f4a5ffffffff,58.0,0.0,0.0
848f4a7ffffffff,2.0,0.0,0.0
848f549ffffffff,8.0,0.0,0.0
848f54bffffffff,14.0,0.0,0.0
848f54dffffffff,9.0,0.0,0.0
848f551ffffffff,1.0,0.0,0.0
848f553ffffffff,65.0,0.0,1.0
