cell_id,Chlorodrepanis virens,Chlorodrepanis virens wilsoni,Chlorodrepanis virens virens
835d10fffffffff,77.0,0.0,31.0
835d13fffffffff,4.0,0.0,2.0
835d14fffffffff,19.0,17.0,0.0
