cell_id,Psittacara holochlorus,Psittacara holochlorus holochlorus/brewsteri,Psittacara holochlorus rubritorquis
8444a11ffffffff,191.0,3.0,0.0
8444a13ffffffff,3.0,0.0,0.0
8444a19ffffffff,14.0,0.0,0.0
8445205ffffffff,1.0,0.0,1.0
8445215ffffffff,31.0,0.0,9.0
844522dffffffff,1.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445343ffffffff,3.0,0.0,2.0
84481d7ffffffff,1.0,0.0,0.0
8448869ffffffff,3.0,0.0,0.0
8448951ffffffff,1.0,0.0,0.0
8448a21ffffffff,2.0,0.0,0.0
8448b15ffffffff,2.0,0.0,0.0
8448b17ffffffff,33.0,0.0,0.0
8448b2bffffffff,3.0,0.0,0.0
8448b39ffffffff,20.0,0.0,0.0
8448b3bffffffff,2.0,1.0,0.0
8448b3dffffffff,9.0,2.0,0.0
8448c61ffffffff,2.0,0.0,0.0
8449807ffffffff,7.0,0.0,0.0
844983dffffffff,2.0,0.0,0.0
8449903ffffffff,10.0,0.0,0.0
8449913ffffffff,3.0,0.0,0.0
8449963ffffffff,2.0,0.0,0.0
84499c5ffffffff,1.0,1.0,0.0
84499ebffffffff,2.0,2.0,0.0
8449b33ffffffff,69.0,0.0,0.0
846d049ffffffff,1.0,0.0,0.0
846d059ffffffff,4.0,0.0,0.0
846d069ffffffff,2.0,0.0,0.0
846d231ffffffff,8.0,4.0,0.0
846d23bffffffff,2.0,2.0,0.0
846d23dffffffff,5.0,0.0,0.0
846d285ffffffff,3.0,0.0,0.0
846d299ffffffff,2.0,0.0,0.0
846d313ffffffff,3.0,3.0,0.0
846d319ffffffff,2.0,2.0,0.0
846d609ffffffff,3.0,0.0,3.0
846d65dffffffff,1.0,0.0,1.0
846d667ffffffff,1.0,0.0,1.0
846d74bffffffff,3.0,0.0,0.0
