cell_id,Oenanthe pleschanka,Oenanthe pleschanka (vittata form)
820b97fffffffff,2.0,0.0
821e4ffffffffff,9.0,0.0
821e5ffffffffff,30.0,0.0
821e6ffffffffff,2.0,0.0
821eeffffffffff,153.0,0.0
82200ffffffffff,14.0,0.0
822017fffffffff,25.0,0.0
82201ffffffffff,82.0,0.0
82204ffffffffff,60.0,0.0
822057fffffffff,1.0,0.0
82205ffffffffff,22.0,0.0
82206ffffffffff,2.0,0.0
822087fffffffff,15.0,0.0
82209ffffffffff,6.0,0.0
8220a7fffffffff,35.0,0.0
8220affffffffff,15.0,0.0
8220b7fffffffff,2.0,0.0
8220c7fffffffff,5.0,0.0
8220cffffffffff,3.0,0.0
8220e7fffffffff,219.0,0.0
8220effffffffff,2.0,0.0
8220f7fffffffff,21.0,0.0
82218ffffffffff,9.0,0.0
82219ffffffffff,14.0,0.0
8221b7fffffffff,2.0,0.0
822407fffffffff,34.0,0.0
82240ffffffffff,13.0,0.0
82241ffffffffff,10.0,0.0
822427fffffffff,11.0,0.0
82242ffffffffff,33.0,0.0
822437fffffffff,1.0,0.0
82244ffffffffff,3.0,0.0
822457fffffffff,91.0,0.0
822467fffffffff,22.0,0.0
822477fffffffff,24.0,0.0
82248ffffffffff,8.0,0.0
82249ffffffffff,1.0,0.0
8224affffffffff,1.0,0.0
8224c7fffffffff,6.0,0.0
8224d7fffffffff,16.0,0.0
8224effffffffff,2.0,0.0
822507fffffffff,12.0,0.0
822517fffffffff,147.0,0.0
82251ffffffffff,5.0,0.0
822547fffffffff,7.0,0.0
822557fffffffff,5.0,0.0
82255ffffffffff,38.0,0.0
82258ffffffffff,1.0,0.0
8225a7fffffffff,19.0,0.0
8225affffffffff,17.0,0.0
8225b7fffffffff,33.0,0.0
822c07fffffffff,24.0,0.0
822c0ffffffffff,40.0,0.0
822c17fffffffff,3.0,0.0
822c1ffffffffff,2.0,0.0
822c27fffffffff,5.0,0.0
822c2ffffffffff,80.0,0.0
822c47fffffffff,3.0,0.0
822c4ffffffffff,2.0,0.0
822c6ffffffffff,3.0,0.0
822c77fffffffff,15.0,0.0
822c87fffffffff,11.0,0.0
822c8ffffffffff,7.0,0.0
822c97fffffffff,1238.0,0.0
822c9ffffffffff,11.0,0.0
822caffffffffff,5.0,0.0
822cc7fffffffff,56.0,0.0
822ccffffffffff,19.0,0.0
822cd7fffffffff,66.0,0.0
822cdffffffffff,12.0,0.0
822ce7fffffffff,12.0,0.0
822cf7fffffffff,72.0,0.0
822d2ffffffffff,10.0,0.0
822d5ffffffffff,10.0,0.0
822d77fffffffff,8.0,0.0
822da7fffffffff,7.0,0.0
822daffffffffff,2.0,0.0
823107fffffffff,1.0,0.0
823117fffffffff,2.0,0.0
82312ffffffffff,2.0,0.0
823187fffffffff,1.0,0.0
82318ffffffffff,4.0,0.0
823d07fffffffff,23.0,0.0
823d17fffffffff,9.0,0.0
823d27fffffffff,21.0,0.0
823d37fffffffff,8.0,0.0
823d4ffffffffff,1.0,0.0
8240dffffffffff,2.0,0.0
824237fffffffff,3.0,0.0
824307fffffffff,7.0,0.0
824317fffffffff,8.0,0.0
82431ffffffffff,13.0,0.0
824327fffffffff,7.0,0.0
82432ffffffffff,5.0,0.0
824337fffffffff,7.0,0.0
824367fffffffff,56.0,0.0
824377fffffffff,3.0,0.0
824387fffffffff,14.0,0.0
82438ffffffffff,2.0,0.0
824397fffffffff,10.0,0.0
82439ffffffffff,4.0,0.0
8243a7fffffffff,398.0,0.0
8243affffffffff,416.0,0.0
8243b7fffffffff,3.0,0.0
825207fffffffff,34.0,0.0
825217fffffffff,10.0,0.0
82521ffffffffff,15.0,0.0
825237fffffffff,5.0,0.0
82524ffffffffff,17.0,0.0
82526ffffffffff,18.0,0.0
825287fffffffff,26.0,0.0
82529ffffffffff,185.0,0.0
8252cffffffffff,4.0,0.0
8252d7fffffffff,61.0,0.0
825347fffffffff,41.0,0.0
82534ffffffffff,72.0,0.0
825357fffffffff,3.0,0.0
825367fffffffff,206.0,0.0
82536ffffffffff,153.0,0.0
825377fffffffff,12.0,0.0
8253affffffffff,2.0,0.0
826337fffffffff,10.0,0.0
826a4ffffffffff,6.0,0.0
826a5ffffffffff,9.0,0.0
826a6ffffffffff,9.0,0.0
826ac7fffffffff,7.0,0.0
826aeffffffffff,9.0,0.0
827a1ffffffffff,2.0,0.0
827a47fffffffff,237.0,0.0
827a4ffffffffff,39.0,0.0
827a57fffffffff,1.0,0.0
827a5ffffffffff,5.0,0.0
827a67fffffffff,131.0,0.0
827a6ffffffffff,302.0,0.0
827ac7fffffffff,1.0,0.0
827acffffffffff,166.0,0.0
827adffffffffff,214.0,0.0
827aeffffffffff,205.0,0.0
829697fffffffff,76.0,0.0
