cell_id,Dendropicos goertae,Dendropicos goertae koenigi,Dendropicos goertae [goertae Group]
835286fffffffff,4.0,0.0,0.0
835291fffffffff,2.0,0.0,0.0
83529bfffffffff,14.0,0.0,0.0
835402fffffffff,19.0,0.0,5.0
835408fffffffff,1.0,0.0,0.0
835410fffffffff,62.0,0.0,29.0
835411fffffffff,32.0,0.0,7.0
835413fffffffff,62.0,0.0,24.0
835415fffffffff,20.0,0.0,6.0
835418fffffffff,4.0,0.0,0.0
835419fffffffff,2.0,0.0,0.0
83541afffffffff,188.0,0.0,32.0
83541bfffffffff,65.0,0.0,2.0
83541efffffffff,19.0,0.0,7.0
835440fffffffff,7.0,0.0,0.0
835444fffffffff,1.0,0.0,0.0
835449fffffffff,1.0,0.0,0.0
8354a9fffffffff,375.0,0.0,42.0
8354acfffffffff,12.0,0.0,0.0
8354adfffffffff,30.0,0.0,2.0
8354ccfffffffff,1.0,0.0,0.0
8354e2fffffffff,4.0,0.0,0.0
8354e4fffffffff,108.0,0.0,29.0
8354e5fffffffff,36.0,0.0,12.0
8354e8fffffffff,1.0,0.0,0.0
8354f0fffffffff,5.0,0.0,0.0
8354f1fffffffff,24.0,0.0,0.0
8354f3fffffffff,1.0,0.0,0.0
8354f4fffffffff,60.0,0.0,10.0
8354f5fffffffff,5.0,0.0,0.0
8354f6fffffffff,9.0,0.0,2.0
83550afffffffff,8.0,0.0,0.0
83580bfffffffff,4.0,0.0,0.0
835851fffffffff,11.0,0.0,0.0
835858fffffffff,5.0,0.0,0.0
835890fffffffff,9.0,0.0,0.0
835891fffffffff,3.0,0.0,0.0
835896fffffffff,4.0,0.0,0.0
8358a4fffffffff,3.0,0.0,0.0
8358a6fffffffff,2.0,0.0,0.0
8358b5fffffffff,2.0,0.0,0.0
8358c8fffffffff,2.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0
8358d1fffffffff,4.0,0.0,0.0
8358defffffffff,1.0,0.0,0.0
8358e2fffffffff,22.0,0.0,0.0
8358e6fffffffff,4.0,0.0,0.0
8358f0fffffffff,2.0,0.0,0.0
8358f4fffffffff,2.0,0.0,0.0
8358f5fffffffff,1.0,0.0,0.0
835982fffffffff,6.0,0.0,0.0
83598dfffffffff,2.0,0.0,0.0
835991fffffffff,6.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
835998fffffffff,6.0,0.0,3.0
83599efffffffff,16.0,0.0,5.0
836a50fffffffff,2.0,0.0,0.0
836a5afffffffff,9.0,0.0,0.0
836ac0fffffffff,7.0,0.0,0.0
836ac1fffffffff,67.0,0.0,0.0
836ac3fffffffff,116.0,0.0,0.0
836ac8fffffffff,219.0,0.0,12.0
836ac9fffffffff,17.0,0.0,0.0
836accfffffffff,5.0,0.0,0.0
836acdfffffffff,13.0,0.0,0.0
836acefffffffff,74.0,0.0,0.0
836ad8fffffffff,14.0,0.0,0.0
836adcfffffffff,40.0,0.0,0.0
836addfffffffff,2.0,0.0,0.0
836ae0fffffffff,6.0,0.0,0.0
836ae8fffffffff,49.0,0.0,0.0
836aeafffffffff,90.0,0.0,0.0
836aebfffffffff,10.0,0.0,0.0
836aeefffffffff,63.0,0.0,0.0
836b12fffffffff,4.0,0.0,0.0
836ba1fffffffff,1.0,0.0,0.0
836bb6fffffffff,2.0,0.0,0.0
837509fffffffff,1.0,0.0,0.0
83750dfffffffff,6.0,0.0,4.0
837520fffffffff,246.0,0.0,57.0
837529fffffffff,41.0,0.0,2.0
83752afffffffff,10.0,0.0,7.0
83752efffffffff,2.0,0.0,0.0
837530fffffffff,3.0,0.0,0.0
837531fffffffff,1.0,0.0,0.0
837536fffffffff,5.0,0.0,0.0
837574fffffffff,13.0,0.0,2.0
837576fffffffff,8.0,0.0,1.0
8375a0fffffffff,1.0,0.0,0.0
8375a6fffffffff,2.0,0.0,0.0
837a41fffffffff,53.0,0.0,0.0
837a48fffffffff,29.0,0.0,0.0
837a49fffffffff,3.0,0.0,0.0
837a4bfffffffff,3.0,0.0,0.0
837a4cfffffffff,18.0,0.0,0.0
837a4dfffffffff,44.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0
837a68fffffffff,1.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0
837a6bfffffffff,47.0,0.0,0.0
837a6dfffffffff,32.0,0.0,0.0
837ac8fffffffff,30.0,0.0,0.0
837acafffffffff,6.0,0.0,0.0
837accfffffffff,10.0,0.0,0.0
837acdfffffffff,21.0,0.0,0.0
837ad9fffffffff,1.0,0.0,0.0
83828bfffffffff,3.0,0.0,0.0
8382d0fffffffff,2.0,0.0,0.0
8382d2fffffffff,2.0,0.0,0.0
8382d3fffffffff,3.0,0.0,0.0
839692fffffffff,29.0,0.0,0.0
839693fffffffff,14.0,0.0,0.0
8396eafffffffff,2.0,0.0,0.0
