cell_id,Anabacerthia variegaticeps,Anabacerthia variegaticeps variegaticeps,Anabacerthia variegaticeps temporalis
8449901ffffffff,1.0,0.0,0.0
8449963ffffffff,6.0,1.0,0.0
844996bffffffff,1.0,1.0,0.0
84661b9ffffffff,4.0,0.0,1.0
8466b41ffffffff,2.0,0.0,0.0
8466b4dffffffff,6.0,0.0,0.0
8466d31ffffffff,2.0,0.0,0.0
8466d35ffffffff,2.0,0.0,2.0
846d227ffffffff,4.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d295ffffffff,5.0,5.0,0.0
846d2b9ffffffff,1.0,0.0,0.0
846d305ffffffff,1.0,1.0,0.0
846d35dffffffff,2.0,0.0,0.0
846d363ffffffff,1.0,0.0,0.0
846d68bffffffff,4.0,0.0,0.0
