cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
8445059ffffffff,9.0,0.0,0.0
844505bffffffff,120.0,0.0,0.0
8445201ffffffff,1.0,0.0,0.0
8445203ffffffff,35.0,0.0,0.0
8445205ffffffff,47.0,0.0,0.0
8445207ffffffff,102.0,0.0,0.0
8445209ffffffff,5.0,0.0,0.0
844520bffffffff,9.0,0.0,0.0
844520dffffffff,17.0,0.0,0.0
8445211ffffffff,19.0,0.0,0.0
8445213ffffffff,99.0,0.0,0.0
8445215ffffffff,553.0,14.0,0.0
8445217ffffffff,473.0,7.0,0.0
8445219ffffffff,8.0,2.0,0.0
844521bffffffff,8.0,0.0,0.0
844521dffffffff,33.0,9.0,0.0
8445221ffffffff,314.0,0.0,0.0
8445225ffffffff,290.0,0.0,0.0
844522bffffffff,25.0,0.0,0.0
844522dffffffff,1.0,0.0,0.0
8445233ffffffff,1054.0,70.0,0.0
844523bffffffff,128.0,6.0,0.0
8445253ffffffff,17.0,3.0,0.0
8445255ffffffff,12.0,0.0,0.0
8445257ffffffff,64.0,0.0,0.0
844525dffffffff,2.0,0.0,0.0
8445263ffffffff,156.0,0.0,0.0
844526bffffffff,243.0,0.0,0.0
8445289ffffffff,11.0,2.0,0.0
844528dffffffff,5.0,0.0,0.0
84452a1ffffffff,4.0,0.0,0.0
84452a5ffffffff,5.0,0.0,0.0
84452a9ffffffff,15.0,6.0,0.0
84452adffffffff,178.0,11.0,0.0
84452c1ffffffff,52.0,5.0,0.0
84452c3ffffffff,71.0,13.0,0.0
84452c5ffffffff,36.0,0.0,0.0
84452c7ffffffff,55.0,1.0,0.0
84452c9ffffffff,30.0,7.0,0.0
84452cbffffffff,32.0,4.0,0.0
84452cdffffffff,11.0,0.0,0.0
84452d9ffffffff,50.0,23.0,0.0
84452dbffffffff,6.0,0.0,0.0
84452ddffffffff,10.0,0.0,0.0
84452e1ffffffff,1236.0,67.0,0.0
84452e3ffffffff,136.0,20.0,0.0
84452e5ffffffff,821.0,45.0,0.0
84452e7ffffffff,42.0,0.0,0.0
84452e9ffffffff,31.0,0.0,0.0
84452ebffffffff,22.0,0.0,0.0
84452edffffffff,33.0,0.0,0.0
8445301ffffffff,1.0,0.0,0.0
8445303ffffffff,5.0,0.0,0.0
8445305ffffffff,4.0,0.0,0.0
8445307ffffffff,3.0,0.0,0.0
844530dffffffff,4.0,0.0,0.0
8445319ffffffff,21.0,0.0,0.0
844531dffffffff,2.0,0.0,0.0
8445321ffffffff,8.0,0.0,0.0
844532bffffffff,92.0,0.0,0.0
8445343ffffffff,28.0,0.0,0.0
8445349ffffffff,3.0,0.0,0.0
844534dffffffff,13.0,0.0,0.0
8445353ffffffff,6.0,0.0,0.0
8445357ffffffff,4.0,0.0,0.0
844535dffffffff,2.0,0.0,0.0
8445363ffffffff,20.0,0.0,0.0
8445365ffffffff,83.0,0.0,0.0
8445367ffffffff,31.0,0.0,0.0
8466103ffffffff,6.0,0.0,0.0
8466105ffffffff,44.0,0.0,0.0
8466107ffffffff,695.0,0.0,0.0
846610bffffffff,8.0,0.0,0.0
8466113ffffffff,33.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
8466123ffffffff,6.0,0.0,0.0
8466125ffffffff,6.0,0.0,0.0
8466129ffffffff,101.0,0.0,0.0
846612dffffffff,2.0,0.0,0.0
8466131ffffffff,124.0,0.0,0.0
8466135ffffffff,23.0,0.0,0.0
8466139ffffffff,774.0,0.0,0.0
846613dffffffff,16.0,0.0,0.0
8466161ffffffff,3.0,0.0,0.0
8466163ffffffff,980.0,0.0,0.0
8466165ffffffff,194.0,0.0,0.0
8466167ffffffff,477.0,0.0,0.0
8466185ffffffff,7.0,0.0,0.0
84661a3ffffffff,3.0,0.0,0.0
84661a5ffffffff,250.0,0.0,4.0
