cell_id,Silvicultrix frontalis,Silvicultrix frontalis frontalis/albidiadema,Silvicultrix frontalis spodionota/boliviana
82660ffffffffff,17.0,0.0,0.0
82661ffffffffff,94.0,0.0,0.0
8266c7fffffffff,36.0,0.0,0.0
8266d7fffffffff,826.0,129.0,0.0
8266dffffffffff,20.0,6.0,0.0
8266e7fffffffff,670.0,6.0,0.0
8266f7fffffffff,17.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0
828b2ffffffffff,30.0,0.0,0.0
828b67fffffffff,65.0,0.0,0.0
828b6ffffffffff,66.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0
828e67fffffffff,7.0,0.0,0.0
828e6ffffffffff,8.0,0.0,0.0
828f0ffffffffff,3.0,0.0,0.0
828f2ffffffffff,57.0,7.0,0.0
828f47fffffffff,5.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,26.0,0.0,0.0
828f5ffffffffff,46.0,0.0,7.0
828f77fffffffff,158.0,43.0,0.0
82b327fffffffff,36.0,0.0,0.0
