cell_id,Luscinia svecica,Luscinia svecica [svecica Group],Luscinia svecica azuricollis,Luscinia svecica cyanecula/namnetum,Luscinia svecica magna
830122fffffffff,4.0,2.0,0.0,0.0,0.0
830124fffffffff,3.0,0.0,0.0,0.0,0.0
830126fffffffff,55.0,7.0,0.0,0.0,0.0
830130fffffffff,36.0,13.0,0.0,0.0,0.0
830131fffffffff,14.0,3.0,0.0,0.0,0.0
830134fffffffff,3.0,0.0,0.0,0.0,0.0
830135fffffffff,219.0,31.0,0.0,0.0,0.0
8304ccfffffffff,2.0,0.0,0.0,0.0,0.0
83058cfffffffff,16.0,16.0,0.0,0.0,0.0
830810fffffffff,31.0,0.0,0.0,0.0,0.0
830811fffffffff,7.0,0.0,0.0,0.0,0.0
830814fffffffff,35.0,1.0,0.0,0.0,0.0
830818fffffffff,3.0,0.0,0.0,0.0,0.0
830819fffffffff,18.0,0.0,0.0,0.0,0.0
83081dfffffffff,20.0,0.0,0.0,0.0,0.0
83081efffffffff,2.0,0.0,0.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0,0.0,0.0
83082bfffffffff,1.0,0.0,0.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0,0.0,0.0
830886fffffffff,26.0,3.0,0.0,0.0,0.0
830888fffffffff,11.0,0.0,0.0,0.0,0.0
830890fffffffff,14.0,0.0,0.0,0.0,0.0
830893fffffffff,2.0,0.0,0.0,0.0,0.0
830895fffffffff,4.0,0.0,0.0,0.0,0.0
830896fffffffff,3.0,0.0,0.0,0.0,0.0
830898fffffffff,3.0,0.0,0.0,0.0,0.0
830899fffffffff,7.0,5.0,0.0,0.0,0.0
83089afffffffff,7.0,0.0,0.0,0.0,0.0
83089cfffffffff,1.0,1.0,0.0,0.0,0.0
8308a4fffffffff,2.0,2.0,0.0,0.0,0.0
8308a5fffffffff,6.0,0.0,0.0,0.0,0.0
8308b1fffffffff,8.0,0.0,0.0,0.0,0.0
8308b4fffffffff,2.0,0.0,0.0,0.0,0.0
8308c1fffffffff,8.0,2.0,0.0,0.0,0.0
8308c3fffffffff,2.0,0.0,0.0,0.0,0.0
