cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
83b2dafffffffff,11.0,0.0,0.0
83c301fffffffff,54.0,0.0,0.0
83c305fffffffff,6.0,0.0,0.0
83c30cfffffffff,13.0,0.0,0.0
83c320fffffffff,175.0,0.0,0.0
83c321fffffffff,13.0,0.0,0.0
83c323fffffffff,3.0,0.0,0.0
83c324fffffffff,86.0,0.0,0.0
83c326fffffffff,11.0,0.0,0.0
83c329fffffffff,46.0,0.0,0.0
83c32afffffffff,263.0,0.0,0.0
83c32bfffffffff,15.0,0.0,0.0
83c32efffffffff,200.0,0.0,0.0
83c376fffffffff,6.0,0.0,0.0
83ce10fffffffff,4.0,0.0,0.0
83ce12fffffffff,12.0,1.0,0.0
83ce14fffffffff,24.0,1.0,0.0
83ce16fffffffff,19.0,4.0,0.0
83ce30fffffffff,2.0,0.0,0.0
83ce32fffffffff,10.0,0.0,0.0
83ce81fffffffff,9.0,0.0,0.0
83ce85fffffffff,10.0,0.0,0.0
83ce88fffffffff,38.0,0.0,0.0
83ce89fffffffff,1.0,0.0,0.0
83ce8bfffffffff,6.0,0.0,0.0
83ce8cfffffffff,108.0,0.0,0.0
83cea1fffffffff,327.0,4.0,0.0
83cea3fffffffff,1.0,0.0,0.0
83cea5fffffffff,42.0,0.0,0.0
83cea8fffffffff,1027.0,68.0,0.0
83ceaafffffffff,339.0,5.0,0.0
83ceabfffffffff,21.0,0.0,0.0
83ceacfffffffff,680.0,224.0,0.0
83ceaefffffffff,1425.0,106.0,0.0
83cf10fffffffff,54.0,0.0,0.0
83cf11fffffffff,6.0,0.0,0.0
83cf12fffffffff,232.0,21.0,4.0
83cf13fffffffff,22.0,0.0,0.0
83cf14fffffffff,5.0,0.0,0.0
83cf15fffffffff,22.0,0.0,3.0
83cf16fffffffff,84.0,0.0,0.0
83cf18fffffffff,2.0,0.0,0.0
83cf1efffffffff,3.0,0.0,0.0
83cf32fffffffff,66.0,0.0,0.0
83cf88fffffffff,10.0,0.0,0.0
83cf89fffffffff,32.0,14.0,0.0
83cf8bfffffffff,25.0,2.0,1.0
83cf8dfffffffff,10.0,2.0,0.0
83cf90fffffffff,27.0,0.0,0.0
83cf91fffffffff,53.0,0.0,0.0
83cf94fffffffff,296.0,3.0,4.0
83cf9efffffffff,72.0,0.0,0.0
83cfa0fffffffff,167.0,0.0,0.0
83cfa2fffffffff,540.0,0.0,0.0
83cfa4fffffffff,2201.0,19.0,13.0
83cfa5fffffffff,1.0,0.0,0.0
83cfa6fffffffff,2.0,0.0,0.0
83cfa9fffffffff,21.0,0.0,0.0
83cfadfffffffff,18.0,0.0,0.0
83cfb1fffffffff,122.0,0.0,0.0
83cfb3fffffffff,2.0,0.0,0.0
83de62fffffffff,378.0,5.0,125.0
83de63fffffffff,1.0,0.0,0.0
83de66fffffffff,86.0,0.0,20.0
83de69fffffffff,2.0,0.0,0.0
83de6afffffffff,1.0,0.0,0.0
83de70fffffffff,397.0,6.0,170.0
83de71fffffffff,16.0,0.0,4.0
83de72fffffffff,2.0,0.0,0.0
83de73fffffffff,8.0,0.0,8.0
83de74fffffffff,79.0,0.0,37.0
83de75fffffffff,35.0,0.0,10.0
83df09fffffffff,2.0,0.0,0.0
83df40fffffffff,161.0,11.0,1.0
83df41fffffffff,17.0,0.0,1.0
83df42fffffffff,51.0,0.0,2.0
83df43fffffffff,37.0,0.0,30.0
83df44fffffffff,132.0,4.0,0.0
83df45fffffffff,2075.0,92.0,119.0
83df46fffffffff,42.0,0.0,16.0
83df4cfffffffff,1.0,0.0,0.0
83df4dfffffffff,114.0,0.0,0.0
83df55fffffffff,2.0,0.0,0.0
83df59fffffffff,3.0,0.0,1.0
83df5bfffffffff,19.0,0.0,0.0
83df5cfffffffff,18.0,0.0,0.0
83df5dfffffffff,1.0,0.0,0.0
83df61fffffffff,16.0,0.0,0.0
83df62fffffffff,5.0,0.0,0.0
83df63fffffffff,8.0,0.0,0.0
83df68fffffffff,1108.0,30.0,52.0
83df69fffffffff,811.0,29.0,34.0
83df6afffffffff,112.0,0.0,1.0
83df6bfffffffff,77.0,5.0,0.0
83df6cfffffffff,91.0,0.0,2.0
83df6dfffffffff,600.0,22.0,12.0
83df6efffffffff,154.0,0.0,0.0
83df71fffffffff,5.0,0.0,0.0
83df76fffffffff,2.0,0.0,1.0
