cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
83414dfffffffff,4.0,0.0,0.0
834160fffffffff,3.0,0.0,0.0
834168fffffffff,1.0,0.0,0.0
834169fffffffff,1.0,0.0,0.0
83416bfffffffff,5.0,0.0,0.0
83416cfffffffff,10.0,0.0,0.0
83416dfffffffff,17.0,0.0,0.0
836412fffffffff,2.0,0.0,0.0
836416fffffffff,110.0,1.0,0.0
836422fffffffff,154.0,2.0,0.0
836426fffffffff,66.0,0.0,0.0
83642cfffffffff,2.0,0.0,0.0
836430fffffffff,29.0,0.0,0.0
836431fffffffff,324.0,2.0,0.0
836432fffffffff,58.0,1.0,0.0
836433fffffffff,5.0,1.0,0.0
836434fffffffff,158.0,1.0,0.0
836435fffffffff,157.0,0.0,0.0
836436fffffffff,13.0,0.0,0.0
836480fffffffff,4.0,0.0,0.0
836482fffffffff,23.0,1.0,0.0
836484fffffffff,39.0,0.0,0.0
836485fffffffff,9.0,0.0,0.0
836486fffffffff,4.0,0.0,0.0
836490fffffffff,14.0,0.0,0.0
836491fffffffff,49.0,2.0,0.0
8364a0fffffffff,60.0,0.0,0.0
8364a1fffffffff,12.0,2.0,0.0
8364a2fffffffff,236.0,0.0,0.0
8364a3fffffffff,17.0,0.0,0.0
8364a4fffffffff,2530.0,22.0,0.0
8364a5fffffffff,126.0,0.0,0.0
8364a6fffffffff,20.0,0.0,0.0
8364b0fffffffff,8.0,0.0,0.0
8364b1fffffffff,53.0,0.0,0.0
8364b2fffffffff,19.0,0.0,0.0
8364b3fffffffff,2.0,0.0,0.0
8364b4fffffffff,72.0,0.0,0.0
8364b5fffffffff,5.0,0.0,0.0
8364b6fffffffff,29.0,0.0,0.0
836500fffffffff,327.0,0.0,0.0
836501fffffffff,81.0,0.0,0.0
836502fffffffff,85.0,0.0,0.0
836503fffffffff,296.0,0.0,0.0
836504fffffffff,8.0,0.0,0.0
836505fffffffff,1447.0,0.0,0.0
836506fffffffff,5.0,0.0,0.0
836508fffffffff,2.0,0.0,0.0
836509fffffffff,6.0,0.0,0.0
83650cfffffffff,2.0,0.0,0.0
83650dfffffffff,58.0,0.0,0.0
83650efffffffff,10.0,0.0,0.0
836511fffffffff,16.0,0.0,0.0
836515fffffffff,3.0,0.0,0.0
836518fffffffff,251.0,4.0,0.0
836519fffffffff,106.0,2.0,0.0
83651bfffffffff,126.0,1.0,0.0
83651cfffffffff,183.0,3.0,0.0
83651dfffffffff,248.0,0.0,0.0
83651efffffffff,72.0,0.0,0.0
836520fffffffff,2250.0,0.0,0.0
836521fffffffff,4.0,0.0,0.0
836522fffffffff,76.0,0.0,0.0
836523fffffffff,178.0,0.0,0.0
836525fffffffff,18.0,0.0,0.0
836526fffffffff,2894.0,0.0,0.0
836529fffffffff,4.0,0.0,0.0
83652bfffffffff,1.0,0.0,0.0
83652cfffffffff,18.0,0.0,0.0
83652dfffffffff,12.0,0.0,0.0
83652efffffffff,2.0,0.0,0.0
836531fffffffff,6.0,0.0,0.0
836550fffffffff,5.0,0.0,0.0
836552fffffffff,2.0,0.0,0.0
836553fffffffff,7.0,0.0,0.0
836554fffffffff,20.0,0.0,0.0
836556fffffffff,28.0,0.0,0.0
836573fffffffff,21.0,0.0,0.0
836580fffffffff,94.0,0.0,0.0
836581fffffffff,28.0,0.0,0.0
836582fffffffff,173.0,0.0,0.0
836583fffffffff,290.0,0.0,0.0
836584fffffffff,1113.0,0.0,0.0
836585fffffffff,92.0,0.0,0.0
836586fffffffff,70.0,0.0,0.0
836588fffffffff,196.0,4.0,0.0
836589fffffffff,95.0,1.0,0.0
83658afffffffff,509.0,6.0,0.0
83658bfffffffff,579.0,5.0,0.0
83658efffffffff,94.0,0.0,0.0
836590fffffffff,27.0,0.0,0.0
836591fffffffff,125.0,0.0,0.0
836593fffffffff,20.0,0.0,0.0
836595fffffffff,18.0,0.0,0.0
836598fffffffff,16.0,0.0,0.0
836599fffffffff,139.0,0.0,0.0
83659afffffffff,13.0,0.0,0.0
83659bfffffffff,27.0,0.0,0.0
83659cfffffffff,858.0,0.0,0.0
83659dfffffffff,16.0,0.0,0.0
83659efffffffff,16.0,0.0,0.0
8365a2fffffffff,15.0,0.0,0.0
8365a3fffffffff,12.0,0.0,0.0
8365aafffffffff,12.0,0.0,0.0
8365b0fffffffff,26.0,0.0,0.0
8365b1fffffffff,2.0,0.0,0.0
8365b2fffffffff,3.0,0.0,0.0
8365b3fffffffff,183.0,0.0,0.0
8365b4fffffffff,4.0,0.0,0.0
8365b5fffffffff,127.0,0.0,0.0
8365b6fffffffff,3.0,0.0,0.0
836802fffffffff,152.0,0.0,0.0
836810fffffffff,93.0,0.0,0.0
836811fffffffff,574.0,5.0,0.0
836812fffffffff,36.0,0.0,0.0
836813fffffffff,3.0,0.0,0.0
836815fffffffff,473.0,0.0,0.0
836816fffffffff,16.0,0.0,0.0
836818fffffffff,698.0,3.0,0.0
836819fffffffff,6.0,0.0,0.0
83681afffffffff,23.0,0.0,0.0
83681bfffffffff,21.0,0.0,0.0
83681cfffffffff,803.0,2.0,0.0
83681dfffffffff,46.0,0.0,0.0
83681efffffffff,34.0,0.0,0.0
836840fffffffff,18.0,0.0,0.0
836841fffffffff,11.0,0.0,0.0
836842fffffffff,20.0,0.0,0.0
836843fffffffff,223.0,0.0,0.0
836844fffffffff,60.0,0.0,0.0
836845fffffffff,1.0,0.0,0.0
836846fffffffff,48.0,0.0,0.0
83684efffffffff,208.0,0.0,1.0
836855fffffffff,6.0,0.0,0.0
836856fffffffff,75.0,0.0,1.0
