cell_id,Schiffornis veraepacis,Schiffornis veraepacis [veraepacis Group],Schiffornis veraepacis rosenbergi
84450cdffffffff,5.0,5.0,0.0
84450ebffffffff,13.0,11.0,0.0
8445233ffffffff,2.0,2.0,0.0
84452adffffffff,2.0,0.0,0.0
84452b5ffffffff,1.0,0.0,0.0
84452e1ffffffff,1.0,0.0,0.0
84452e5ffffffff,2.0,2.0,0.0
84452e7ffffffff,8.0,0.0,0.0
8466113ffffffff,5.0,2.0,0.0
8466165ffffffff,6.0,0.0,0.0
84661b9ffffffff,5.0,0.0,0.0
84661ebffffffff,3.0,0.0,0.0
8466a57ffffffff,1.0,1.0,0.0
8466b09ffffffff,1.0,1.0,0.0
8466b0bffffffff,4.0,4.0,0.0
8466b4dffffffff,4.0,4.0,0.0
8466b51ffffffff,4.0,4.0,0.0
8466b55ffffffff,2.0,2.0,0.0
8466b5bffffffff,4.0,0.0,0.0
8466d0bffffffff,39.0,0.0,4.0
8466d31ffffffff,12.0,0.0,3.0
8466d35ffffffff,47.0,0.0,24.0
8466d37ffffffff,1.0,0.0,1.0
846d2c3ffffffff,2.0,0.0,0.0
846d2c9ffffffff,10.0,6.0,0.0
846d319ffffffff,6.0,6.0,0.0
846d31bffffffff,10.0,0.0,0.0
846d68bffffffff,6.0,6.0,0.0
846d691ffffffff,7.0,7.0,0.0
846d693ffffffff,3.0,0.0,0.0
846d69bffffffff,9.0,9.0,0.0
846d69dffffffff,2.0,2.0,0.0
848f0d1ffffffff,2.0,0.0,0.0
848f0dbffffffff,4.0,0.0,4.0
848f2a9ffffffff,12.0,0.0,6.0
848f2abffffffff,6.0,0.0,4.0
848f2cdffffffff,6.0,0.0,0.0
