cell_id,Cranioleuca antisiensis,Cranioleuca antisiensis antisiensis/palamblae,Cranioleuca antisiensis [baroni Group]
848e61dffffffff,1.0,0.0,0.0
848e645ffffffff,52.0,0.0,47.0
848e649ffffffff,2.0,0.0,2.0
848e663ffffffff,1.0,0.0,0.0
848f099ffffffff,6.0,6.0,0.0
848f0d3ffffffff,292.0,111.0,0.0
848f0d9ffffffff,5.0,0.0,0.0
848f0dbffffffff,199.0,97.0,0.0
848f293ffffffff,3.0,0.0,0.0
848f297ffffffff,7.0,0.0,0.0
848f2bbffffffff,2.0,0.0,0.0
848f425ffffffff,14.0,6.0,0.0
848f42dffffffff,32.0,1.0,23.0
848f465ffffffff,3.0,0.0,2.0
848f467ffffffff,2.0,0.0,0.0
848f4a5ffffffff,71.0,1.0,53.0
848f4a7ffffffff,1.0,0.0,0.0
848f501ffffffff,2.0,0.0,0.0
848f503ffffffff,2.0,0.0,0.0
848f509ffffffff,9.0,9.0,0.0
848f50bffffffff,3.0,0.0,0.0
848f50dffffffff,2.0,0.0,0.0
848f511ffffffff,5.0,0.0,5.0
848f513ffffffff,2.0,0.0,0.0
848f515ffffffff,23.0,0.0,1.0
848f517ffffffff,1.0,0.0,0.0
848f519ffffffff,254.0,15.0,164.0
848f51bffffffff,10.0,0.0,4.0
848f51dffffffff,24.0,4.0,12.0
848f541ffffffff,15.0,0.0,0.0
848f543ffffffff,1.0,1.0,0.0
848f545ffffffff,10.0,6.0,0.0
848f547ffffffff,138.0,74.0,0.0
848f549ffffffff,7.0,2.0,0.0
848f54bffffffff,11.0,11.0,0.0
848f54dffffffff,53.0,12.0,0.0
848f553ffffffff,215.0,46.0,138.0
848f555ffffffff,3.0,1.0,0.0
848f557ffffffff,2.0,2.0,0.0
848f559ffffffff,92.0,5.0,42.0
848f55bffffffff,179.0,55.0,37.0
848f55dffffffff,4.0,4.0,0.0
848f56bffffffff,1.0,0.0,0.0
848f581ffffffff,56.0,7.0,14.0
848f583ffffffff,1.0,0.0,1.0
848f587ffffffff,2.0,0.0,0.0
848f589ffffffff,25.0,2.0,17.0
848f58dffffffff,108.0,18.0,58.0
848f593ffffffff,1.0,1.0,0.0
848f595ffffffff,1.0,0.0,1.0
848f597ffffffff,8.0,0.0,0.0
848f599ffffffff,12.0,0.0,2.0
848f59bffffffff,31.0,0.0,20.0
848f59dffffffff,1.0,0.0,0.0
848f5b9ffffffff,9.0,0.0,7.0
848f5c1ffffffff,2.0,0.0,0.0
848f5cdffffffff,32.0,0.0,19.0
848f5d5ffffffff,4.0,0.0,0.0
848f5d7ffffffff,4.0,0.0,4.0
848f5ebffffffff,3.0,0.0,3.0
848f721ffffffff,5.0,3.0,0.0
848f725ffffffff,21.0,17.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72dffffffff,10.0,7.0,0.0
848f733ffffffff,5.0,2.0,3.0
848f737ffffffff,3.0,0.0,0.0
848f761ffffffff,1.0,0.0,0.0
848f765ffffffff,128.0,51.0,0.0
848f767ffffffff,10.0,3.0,0.0
848f769ffffffff,129.0,31.0,0.0
848f76bffffffff,1.0,0.0,0.0
848f76dffffffff,66.0,22.0,0.0
