cell_id,Cercomacroides tyrannina,Cercomacroides tyrannina tyrannina/crepera,Cercomacroides tyrannina saturatior/vicina
834526fffffffff,5.0,0.0,0.0
83452afffffffff,6.0,0.0,0.0
83452cfffffffff,3.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,3.0,0.0,0.0
835f01fffffffff,2.0,0.0,2.0
835f03fffffffff,1.0,0.0,1.0
836608fffffffff,1.0,0.0,0.0
836616fffffffff,3.0,3.0,0.0
8366a0fffffffff,4.0,0.0,0.0
8366a3fffffffff,13.0,0.0,0.0
8366a5fffffffff,17.0,6.0,0.0
8366b1fffffffff,4.0,0.0,0.0
8366b5fffffffff,9.0,1.0,0.0
83679afffffffff,1.0,1.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d2cfffffffff,4.0,0.0,0.0
836d30fffffffff,4.0,4.0,0.0
836d31fffffffff,3.0,0.0,0.0
836d68fffffffff,6.0,0.0,0.0
836d69fffffffff,2.0,1.0,0.0
838af0fffffffff,2.0,2.0,0.0
