cell_id,Piaya cayana,Piaya cayana mexicana,Piaya cayana thermophila,Piaya cayana nigricrissa,Piaya cayana [cayana Group]
824507fffffffff,697.0,0.0,49.0,0.0,0.0
82450ffffffffff,4945.0,0.0,648.0,0.0,0.0
82451ffffffffff,23.0,0.0,10.0,0.0,0.0
824527fffffffff,8338.0,0.0,273.0,0.0,0.0
82452ffffffffff,16339.0,0.0,1395.0,0.0,0.0
824537fffffffff,1264.0,0.0,0.0,0.0,0.0
824577fffffffff,272.0,0.0,102.0,0.0,0.0
824807fffffffff,62.0,2.0,0.0,0.0,0.0
82480ffffffffff,429.0,83.0,0.0,0.0,0.0
824817fffffffff,62.0,4.0,0.0,0.0,0.0
82481ffffffffff,20.0,0.0,0.0,0.0,0.0
824837fffffffff,3492.0,406.0,0.0,0.0,0.0
8248b7fffffffff,7.0,0.0,4.0,0.0,0.0
8248e7fffffffff,8.0,2.0,0.0,0.0,0.0
824987fffffffff,259.0,112.0,0.0,0.0,0.0
82498ffffffffff,9.0,0.0,0.0,0.0,0.0
824997fffffffff,5774.0,82.0,1263.0,0.0,0.0
82499ffffffffff,497.0,0.0,38.0,0.0,0.0
8249a7fffffffff,54.0,20.0,0.0,0.0,0.0
8249affffffffff,2391.0,284.0,0.0,0.0,0.0
8249b7fffffffff,1180.0,324.0,0.0,0.0,0.0
825f07fffffffff,197.0,0.0,0.0,0.0,0.0
825f0ffffffffff,27.0,0.0,0.0,0.0,0.0
825f17fffffffff,81.0,0.0,0.0,0.0,0.0
825f1ffffffffff,47.0,0.0,0.0,0.0,0.0
825f27fffffffff,9.0,0.0,0.0,0.0,0.0
825f2ffffffffff,619.0,0.0,0.0,0.0,0.0
825f47fffffffff,90.0,0.0,0.0,0.0,2.0
825f4ffffffffff,127.0,0.0,0.0,0.0,0.0
825f57fffffffff,21.0,0.0,0.0,0.0,0.0
825f5ffffffffff,576.0,0.0,0.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0,0.0,0.0
825f6ffffffffff,74.0,0.0,0.0,0.0,0.0
825f77fffffffff,201.0,0.0,0.0,0.0,13.0
826607fffffffff,369.0,0.0,0.0,0.0,0.0
82660ffffffffff,3347.0,0.0,0.0,0.0,7.0
826617fffffffff,2627.0,0.0,308.0,0.0,0.0
82661ffffffffff,8776.0,0.0,0.0,188.0,6.0
826627fffffffff,2993.0,0.0,0.0,0.0,29.0
82662ffffffffff,374.0,0.0,0.0,0.0,0.0
826637fffffffff,509.0,0.0,0.0,0.0,1.0
826647fffffffff,679.0,0.0,0.0,0.0,77.0
82664ffffffffff,8.0,0.0,0.0,0.0,0.0
826657fffffffff,727.0,0.0,0.0,0.0,0.0
82665ffffffffff,578.0,0.0,0.0,0.0,65.0
826667fffffffff,96.0,0.0,0.0,0.0,3.0
82666ffffffffff,26.0,0.0,0.0,0.0,0.0
826677fffffffff,288.0,0.0,0.0,0.0,0.0
826687fffffffff,3.0,0.0,0.0,0.0,0.0
8266a7fffffffff,11518.0,0.0,973.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0,0.0
8266b7fffffffff,11907.0,0.0,61.0,0.0,0.0
8266c7fffffffff,4544.0,0.0,0.0,11.0,38.0
8266cffffffffff,117.0,0.0,0.0,0.0,8.0
8266d7fffffffff,6773.0,0.0,0.0,595.0,5.0
8266dffffffffff,4446.0,0.0,0.0,0.0,806.0
8266e7fffffffff,11684.0,0.0,0.0,89.0,10.0
8266effffffffff,893.0,0.0,0.0,0.0,14.0
8266f7fffffffff,5893.0,0.0,0.0,64.0,0.0
826747fffffffff,524.0,0.0,0.0,0.0,12.0
82674ffffffffff,2071.0,0.0,0.0,0.0,14.0
826757fffffffff,592.0,0.0,0.0,0.0,5.0
82675ffffffffff,590.0,0.0,0.0,0.0,0.0
82676ffffffffff,3.0,0.0,0.0,0.0,0.0
826797fffffffff,248.0,0.0,0.0,0.0,0.0
82679ffffffffff,3151.0,0.0,14.0,0.0,0.0
826d07fffffffff,560.0,0.0,156.0,0.0,0.0
826d17fffffffff,519.0,42.0,0.0,0.0,0.0
826d27fffffffff,1508.0,0.0,315.0,0.0,0.0
826d2ffffffffff,6646.0,0.0,2352.0,0.0,0.0
826d37fffffffff,2788.0,1.0,159.0,0.0,0.0
826d67fffffffff,5808.0,0.0,0.0,0.0,0.0
826d6ffffffffff,29831.0,0.0,0.0,0.0,0.0
826d77fffffffff,2447.0,0.0,14.0,0.0,0.0
828007fffffffff,33.0,0.0,0.0,0.0,3.0
82800ffffffffff,16.0,0.0,0.0,0.0,0.0
828017fffffffff,489.0,0.0,0.0,0.0,15.0
