cell_id,Tolmomyias assimilis,Tolmomyias assimilis neglectus,Tolmomyias assimilis examinatus,Tolmomyias assimilis obscuriceps,Tolmomyias assimilis [assimilis Group],Tolmomyias assimilis sucunduri,Tolmomyias assimilis paraensis
845f011ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f031ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f03dffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
845f08bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
845f0d7ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
845f105ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
845f107ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
845f117ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f129ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f139ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f13dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f143ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
845f153ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f161ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
845f163ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f1cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f1e9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f291ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
845f295ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
845f29dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2b1ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2b3ffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2bbffffffff,140.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f2d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f42bffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
845f549ffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
845f683ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
845f689ffffffff,4.0,0.0,1.0,0.0,0.0,0.0,0.0
845f709ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f711ffffffff,20.0,0.0,4.0,0.0,0.0,0.0,0.0
845f713ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
845f717ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
845f755ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f757ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f759ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8466087ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
846619bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466411ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8466415ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466417ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
846641dffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8466481ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466487ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
846652dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466545ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466549ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466569ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84665a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84665abffffffff,68.0,0.0,0.0,7.0,0.0,0.0,0.0
84665bdffffffff,40.0,0.0,0.0,14.0,0.0,0.0,0.0
84665e9ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8466639ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466735ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c01ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c0dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c19ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c21ffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c23ffffffff,43.0,0.0,0.0,7.0,0.0,0.0,0.0
8466c27ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c2dffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c35ffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0
8466c37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c63ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466cbbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466cc5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466ce1ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d1bffffffff,99.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d81ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8466da3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466db1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
8466dc3ffffffff,149.0,0.0,0.0,49.0,0.0,0.0,0.0
8466dc7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466dc9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8466dd5ffffffff,15.0,0.0,0.0,5.0,0.0,0.0,0.0
8466dd9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de3ffffffff,18.0,0.0,0.0,6.0,0.0,0.0,0.0
8466de7ffffffff,9.0,0.0,0.0,3.0,0.0,0.0,0.0
8466debffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
8466e15ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e57ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e59ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466ec5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466ec7ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8466ecbffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8466ee5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8480445ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848044dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8480469ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
8480619ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8480625ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8480643ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8480655ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8480665ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
848068bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84806b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84806b7ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8480713ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8480723ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8480745ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
