cell_id,Vireo leucophrys,Vireo leucophrys [amauronotus Group],Vireo leucophrys [leucophrys Group]
8445201ffffffff,7.0,0.0,0.0
8445205ffffffff,2.0,0.0,0.0
844520dffffffff,69.0,0.0,0.0
8445241ffffffff,7.0,0.0,0.0
8445243ffffffff,121.0,0.0,0.0
8445245ffffffff,18.0,0.0,0.0
8445247ffffffff,66.0,0.0,0.0
844524bffffffff,4.0,0.0,0.0
8445253ffffffff,12.0,0.0,0.0
844525bffffffff,18.0,0.0,0.0
844525dffffffff,2.0,0.0,0.0
8445263ffffffff,5.0,0.0,0.0
8445269ffffffff,15.0,0.0,0.0
844526bffffffff,10.0,0.0,0.0
8445309ffffffff,1.0,0.0,0.0
8445351ffffffff,33.0,0.0,0.0
8449901ffffffff,12.0,0.0,0.0
8449903ffffffff,4.0,0.0,0.0
8449909ffffffff,2.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0
844990dffffffff,14.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0
8449913ffffffff,23.0,0.0,0.0
8449917ffffffff,29.0,0.0,0.0
844991dffffffff,24.0,0.0,0.0
8449945ffffffff,3.0,0.0,0.0
8449961ffffffff,12.0,0.0,0.0
8449963ffffffff,714.0,0.0,0.0
8449969ffffffff,19.0,0.0,0.0
844996bffffffff,41.0,0.0,0.0
8449981ffffffff,1.0,0.0,0.0
8449983ffffffff,1.0,0.0,0.0
8449987ffffffff,57.0,0.0,0.0
84499a3ffffffff,3.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0
84499c1ffffffff,1.0,0.0,0.0
84499c5ffffffff,22.0,0.0,0.0
84499cdffffffff,10.0,0.0,0.0
845f4a3ffffffff,1.0,0.0,0.0
845f4a7ffffffff,5.0,0.0,0.0
845f4abffffffff,4.0,0.0,0.0
845f4bdffffffff,1.0,0.0,0.0
845f59bffffffff,1.0,0.0,0.0
846601bffffffff,1.0,0.0,0.0
8466081ffffffff,12.0,0.0,0.0
8466083ffffffff,106.0,0.0,0.0
8466087ffffffff,15.0,0.0,0.0
8466089ffffffff,160.0,0.0,0.0
846608bffffffff,16.0,0.0,0.0
846608dffffffff,131.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466097ffffffff,10.0,0.0,0.0
846609dffffffff,1.0,0.0,0.0
84660a3ffffffff,6.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0
84660b1ffffffff,5.0,0.0,0.0
84660b3ffffffff,55.0,0.0,0.0
84660b5ffffffff,60.0,0.0,0.0
84660b7ffffffff,49.0,0.0,0.0
84660b9ffffffff,100.0,0.0,0.0
84660bbffffffff,8.0,0.0,0.0
84660bdffffffff,310.0,0.0,0.0
84660c1ffffffff,6.0,0.0,0.0
84660c3ffffffff,35.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0
84660cbffffffff,24.0,0.0,0.0
84660d1ffffffff,2.0,0.0,0.0
84660ddffffffff,113.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0
8466181ffffffff,29.0,0.0,0.0
8466183ffffffff,448.0,0.0,0.0
8466187ffffffff,6.0,0.0,0.0
8466189ffffffff,7.0,0.0,0.0
846618bffffffff,93.0,0.0,0.0
846618dffffffff,3.0,0.0,0.0
8466191ffffffff,34.0,0.0,0.0
8466193ffffffff,69.0,0.0,0.0
8466195ffffffff,46.0,0.0,0.0
8466197ffffffff,507.0,0.0,0.0
8466199ffffffff,4.0,0.0,0.0
846619bffffffff,6.0,0.0,0.0
846619dffffffff,280.0,0.0,0.0
84661b1ffffffff,29.0,0.0,0.0
84661b3ffffffff,280.0,0.0,0.0
84661b7ffffffff,9.0,0.0,0.0
84661b9ffffffff,165.0,0.0,0.0
84661bbffffffff,589.0,0.0,0.0
84661c3ffffffff,5.0,0.0,0.0
84661d1ffffffff,85.0,0.0,0.0
84661d3ffffffff,2.0,0.0,0.0
84661d5ffffffff,113.0,0.0,0.0
84661d7ffffffff,5.0,0.0,0.0
84661ddffffffff,1.0,0.0,0.0
8466201ffffffff,2.0,0.0,0.0
8466205ffffffff,12.0,0.0,0.0
8466207ffffffff,1.0,0.0,0.0
8466213ffffffff,7.0,0.0,0.0
8466217ffffffff,89.0,0.0,0.0
846622bffffffff,1294.0,0.0,0.0
846623dffffffff,40.0,0.0,0.0
8466291ffffffff,130.0,0.0,0.0
8466299ffffffff,14.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0
846629dffffffff,38.0,0.0,0.0
84662a7ffffffff,2.0,0.0,0.0
84662b1ffffffff,3.0,0.0,0.0
84662b7ffffffff,8.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e5ffffffff,1.0,0.0,0.0
84662e9ffffffff,5.0,0.0,0.0
8466313ffffffff,1.0,0.0,0.0
846652dffffffff,1.0,0.0,0.0
8466545ffffffff,2.0,0.0,0.0
846654bffffffff,2.0,0.0,0.0
846656dffffffff,5.0,0.0,0.0
8466a29ffffffff,6.0,0.0,0.0
8466a2dffffffff,39.0,0.0,0.0
8466b41ffffffff,785.0,0.0,0.0
8466b43ffffffff,17.0,0.0,0.0
8466b45ffffffff,1656.0,0.0,0.0
8466b49ffffffff,51.0,0.0,0.0
8466b4dffffffff,1088.0,0.0,0.0
8466b51ffffffff,1335.0,0.0,0.0
8466b53ffffffff,11.0,0.0,0.0
8466b55ffffffff,140.0,0.0,0.0
8466b5bffffffff,130.0,0.0,0.0
8466b5dffffffff,119.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0
8466c0dffffffff,90.0,0.0,0.0
8466c21ffffffff,108.0,0.0,0.0
8466c23ffffffff,2.0,0.0,0.0
8466c25ffffffff,18.0,0.0,0.0
8466c27ffffffff,2.0,0.0,0.0
8466c29ffffffff,28.0,0.0,0.0
8466c2dffffffff,51.0,0.0,0.0
8466c41ffffffff,14.0,0.0,0.0
8466c45ffffffff,30.0,0.0,0.0
8466c47ffffffff,45.0,0.0,0.0
8466c49ffffffff,1.0,0.0,0.0
8466c4bffffffff,15.0,0.0,0.0
8466c4dffffffff,42.0,0.0,0.0
8466c61ffffffff,50.0,0.0,0.0
8466c63ffffffff,375.0,0.0,0.0
8466c65ffffffff,55.0,0.0,0.0
8466c67ffffffff,189.0,0.0,0.0
8466c69ffffffff,173.0,0.0,0.0
8466c6bffffffff,103.0,0.0,0.0
8466c6dffffffff,669.0,0.0,0.0
8466d03ffffffff,105.0,0.0,0.0
8466d07ffffffff,5.0,0.0,0.0
8466d0bffffffff,115.0,0.0,0.0
8466d11ffffffff,5.0,0.0,0.0
8466d15ffffffff,2.0,0.0,0.0
8466d19ffffffff,16.0,0.0,0.0
8466d1bffffffff,6.0,0.0,0.0
8466d1dffffffff,10.0,0.0,0.0
8466d23ffffffff,4.0,0.0,0.0
8466d31ffffffff,4656.0,0.0,0.0
8466d33ffffffff,56.0,0.0,0.0
8466d35ffffffff,163.0,0.0,0.0
8466d37ffffffff,138.0,0.0,0.0
8466d39ffffffff,62.0,0.0,0.0
8466d3bffffffff,5.0,0.0,0.0
8466d3dffffffff,18.0,0.0,0.0
8466d51ffffffff,7.0,0.0,0.0
8466d53ffffffff,103.0,0.0,0.0
