cell_id,Machaeropterus striolatus,Machaeropterus striolatus [striolatus Group],Machaeropterus striolatus aureopectus
845f759ffffffff,36.0,0.0,2.0
845f75dffffffff,15.0,3.0,0.0
8466037ffffffff,2.0,0.0,0.0
8466045ffffffff,1.0,0.0,0.0
8466085ffffffff,2.0,0.0,0.0
8466089ffffffff,8.0,0.0,0.0
846608dffffffff,613.0,3.0,0.0
8466091ffffffff,5.0,0.0,0.0
8466099ffffffff,12.0,0.0,0.0
84660a1ffffffff,15.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a5ffffffff,2.0,0.0,0.0
84660a7ffffffff,401.0,8.0,0.0
84660abffffffff,2.0,0.0,0.0
84660c1ffffffff,6.0,0.0,0.0
84660c7ffffffff,10.0,0.0,0.0
84660d1ffffffff,10.0,0.0,0.0
84660d3ffffffff,8.0,0.0,0.0
84660e5ffffffff,3.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
8466181ffffffff,3.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466189ffffffff,3.0,0.0,0.0
846618bffffffff,3.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,172.0,6.0,0.0
8466193ffffffff,683.0,25.0,0.0
8466195ffffffff,3.0,0.0,0.0
8466197ffffffff,69.0,0.0,0.0
8466199ffffffff,147.0,1.0,0.0
846619bffffffff,353.0,46.0,0.0
846619dffffffff,14.0,5.0,0.0
84661b1ffffffff,304.0,0.0,0.0
84661b3ffffffff,44.0,1.0,0.0
84661b9ffffffff,23.0,2.0,0.0
84661bbffffffff,12.0,0.0,0.0
84661c3ffffffff,6.0,0.0,0.0
84661c9ffffffff,10.0,0.0,0.0
84661cbffffffff,29.0,0.0,0.0
84661cdffffffff,46.0,0.0,0.0
84661d1ffffffff,115.0,2.0,0.0
84661d3ffffffff,33.0,0.0,0.0
84661d5ffffffff,1.0,0.0,0.0
84661d7ffffffff,51.0,0.0,0.0
84661dbffffffff,6.0,1.0,0.0
84661ddffffffff,52.0,0.0,0.0
84661ebffffffff,147.0,0.0,0.0
8466291ffffffff,4.0,0.0,0.0
846629bffffffff,6.0,0.0,0.0
846629dffffffff,1.0,0.0,0.0
84662d3ffffffff,58.0,0.0,0.0
84662e9ffffffff,5.0,0.0,0.0
8466415ffffffff,5.0,0.0,0.0
846652dffffffff,9.0,0.0,0.0
8466537ffffffff,2.0,0.0,0.0
8466545ffffffff,2.0,0.0,0.0
846656dffffffff,31.0,0.0,0.0
84665a3ffffffff,2.0,0.0,0.0
84665abffffffff,83.0,8.0,0.0
84665bdffffffff,144.0,19.0,0.0
84665e9ffffffff,2.0,0.0,0.0
8466633ffffffff,3.0,0.0,0.0
8466637ffffffff,6.0,0.0,0.0
84666c5ffffffff,4.0,0.0,0.0
84666ebffffffff,1.0,0.0,0.0
8466725ffffffff,9.0,0.0,0.0
8466c01ffffffff,64.0,0.0,0.0
8466c03ffffffff,2.0,0.0,0.0
8466c05ffffffff,9.0,0.0,0.0
8466c0dffffffff,16.0,0.0,0.0
8466c19ffffffff,2.0,0.0,0.0
8466c21ffffffff,88.0,0.0,0.0
8466c23ffffffff,55.0,9.0,0.0
8466c27ffffffff,23.0,0.0,0.0
8466c29ffffffff,16.0,0.0,0.0
8466c2bffffffff,26.0,0.0,0.0
8466c2dffffffff,3.0,0.0,0.0
8466c35ffffffff,10.0,2.0,0.0
8466c53ffffffff,11.0,0.0,0.0
8466c59ffffffff,1.0,0.0,0.0
8466c5bffffffff,7.0,0.0,0.0
8466c5dffffffff,47.0,0.0,0.0
8466c67ffffffff,1.0,0.0,0.0
8466c95ffffffff,11.0,0.0,0.0
8466cd1ffffffff,2.0,2.0,0.0
8466ce9ffffffff,49.0,6.0,0.0
8466d13ffffffff,5.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d1bffffffff,297.0,0.0,0.0
8466d81ffffffff,29.0,8.0,0.0
8466d8dffffffff,4.0,0.0,0.0
8466da1ffffffff,1.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0
8466dadffffffff,36.0,7.0,0.0
8466db1ffffffff,7.0,0.0,0.0
8466dc3ffffffff,99.0,21.0,0.0
8466dc7ffffffff,13.0,3.0,0.0
8466dc9ffffffff,7.0,0.0,0.0
8466dcbffffffff,3.0,1.0,0.0
8466dd1ffffffff,1.0,0.0,0.0
8466dd5ffffffff,4.0,0.0,0.0
8466dd9ffffffff,5.0,0.0,0.0
8466dddffffffff,4.0,2.0,0.0
8466de1ffffffff,159.0,47.0,0.0
8466de3ffffffff,58.0,13.0,0.0
8466de7ffffffff,4.0,0.0,0.0
8466debffffffff,87.0,8.0,0.0
