cell_id,Haematopus ostralegus,Haematopus ostralegus ostralegus/longipes,Haematopus ostralegus osculans
830120fffffffff,4.0,0.0,0.0
830122fffffffff,11.0,0.0,0.0
830123fffffffff,4.0,0.0,0.0
830124fffffffff,9.0,0.0,0.0
830125fffffffff,8.0,0.0,0.0
830126fffffffff,3.0,0.0,0.0
830130fffffffff,433.0,0.0,0.0
830131fffffffff,135.0,0.0,0.0
830134fffffffff,5.0,0.0,0.0
830135fffffffff,780.0,0.0,0.0
830136fffffffff,1.0,0.0,0.0
830741fffffffff,360.0,18.0,0.0
830742fffffffff,144.0,3.0,0.0
830743fffffffff,699.0,12.0,0.0
830744fffffffff,47.0,2.0,0.0
830745fffffffff,89.0,0.0,0.0
830746fffffffff,204.0,15.0,0.0
83074efffffffff,202.0,1.0,0.0
830751fffffffff,82.0,6.0,0.0
830753fffffffff,11.0,0.0,0.0
830755fffffffff,141.0,0.0,0.0
830758fffffffff,510.0,14.0,0.0
83075cfffffffff,473.0,24.0,0.0
83075dfffffffff,2017.0,86.0,0.0
83075efffffffff,671.0,32.0,0.0
830762fffffffff,283.0,41.0,0.0
830763fffffffff,197.0,13.0,0.0
830770fffffffff,86.0,12.0,0.0
830771fffffffff,48.0,8.0,0.0
830773fffffffff,516.0,40.0,0.0
830775fffffffff,84.0,2.0,0.0
830800fffffffff,4.0,0.0,0.0
830802fffffffff,34.0,0.0,0.0
830805fffffffff,4.0,0.0,0.0
830806fffffffff,74.0,0.0,0.0
830813fffffffff,3.0,0.0,0.0
830815fffffffff,267.0,0.0,0.0
83081efffffffff,2.0,0.0,0.0
830828fffffffff,10.0,0.0,0.0
830829fffffffff,17.0,0.0,0.0
83082afffffffff,4.0,0.0,0.0
83082bfffffffff,4.0,0.0,0.0
83082dfffffffff,3.0,0.0,0.0
830830fffffffff,12.0,0.0,0.0
830832fffffffff,25.0,0.0,0.0
830833fffffffff,32.0,0.0,0.0
830836fffffffff,98.0,0.0,0.0
830880fffffffff,14.0,0.0,0.0
830882fffffffff,3.0,0.0,0.0
830883fffffffff,91.0,5.0,0.0
830884fffffffff,2.0,0.0,0.0
830885fffffffff,5.0,0.0,0.0
830886fffffffff,82.0,0.0,0.0
830888fffffffff,55.0,11.0,0.0
830889fffffffff,2.0,0.0,0.0
83088efffffffff,34.0,26.0,0.0
830890fffffffff,32.0,0.0,0.0
830893fffffffff,46.0,0.0,0.0
830895fffffffff,64.0,0.0,0.0
830896fffffffff,54.0,0.0,0.0
830898fffffffff,77.0,0.0,0.0
830899fffffffff,253.0,56.0,0.0
83089afffffffff,191.0,0.0,0.0
83089bfffffffff,143.0,1.0,0.0
83089cfffffffff,22.0,0.0,0.0
83089dfffffffff,43.0,0.0,0.0
83089efffffffff,137.0,0.0,0.0
8308a4fffffffff,1.0,0.0,0.0
8308a8fffffffff,2.0,0.0,0.0
8308aefffffffff,2.0,0.0,0.0
8308b0fffffffff,17.0,2.0,0.0
8308b1fffffffff,9.0,0.0,0.0
8308b3fffffffff,24.0,0.0,0.0
8308b4fffffffff,3.0,0.0,0.0
8308b5fffffffff,2.0,0.0,0.0
8308c2fffffffff,10.0,0.0,0.0
8308c6fffffffff,4.0,0.0,0.0
8308c8fffffffff,4.0,0.0,0.0
8308c9fffffffff,9.0,0.0,0.0
8308cefffffffff,1.0,0.0,0.0
