cell_id,Dendrocolaptes picumnus,Dendrocolaptes picumnus [puncticollis Group],Dendrocolaptes picumnus [picumnus Group],Dendrocolaptes picumnus pallescens/casaresi
834524fffffffff,38.0,0.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0,0.0
834534fffffffff,4.0,0.0,0.0,0.0
834535fffffffff,12.0,0.0,0.0,0.0
835f03fffffffff,38.0,0.0,0.0,0.0
835f10fffffffff,6.0,0.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0,0.0
835f13fffffffff,3.0,0.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0,0.0
835f15fffffffff,3.0,0.0,0.0,0.0
835f16fffffffff,5.0,0.0,0.0,0.0
835f29fffffffff,3.0,0.0,0.0,0.0
835f2bfffffffff,109.0,0.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0,0.0
835f40fffffffff,6.0,0.0,0.0,0.0
835f42fffffffff,7.0,0.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0,0.0
835f4afffffffff,8.0,0.0,0.0,0.0
835f4bfffffffff,5.0,0.0,0.0,0.0
835f54fffffffff,4.0,0.0,0.0,0.0
835f68fffffffff,5.0,0.0,0.0,0.0
835f71fffffffff,14.0,0.0,0.0,0.0
835f75fffffffff,2.0,0.0,0.0,0.0
836608fffffffff,76.0,0.0,0.0,0.0
83660afffffffff,18.0,0.0,0.0,0.0
83660bfffffffff,17.0,0.0,0.0,0.0
83660cfffffffff,37.0,0.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0,0.0
836618fffffffff,6.0,0.0,0.0,0.0
836619fffffffff,42.0,0.0,0.0,0.0
83661bfffffffff,56.0,0.0,0.0,0.0
83661dfffffffff,24.0,0.0,0.0,0.0
836620fffffffff,330.0,0.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0,0.0
836623fffffffff,3.0,0.0,0.0,0.0
836629fffffffff,25.0,0.0,2.0,0.0
83662dfffffffff,14.0,0.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0,0.0
836641fffffffff,75.0,0.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0,0.0
83665afffffffff,1.0,0.0,0.0,0.0
836663fffffffff,5.0,0.0,0.0,0.0
83666cfffffffff,7.0,0.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,35.0,0.0,0.0,0.0
8366b5fffffffff,12.0,0.0,1.0,0.0
8366c0fffffffff,19.0,0.0,0.0,0.0
8366c1fffffffff,5.0,0.0,0.0,0.0
8366c2fffffffff,180.0,0.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0,0.0
8366c4fffffffff,20.0,0.0,0.0,0.0
8366c5fffffffff,40.0,0.0,0.0,0.0
8366c6fffffffff,56.0,0.0,0.0,0.0
8366cefffffffff,16.0,0.0,0.0,0.0
8366d0fffffffff,7.0,0.0,0.0,0.0
8366d1fffffffff,41.0,0.0,0.0,0.0
8366d8fffffffff,38.0,0.0,0.0,0.0
8366dafffffffff,12.0,0.0,2.0,0.0
8366dcfffffffff,326.0,0.0,54.0,0.0
8366ddfffffffff,28.0,0.0,4.0,0.0
8366defffffffff,47.0,0.0,7.0,0.0
8366e0fffffffff,88.0,0.0,0.0,0.0
8366e1fffffffff,4.0,0.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0,0.0
8366e3fffffffff,7.0,0.0,0.0,0.0
8366e4fffffffff,14.0,0.0,0.0,0.0
8366e5fffffffff,18.0,0.0,0.0,0.0
8366e6fffffffff,344.0,0.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0,0.0
8366ecfffffffff,23.0,0.0,0.0,0.0
8366eefffffffff,7.0,0.0,0.0,0.0
8366f1fffffffff,44.0,0.0,0.0,0.0
8366f3fffffffff,4.0,0.0,0.0,0.0
8366f5fffffffff,64.0,0.0,0.0,0.0
836741fffffffff,110.0,0.0,0.0,0.0
836742fffffffff,10.0,0.0,0.0,0.0
836743fffffffff,83.0,0.0,0.0,0.0
83674cfffffffff,8.0,0.0,0.0,0.0
83674efffffffff,37.0,0.0,0.0,0.0
836751fffffffff,8.0,0.0,0.0,0.0
836753fffffffff,4.0,0.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0,0.0
83675cfffffffff,13.0,0.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0,0.0
836d64fffffffff,12.0,0.0,0.0,0.0
836d66fffffffff,11.0,0.0,0.0,0.0
836d69fffffffff,45.0,0.0,0.0,0.0
83804cfffffffff,1.0,0.0,0.0,0.0
838068fffffffff,2.0,0.0,0.0,0.0
83806afffffffff,2.0,0.0,0.0,0.0
83806bfffffffff,3.0,0.0,0.0,0.0
83814afffffffff,21.0,0.0,0.0,0.0
83814dfffffffff,2.0,0.0,0.0,0.0
83814efffffffff,15.0,0.0,0.0,0.0
83815dfffffffff,4.0,0.0,0.0,0.0
838a00fffffffff,3.0,0.0,0.0,0.0
838a01fffffffff,7.0,0.0,0.0,0.0
838a05fffffffff,18.0,0.0,4.0,0.0
838a1afffffffff,7.0,0.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0,0.0
838a43fffffffff,2.0,0.0,0.0,0.0
838a45fffffffff,27.0,0.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0,0.0
838a69fffffffff,10.0,0.0,0.0,0.0
838a6dfffffffff,31.0,0.0,0.0,0.0
838a82fffffffff,3.0,0.0,0.0,0.0
838a91fffffffff,3.0,0.0,0.0,0.0
838a9cfffffffff,35.0,0.0,0.0,0.0
838aabfffffffff,2.0,0.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0,0.0
838ad8fffffffff,2.0,0.0,0.0,0.0
838adbfffffffff,4.0,0.0,0.0,0.0
838adcfffffffff,6.0,0.0,0.0,0.0
838af0fffffffff,32.0,0.0,1.0,0.0
838af2fffffffff,25.0,0.0,3.0,0.0
838af4fffffffff,11.0,0.0,1.0,0.0
838af6fffffffff,221.0,0.0,17.0,0.0
838b04fffffffff,9.0,0.0,0.0,0.0
838b0cfffffffff,12.0,0.0,0.0,0.0
838b20fffffffff,7.0,0.0,0.0,0.0
838b22fffffffff,105.0,0.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0,0.0
838b2cfffffffff,10.0,0.0,0.0,0.0
838b31fffffffff,3.0,0.0,0.0,0.0
838b36fffffffff,2.0,0.0,0.0,0.0
838b40fffffffff,31.0,0.0,0.0,0.0
838b42fffffffff,6.0,0.0,0.0,0.0
838b44fffffffff,53.0,0.0,0.0,0.0
838b46fffffffff,12.0,0.0,0.0,0.0
838b4efffffffff,10.0,0.0,0.0,0.0
838b51fffffffff,11.0,0.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0,0.0
838b56fffffffff,3.0,0.0,0.0,0.0
838b5cfffffffff,13.0,0.0,1.0,0.0
838b5dfffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,130.0,0.0,0.0,0.0
838b62fffffffff,20.0,0.0,0.0,0.0
838b63fffffffff,81.0,0.0,0.0,0.0
838b68fffffffff,4.0,0.0,0.0,0.0
838b69fffffffff,10.0,0.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0,0.0
838b6efffffffff,27.0,0.0,0.0,0.0
838b71fffffffff,111.0,0.0,0.0,0.0
838b74fffffffff,6.0,0.0,0.0,0.0
838b75fffffffff,10.0,0.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0,0.0
838b84fffffffff,3.0,0.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0,0.0
838b99fffffffff,9.0,0.0,0.0,0.0
838b9dfffffffff,50.0,0.0,0.0,0.0
838e64fffffffff,6.0,0.0,0.0,0.0
838e65fffffffff,5.0,0.0,0.0,0.0
838f40fffffffff,14.0,0.0,0.0,0.0
838f43fffffffff,11.0,0.0,0.0,0.0
838f46fffffffff,46.0,0.0,5.0,0.0
838f48fffffffff,12.0,0.0,0.0,0.0
838f4bfffffffff,7.0,0.0,0.0,0.0
838f61fffffffff,1.0,0.0,0.0,0.0
838f6bfffffffff,9.0,0.0,2.0,0.0
838f6cfffffffff,6.0,0.0,0.0,0.0
838f71fffffffff,8.0,0.0,0.0,0.0
838f74fffffffff,11.0,0.0,0.0,0.0
83a829fffffffff,6.0,0.0,0.0,0.0
83a841fffffffff,8.0,0.0,0.0,0.0
83a844fffffffff,2.0,0.0,0.0,0.0
83a859fffffffff,2.0,0.0,0.0,0.0
83a860fffffffff,3.0,0.0,0.0,0.0
83a866fffffffff,3.0,0.0,0.0,0.0
83a86dfffffffff,4.0,0.0,0.0,0.0
83a86efffffffff,3.0,0.0,0.0,0.0
83a948fffffffff,1.0,0.0,0.0,0.0
83a94efffffffff,4.0,0.0,0.0,0.0
83a959fffffffff,5.0,0.0,0.0,0.0
83b321fffffffff,2.0,0.0,0.0,0.0
83b325fffffffff,16.0,0.0,0.0,0.0
83b342fffffffff,284.0,0.0,0.0,0.0
83b343fffffffff,10.0,0.0,0.0,0.0
83b344fffffffff,34.0,0.0,0.0,0.0
83b346fffffffff,11.0,0.0,0.0,0.0
