cell_id,Arremon aurantiirostris,Arremon aurantiirostris [aurantiirostris Group],Arremon aurantiirostris erythrorhynchus,Arremon aurantiirostris spectabilis
824527fffffffff,24.0,0.0,0.0,0.0
82452ffffffffff,3.0,0.0,0.0,0.0
826617fffffffff,2.0,2.0,0.0,0.0
82661ffffffffff,87.0,0.0,0.0,0.0
8266a7fffffffff,3.0,3.0,0.0,0.0
8266b7fffffffff,6.0,3.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0,0.0
8266d7fffffffff,152.0,0.0,0.0,0.0
8266f7fffffffff,33.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0,0.0
826d2ffffffffff,2.0,0.0,0.0,0.0
826d37fffffffff,11.0,9.0,0.0,0.0
826d6ffffffffff,32.0,7.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0
