cell_id,Dendrocincla fuliginosa,Dendrocincla fuliginosa [meruloides Group],Dendrocincla fuliginosa fuliginosa/rufoolivacea,Dendrocincla fuliginosa atrirostris/trumaii
824537fffffffff,4.0,0.0,0.0,0.0
825f07fffffffff,42.0,0.0,0.0,0.0
825f0ffffffffff,6.0,0.0,0.0,0.0
825f17fffffffff,17.0,0.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0,0.0
825f2ffffffffff,236.0,0.0,0.0,0.0
825f47fffffffff,14.0,0.0,0.0,0.0
825f4ffffffffff,82.0,0.0,0.0,0.0
825f57fffffffff,9.0,0.0,0.0,0.0
825f5ffffffffff,689.0,0.0,0.0,0.0
825f6ffffffffff,18.0,0.0,0.0,0.0
825f77fffffffff,47.0,0.0,0.0,0.0
826607fffffffff,24.0,0.0,0.0,0.0
82660ffffffffff,626.0,10.0,0.0,0.0
826617fffffffff,1168.0,106.0,0.0,0.0
82661ffffffffff,1837.0,8.0,0.0,0.0
826627fffffffff,615.0,23.0,0.0,0.0
82662ffffffffff,65.0,0.0,0.0,0.0
826637fffffffff,4.0,0.0,0.0,0.0
826647fffffffff,161.0,0.0,0.0,0.0
82664ffffffffff,7.0,0.0,0.0,0.0
826657fffffffff,109.0,0.0,0.0,0.0
82665ffffffffff,263.0,2.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0,0.0
82666ffffffffff,13.0,0.0,0.0,0.0
826677fffffffff,23.0,0.0,0.0,0.0
8266a7fffffffff,4711.0,383.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,1177.0,0.0,0.0,0.0
8266c7fffffffff,376.0,1.0,0.0,0.0
8266cffffffffff,34.0,0.0,0.0,0.0
8266d7fffffffff,3119.0,318.0,0.0,0.0
8266dffffffffff,1029.0,112.0,0.0,0.0
8266e7fffffffff,1837.0,2.0,0.0,0.0
8266effffffffff,300.0,0.0,0.0,0.0
8266f7fffffffff,829.0,4.0,0.0,0.0
826747fffffffff,287.0,2.0,0.0,0.0
82674ffffffffff,721.0,15.0,0.0,0.0
826757fffffffff,171.0,2.0,0.0,0.0
82675ffffffffff,204.0,0.0,0.0,0.0
826797fffffffff,45.0,0.0,0.0,0.0
82679ffffffffff,555.0,0.0,0.0,0.0
826d6ffffffffff,2147.0,0.0,0.0,0.0
828047fffffffff,87.0,0.0,0.0,0.0
82804ffffffffff,9.0,0.0,0.0,0.0
828057fffffffff,6.0,0.0,0.0,0.0
828067fffffffff,40.0,0.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0,0.0
828077fffffffff,10.0,0.0,0.0,0.0
828147fffffffff,60.0,0.0,0.0,0.0
82814ffffffffff,115.0,0.0,0.0,0.0
82815ffffffffff,39.0,0.0,2.0,0.0
828167fffffffff,36.0,0.0,2.0,0.0
828177fffffffff,13.0,0.0,0.0,0.0
828a07fffffffff,46.0,0.0,2.0,8.0
828a17fffffffff,15.0,0.0,0.0,0.0
828a1ffffffffff,14.0,0.0,0.0,0.0
828a27fffffffff,5.0,0.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0,0.0
828a47fffffffff,101.0,2.0,1.0,0.0
828a4ffffffffff,5.0,0.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0,0.0
828a6ffffffffff,267.0,12.0,0.0,0.0
828a77fffffffff,5.0,0.0,0.0,0.0
828a87fffffffff,38.0,0.0,0.0,0.0
828a97fffffffff,1.0,0.0,0.0,0.0
828a9ffffffffff,35.0,0.0,0.0,0.0
828aaffffffffff,46.0,0.0,0.0,0.0
828adffffffffff,15.0,0.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0,0.0
828af7fffffffff,539.0,13.0,5.0,0.0
828b0ffffffffff,6.0,0.0,0.0,1.0
828b1ffffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,9.0,0.0,0.0,0.0
828b2ffffffffff,13.0,0.0,0.0,0.0
828b47fffffffff,321.0,0.0,0.0,4.0
828b4ffffffffff,3.0,0.0,0.0,0.0
828b57fffffffff,20.0,0.0,0.0,0.0
828b5ffffffffff,8.0,0.0,0.0,0.0
828b67fffffffff,187.0,0.0,0.0,3.0
828b6ffffffffff,42.0,0.0,0.0,0.0
828b77fffffffff,49.0,0.0,0.0,0.0
828b87fffffffff,10.0,0.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0,0.0
828b9ffffffffff,99.0,0.0,0.0,2.0
828ba7fffffffff,5.0,0.0,0.0,0.0
828e67fffffffff,12.0,0.0,0.0,0.0
828f0ffffffffff,436.0,28.0,0.0,0.0
828f27fffffffff,2.0,0.0,0.0,0.0
828f2ffffffffff,891.0,41.0,0.0,0.0
828f47fffffffff,141.0,0.0,0.0,0.0
828f4ffffffffff,24.0,0.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0,0.0
828f67fffffffff,59.0,0.0,0.0,0.0
828f6ffffffffff,6.0,0.0,0.0,0.0
828f77fffffffff,121.0,5.0,0.0,0.0
82a8cffffffffff,9.0,0.0,0.0,8.0
