cell_id,Bradornis microrhynchus,Bradornis microrhynchus pumilus,Bradornis microrhynchus [microrhynchus Group]
83529bfffffffff,9.0,0.0,0.0
8352d3fffffffff,3.0,0.0,0.0
8352dcfffffffff,2.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a4bfffffffff,4.0,0.0,0.0
836a58fffffffff,27.0,0.0,0.0
836a5afffffffff,52.0,0.0,5.0
836a5bfffffffff,16.0,0.0,0.0
836a69fffffffff,2.0,1.0,0.0
836ac9fffffffff,1.0,0.0,0.0
837a40fffffffff,452.0,0.0,0.0
837a41fffffffff,276.0,0.0,14.0
837a43fffffffff,3.0,0.0,0.0
837a44fffffffff,2.0,0.0,0.0
837a45fffffffff,27.0,0.0,0.0
837a46fffffffff,15.0,0.0,0.0
837a48fffffffff,34.0,0.0,0.0
837a4bfffffffff,23.0,0.0,0.0
837a4cfffffffff,115.0,0.0,17.0
837a4dfffffffff,1.0,0.0,0.0
837a4efffffffff,1.0,0.0,0.0
837a50fffffffff,4.0,0.0,0.0
837a53fffffffff,2.0,0.0,0.0
837a55fffffffff,2.0,0.0,0.0
837a59fffffffff,18.0,0.0,0.0
837a5afffffffff,8.0,0.0,5.0
837a60fffffffff,91.0,0.0,0.0
837a61fffffffff,159.0,0.0,0.0
837a63fffffffff,11.0,0.0,0.0
837a64fffffffff,57.0,0.0,0.0
837a65fffffffff,190.0,0.0,9.0
837a66fffffffff,2.0,0.0,0.0
837a68fffffffff,415.0,0.0,0.0
837a69fffffffff,2.0,0.0,0.0
837a6afffffffff,170.0,0.0,2.0
837a6cfffffffff,14.0,0.0,3.0
837a6dfffffffff,420.0,0.0,43.0
837a6efffffffff,398.0,0.0,31.0
837a73fffffffff,5.0,0.0,0.0
837ac1fffffffff,2.0,2.0,0.0
837ac8fffffffff,90.0,22.0,0.0
837ac9fffffffff,3.0,1.0,0.0
837acafffffffff,21.0,2.0,0.0
837accfffffffff,14.0,2.0,0.0
837acdfffffffff,22.0,0.0,3.0
837acefffffffff,1.0,0.0,0.0
837ad9fffffffff,147.0,22.0,3.0
837ae8fffffffff,58.0,20.0,6.0
837ae9fffffffff,129.0,34.0,3.0
837aedfffffffff,36.0,9.0,0.0
837b48fffffffff,3.0,0.0,0.0
837b4bfffffffff,31.0,0.0,6.0
837b4dfffffffff,5.0,0.0,0.0
837b59fffffffff,1.0,0.0,0.0
837b6afffffffff,1.0,0.0,0.0
839683fffffffff,1.0,0.0,0.0
839690fffffffff,239.0,0.0,25.0
839691fffffffff,3.0,0.0,0.0
839692fffffffff,542.0,0.0,73.0
839693fffffffff,247.0,0.0,22.0
839694fffffffff,2.0,0.0,2.0
83969afffffffff,76.0,0.0,6.0
8396a0fffffffff,1.0,0.0,0.0
8396a1fffffffff,2.0,0.0,0.0
8396a2fffffffff,2.0,0.0,2.0
8396a3fffffffff,5.0,0.0,0.0
8396a8fffffffff,1.0,0.0,1.0
8396b0fffffffff,7.0,0.0,2.0
8396b1fffffffff,155.0,0.0,7.0
8396b2fffffffff,2.0,0.0,2.0
8396b3fffffffff,2.0,0.0,0.0
8396b5fffffffff,17.0,0.0,5.0
8396b6fffffffff,10.0,0.0,1.0
