cell_id,Cyanomitra oritis,Cyanomitra oritis bansoensis,Cyanomitra oritis poensis,Cyanomitra oritis oritis
8258c7fffffffff,2.0,0.0,0.0,0.0
8258d7fffffffff,48.0,42.0,0.0,2.0
8258dffffffffff,12.0,3.0,0.0,0.0
8282d7fffffffff,117.0,7.0,22.0,24.0
