cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
8426211ffffffff,34.0,0.0,0.0,0.0
8426213ffffffff,60.0,0.0,0.0,0.0
8426215ffffffff,35.0,0.0,0.0,0.0
8426217ffffffff,14.0,0.0,0.0,0.0
8426219ffffffff,293.0,0.0,0.0,0.0
842621bffffffff,202.0,0.0,0.0,0.0
842621dffffffff,71.0,0.0,0.0,0.0
8426221ffffffff,4.0,0.0,0.0,0.0
8426223ffffffff,20.0,0.0,0.0,0.0
8426225ffffffff,1.0,0.0,0.0,0.0
8426227ffffffff,5.0,0.0,0.0,0.0
8426229ffffffff,12.0,0.0,0.0,0.0
842622bffffffff,26.0,0.0,0.0,0.0
842622dffffffff,4.0,0.0,0.0,0.0
8426231ffffffff,21.0,0.0,0.0,0.0
8426233ffffffff,2.0,0.0,0.0,0.0
8426235ffffffff,13.0,0.0,0.0,0.0
8426237ffffffff,15.0,0.0,0.0,0.0
842623bffffffff,14.0,0.0,0.0,0.0
842623dffffffff,9.0,0.0,0.0,0.0
8426241ffffffff,29.0,0.0,0.0,0.0
8426243ffffffff,22.0,0.0,0.0,0.0
8426245ffffffff,34.0,0.0,0.0,0.0
8426249ffffffff,57.0,0.0,0.0,0.0
842624bffffffff,73.0,0.0,0.0,0.0
842624dffffffff,9.0,0.0,0.0,0.0
8426251ffffffff,33.0,0.0,0.0,0.0
8426253ffffffff,35.0,0.0,0.0,0.0
8426255ffffffff,18.0,0.0,0.0,0.0
8426257ffffffff,41.0,0.0,0.0,0.0
8426259ffffffff,22.0,0.0,0.0,0.0
842625bffffffff,12.0,0.0,0.0,0.0
842625dffffffff,54.0,0.0,0.0,0.0
8426261ffffffff,8.0,0.0,0.0,0.0
8426263ffffffff,60.0,0.0,0.0,0.0
8426267ffffffff,6.0,0.0,0.0,0.0
8426269ffffffff,56.0,0.0,0.0,0.0
842626bffffffff,26.0,0.0,0.0,0.0
842626dffffffff,27.0,0.0,0.0,0.0
8426281ffffffff,13.0,0.0,0.0,0.0
8426283ffffffff,17.0,0.0,0.0,0.0
8426285ffffffff,4.0,0.0,0.0,0.0
8426287ffffffff,7.0,0.0,0.0,0.0
8426289ffffffff,32.0,0.0,0.0,0.0
842628bffffffff,11.0,0.0,0.0,0.0
842628dffffffff,28.0,0.0,0.0,0.0
8426291ffffffff,82.0,0.0,0.0,0.0
8426293ffffffff,22.0,0.0,0.0,0.0
8426297ffffffff,4.0,0.0,0.0,0.0
8426299ffffffff,16.0,0.0,0.0,0.0
842629bffffffff,1.0,0.0,0.0,0.0
84262a1ffffffff,14.0,0.0,0.0,0.0
84262a7ffffffff,8.0,0.0,0.0,0.0
84262adffffffff,4.0,0.0,0.0,0.0
84262b3ffffffff,55.0,0.0,0.0,0.0
84262b7ffffffff,3.0,0.0,0.0,0.0
84262b9ffffffff,2.0,0.0,0.0,0.0
84262c1ffffffff,90.0,0.0,0.0,0.0
84262c3ffffffff,41.0,0.0,0.0,0.0
84262c5ffffffff,21.0,0.0,0.0,0.0
84262c7ffffffff,20.0,0.0,0.0,0.0
84262c9ffffffff,538.0,0.0,0.0,0.0
84262cbffffffff,38.0,0.0,0.0,0.0
84262cdffffffff,2837.0,0.0,0.0,0.0
84262d1ffffffff,6.0,0.0,0.0,0.0
84262d3ffffffff,1.0,0.0,0.0,0.0
84262d5ffffffff,9.0,0.0,0.0,0.0
84262d7ffffffff,2.0,0.0,0.0,0.0
84262d9ffffffff,62.0,0.0,0.0,0.0
84262dbffffffff,55.0,0.0,0.0,0.0
84262ddffffffff,105.0,0.0,0.0,0.0
84262e1ffffffff,20.0,0.0,0.0,0.0
84262e3ffffffff,6.0,0.0,0.0,0.0
84262e5ffffffff,6.0,0.0,0.0,0.0
