cell_id,Malurus splendens,Malurus splendens splendens,Malurus splendens callainus,Malurus splendens melanotus/emmottorum
839d44fffffffff,49.0,0.0,0.0,0.0
839d46fffffffff,1.0,0.0,0.0,0.0
839d60fffffffff,14.0,0.0,0.0,0.0
839d62fffffffff,16.0,0.0,0.0,0.0
839d63fffffffff,2.0,0.0,0.0,0.0
839d65fffffffff,10.0,0.0,0.0,0.0
839d66fffffffff,6.0,0.0,0.0,0.0
839d6cfffffffff,2.0,0.0,0.0,0.0
839d75fffffffff,7.0,0.0,0.0,0.0
83a626fffffffff,7.0,0.0,0.0,0.0
83a630fffffffff,2.0,0.0,0.0,0.0
83a631fffffffff,2.0,0.0,0.0,0.0
83a634fffffffff,2.0,0.0,0.0,0.0
83a635fffffffff,2.0,0.0,0.0,0.0
83a700fffffffff,13.0,0.0,0.0,0.0
83a702fffffffff,13.0,0.0,0.0,0.0
83a703fffffffff,1.0,0.0,0.0,0.0
83a704fffffffff,5.0,0.0,0.0,0.0
83a706fffffffff,9.0,0.0,0.0,0.0
83a710fffffffff,6.0,0.0,0.0,0.0
83a712fffffffff,48.0,0.0,0.0,0.0
83a714fffffffff,42.0,0.0,0.0,0.0
83a716fffffffff,23.0,0.0,0.0,0.0
83a718fffffffff,10.0,0.0,0.0,0.0
83a71bfffffffff,13.0,0.0,0.0,0.0
83a71cfffffffff,10.0,0.0,0.0,0.0
83a71dfffffffff,16.0,0.0,0.0,0.0
83a71efffffffff,11.0,0.0,0.0,0.0
83a722fffffffff,24.0,0.0,0.0,0.0
83a726fffffffff,1362.0,0.0,0.0,0.0
83a730fffffffff,5.0,0.0,0.0,0.0
83a731fffffffff,6.0,0.0,0.0,0.0
83a732fffffffff,22.0,0.0,0.0,0.0
83a733fffffffff,47.0,0.0,0.0,0.0
83a735fffffffff,52.0,0.0,0.0,0.0
83a736fffffffff,6.0,0.0,0.0,0.0
83a782fffffffff,2.0,0.0,0.0,0.0
83a783fffffffff,4.0,0.0,0.0,0.0
83a786fffffffff,3.0,0.0,0.0,0.0
83a7a4fffffffff,4.0,0.0,0.0,0.0
83a7a6fffffffff,9.0,0.0,0.0,0.0
83a7abfffffffff,6.0,0.0,0.0,0.0
83a7aefffffffff,1.0,0.0,0.0,0.0
83b800fffffffff,1.0,0.0,0.0,0.0
83b812fffffffff,6.0,0.0,0.0,0.0
83b834fffffffff,2.0,0.0,0.0,0.0
83b836fffffffff,3.0,0.0,0.0,0.0
83b841fffffffff,24.0,0.0,0.0,0.0
83b842fffffffff,6.0,0.0,0.0,0.0
83b845fffffffff,4.0,0.0,0.0,0.0
83b849fffffffff,15.0,0.0,0.0,0.0
83b84afffffffff,2.0,0.0,0.0,0.0
83b84bfffffffff,12.0,0.0,0.0,0.0
83b850fffffffff,2.0,0.0,0.0,0.0
83b859fffffffff,23.0,0.0,0.0,0.0
83b865fffffffff,2.0,0.0,0.0,0.0
83b86afffffffff,8.0,0.0,0.0,0.0
83b86bfffffffff,4.0,0.0,0.0,0.0
83b870fffffffff,2.0,0.0,0.0,0.0
83b880fffffffff,186.0,0.0,0.0,0.0
83b881fffffffff,42.0,0.0,0.0,0.0
83b883fffffffff,1.0,0.0,0.0,0.0
83b884fffffffff,39.0,0.0,0.0,0.0
83b885fffffffff,158.0,0.0,0.0,0.0
83b886fffffffff,2.0,0.0,0.0,0.0
83b888fffffffff,8.0,0.0,0.0,0.0
83b88cfffffffff,2.0,0.0,0.0,0.0
83b89cfffffffff,2.0,0.0,0.0,0.0
83b8a0fffffffff,3.0,0.0,0.0,0.0
83b8a1fffffffff,8.0,0.0,0.0,0.0
83b8a2fffffffff,5.0,0.0,0.0,0.0
83b8a5fffffffff,3.0,0.0,0.0,0.0
83b8a8fffffffff,6.0,0.0,0.0,0.0
83b8a9fffffffff,33.0,0.0,0.0,0.0
83b8aafffffffff,6.0,0.0,0.0,0.0
83b8abfffffffff,9.0,0.0,0.0,0.0
83b8acfffffffff,5.0,0.0,0.0,0.0
83b8aefffffffff,8.0,0.0,0.0,0.0
83b912fffffffff,29.0,0.0,0.0,0.0
83b913fffffffff,10.0,0.0,0.0,0.0
83b989fffffffff,4.0,0.0,0.0,0.0
83b98afffffffff,1.0,0.0,0.0,0.0
83b9a0fffffffff,3.0,0.0,0.0,0.0
83b9a1fffffffff,5.0,0.0,0.0,0.0
83b9a3fffffffff,1.0,0.0,0.0,0.0
