cell_id,Anabacerthia variegaticeps,Anabacerthia variegaticeps variegaticeps,Anabacerthia variegaticeps temporalis
824527fffffffff,212.0,0.0,0.0
824537fffffffff,154.0,0.0,0.0
824997fffffffff,67.0,20.0,0.0
8249b7fffffffff,17.0,0.0,0.0
82661ffffffffff,1067.0,0.0,0.0
8266a7fffffffff,31.0,1.0,0.0
8266b7fffffffff,456.0,18.0,0.0
8266d7fffffffff,3898.0,0.0,357.0
8266e7fffffffff,5.0,0.0,0.0
8266f7fffffffff,205.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d07fffffffff,86.0,1.0,0.0
826d27fffffffff,96.0,12.0,0.0
826d2ffffffffff,1934.0,427.0,0.0
826d37fffffffff,388.0,52.0,0.0
826d6ffffffffff,359.0,0.0,0.0
828f0ffffffffff,417.0,0.0,36.0
828f2ffffffffff,115.0,0.0,6.0
828f77fffffffff,3.0,0.0,0.0
