cell_id,Myiomela leucura,Myiomela leucura leucura/montium,Myiomela leucura cambodiana
843c029ffffffff,87.0,0.0,0.0
843c02dffffffff,102.0,2.0,0.0
843c063ffffffff,4.0,0.0,0.0
843c067ffffffff,3.0,0.0,0.0
843c0a5ffffffff,164.0,0.0,0.0
843c0a7ffffffff,1.0,0.0,0.0
843c0a9ffffffff,12.0,0.0,0.0
843c0adffffffff,17.0,0.0,0.0
843c0b5ffffffff,8.0,0.0,0.0
843c0b7ffffffff,6.0,0.0,0.0
843c159ffffffff,4.0,0.0,0.0
843c199ffffffff,19.0,0.0,0.0
843c19bffffffff,27.0,0.0,0.0
843c1c3ffffffff,5.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0
843c1d3ffffffff,50.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0
843c1dbffffffff,8.0,0.0,0.0
843c303ffffffff,2.0,0.0,0.0
843c315ffffffff,6.0,0.0,0.0
843c317ffffffff,7.0,0.0,0.0
843c33bffffffff,3.0,0.0,0.0
843c355ffffffff,1.0,0.0,0.0
843c521ffffffff,10.0,0.0,0.0
843c525ffffffff,1.0,0.0,0.0
843c527ffffffff,152.0,0.0,0.0
843c52dffffffff,2.0,0.0,0.0
843c533ffffffff,15.0,0.0,0.0
843c535ffffffff,1.0,0.0,0.0
843c537ffffffff,6.0,0.0,0.0
843c581ffffffff,122.0,0.0,0.0
843c587ffffffff,1.0,0.0,0.0
843c595ffffffff,1.0,0.0,0.0
843c5a1ffffffff,67.0,0.0,0.0
843c5a9ffffffff,12.0,0.0,0.0
843c5adffffffff,10.0,0.0,0.0
843c5b7ffffffff,6.0,0.0,0.0
843c5bdffffffff,37.0,0.0,0.0
843c5c5ffffffff,1.0,0.0,0.0
843c5c7ffffffff,1.0,0.0,0.0
843c5d5ffffffff,1.0,0.0,0.0
843cc03ffffffff,5.0,0.0,0.0
843cc11ffffffff,8.0,0.0,0.0
843cc31ffffffff,7.0,0.0,0.0
843cc41ffffffff,24.0,0.0,0.0
843cc55ffffffff,23.0,0.0,0.0
843cc5dffffffff,1.0,0.0,0.0
843cdbdffffffff,1.0,0.0,0.0
843ce15ffffffff,8.0,0.0,0.0
843ce29ffffffff,7.0,0.0,0.0
843ce3bffffffff,3.0,0.0,0.0
843ce4bffffffff,3.0,0.0,0.0
843ce4dffffffff,46.0,0.0,0.0
843ce51ffffffff,4.0,0.0,0.0
843ce53ffffffff,9.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0
843ce59ffffffff,9.0,0.0,0.0
843ce5bffffffff,15.0,0.0,0.0
843ce5dffffffff,7.0,0.0,0.0
843ce85ffffffff,15.0,0.0,0.0
843ce89ffffffff,2.0,0.0,0.0
843ce8bffffffff,4.0,0.0,0.0
843ce95ffffffff,2.0,0.0,0.0
843cec1ffffffff,21.0,0.0,0.0
843cec3ffffffff,12.0,0.0,0.0
843cec5ffffffff,2.0,0.0,0.0
843cec9ffffffff,6.0,0.0,0.0
8440133ffffffff,8.0,0.0,0.0
84401dbffffffff,6.0,0.0,0.0
84402d7ffffffff,2.0,0.0,0.0
844034bffffffff,2.0,0.0,0.0
8440447ffffffff,4.0,0.0,0.0
84404c1ffffffff,19.0,0.0,0.0
84404c5ffffffff,43.0,0.0,0.0
84404ddffffffff,200.0,1.0,0.0
84404e1ffffffff,2.0,0.0,0.0
84404e9ffffffff,1.0,0.0,0.0
8440591ffffffff,12.0,0.0,0.0
8440595ffffffff,2.0,0.0,0.0
84405c9ffffffff,6.0,0.0,0.0
8440611ffffffff,2.0,0.0,0.0
8440613ffffffff,4.0,0.0,0.0
8440619ffffffff,3.0,0.0,0.0
844061bffffffff,1.0,1.0,0.0
8440651ffffffff,6.0,0.0,0.0
8440653ffffffff,11.0,0.0,0.0
84406b7ffffffff,14.0,2.0,0.0
8440717ffffffff,4.0,0.0,0.0
