cell_id,Tyto tenebricosa,Tyto tenebricosa tenebricosa/arfaki,Tyto tenebricosa multipunctata
849c259ffffffff,4.0,0.0,3.0
849c851ffffffff,1.0,1.0,0.0
849c8b5ffffffff,4.0,0.0,0.0
849c8bdffffffff,1.0,1.0,0.0
84be085ffffffff,1.0,0.0,0.0
84be0adffffffff,2.0,1.0,0.0
84be0b3ffffffff,2.0,0.0,0.0
84be0dbffffffff,3.0,0.0,0.0
84be0e3ffffffff,2.0,1.0,0.0
84be199ffffffff,1.0,0.0,0.0
84be1a1ffffffff,1.0,0.0,0.0
84be1d5ffffffff,2.0,0.0,0.0
84be62bffffffff,36.0,13.0,0.0
84be635ffffffff,1.0,0.0,0.0
84be76dffffffff,6.0,1.0,0.0
84be8d3ffffffff,1.0,1.0,0.0
84beabbffffffff,1.0,0.0,0.0
84bef2dffffffff,6.0,6.0,0.0
84bef41ffffffff,3.0,0.0,0.0
