cell_id,Eriocnemis luciani,Eriocnemis luciani [luciani Group],Eriocnemis luciani sapphiropygia/catharina
8366d0fffffffff,2.0,0.0,0.0
8366d1fffffffff,14.0,0.0,0.0
8366d3fffffffff,2497.0,305.0,0.0
8366defffffffff,27.0,1.0,0.0
838b61fffffffff,65.0,0.0,8.0
838b6cfffffffff,190.0,0.0,16.0
838e60fffffffff,2.0,0.0,0.0
838e65fffffffff,22.0,0.0,0.0
838e6cfffffffff,6.0,0.0,0.0
838e6dfffffffff,40.0,0.0,0.0
838f29fffffffff,7.0,0.0,0.0
838f2dfffffffff,17.0,0.0,0.0
838f42fffffffff,13.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f55fffffffff,108.0,0.0,25.0
838f59fffffffff,8.0,0.0,3.0
838f5cfffffffff,3.0,0.0,0.0
838f72fffffffff,6.0,0.0,0.0
838f76fffffffff,225.0,11.0,0.0
