cell_id,Aethopyga saturata,Aethopyga saturata [saturata Group],Aethopyga saturata johnsi
823c07fffffffff,335.0,3.0,0.0
823c0ffffffffff,315.0,0.0,0.0
823c1ffffffffff,590.0,0.0,0.0
823c37fffffffff,61.0,0.0,0.0
823c47fffffffff,12.0,0.0,0.0
823c57fffffffff,655.0,0.0,0.0
823c5ffffffffff,1854.0,0.0,0.0
823cc7fffffffff,33.0,0.0,0.0
823cdffffffffff,11.0,0.0,0.0
823ce7fffffffff,626.0,0.0,0.0
823ceffffffffff,66.0,0.0,0.0
823d17fffffffff,108.0,0.0,0.0
823d1ffffffffff,45.0,0.0,0.0
823daffffffffff,623.0,0.0,0.0
82402ffffffffff,64.0,0.0,0.0
824047fffffffff,3.0,0.0,0.0
82404ffffffffff,254.0,1.0,0.0
82405ffffffffff,21.0,0.0,0.0
824067fffffffff,55.0,0.0,0.0
82406ffffffffff,34.0,0.0,0.0
82414ffffffffff,19.0,0.0,0.0
82415ffffffffff,51.0,1.0,0.0
824167fffffffff,13.0,0.0,0.0
82416ffffffffff,5.0,0.0,0.0
826417fffffffff,296.0,0.0,0.0
826487fffffffff,1083.0,0.0,0.0
826497fffffffff,929.0,0.0,0.0
82649ffffffffff,64.0,0.0,0.0
8264a7fffffffff,117.0,0.0,0.0
8264b7fffffffff,138.0,0.0,0.0
826507fffffffff,957.0,0.0,0.0
826587fffffffff,150.0,0.0,0.0
826597fffffffff,16.0,0.0,0.0
82659ffffffffff,435.0,0.0,0.0
8265b7fffffffff,337.0,0.0,55.0
826937fffffffff,131.0,0.0,0.0
