cell_id,Pheugopedius felix,Pheugopedius felix [felix Group],Pheugopedius felix lawrencii
824807fffffffff,406.0,0.0,0.0
82480ffffffffff,815.0,0.0,0.0
824817fffffffff,24.0,0.0,0.0
82481ffffffffff,5.0,0.0,0.0
824837fffffffff,6511.0,0.0,29.0
824857fffffffff,2.0,0.0,0.0
8248e7fffffffff,100.0,0.0,0.0
824987fffffffff,283.0,0.0,0.0
82498ffffffffff,3.0,0.0,0.0
824997fffffffff,276.0,0.0,0.0
8249a7fffffffff,134.0,0.0,0.0
8249affffffffff,3424.0,0.0,0.0
8249b7fffffffff,1287.0,3.0,0.0
826d07fffffffff,11.0,0.0,0.0
826d17fffffffff,1259.0,101.0,0.0
826d37fffffffff,261.0,17.0,0.0
