cell_id,Sylvia abyssinica,Sylvia abyssinica monachus,Sylvia abyssinica claudei,Sylvia abyssinica stierlingi,Sylvia abyssinica abyssinica/stictigula
835286fffffffff,2.0,0.0,0.0,0.0,0.0
83529bfffffffff,2.0,0.0,0.0,0.0,0.0
8358c2fffffffff,1.0,0.0,0.0,0.0,0.0
836a5afffffffff,1.0,0.0,0.0,0.0,0.0
836ad1fffffffff,1.0,0.0,0.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0,0.0,0.0
837a41fffffffff,4.0,0.0,0.0,0.0,0.0
837a43fffffffff,3.0,0.0,0.0,0.0,0.0
837a45fffffffff,273.0,0.0,0.0,0.0,0.0
837a48fffffffff,29.0,0.0,0.0,0.0,4.0
837a4cfffffffff,25.0,0.0,0.0,0.0,0.0
837a60fffffffff,4.0,0.0,0.0,0.0,0.0
837a61fffffffff,4.0,0.0,0.0,0.0,0.0
837a65fffffffff,8.0,0.0,0.0,0.0,0.0
837a68fffffffff,3.0,0.0,0.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0,0.0,0.0
837a6bfffffffff,7.0,0.0,0.0,0.0,0.0
837a6efffffffff,66.0,0.0,0.0,0.0,0.0
837ac1fffffffff,1.0,0.0,0.0,0.0,0.0
837ac8fffffffff,11.0,0.0,0.0,0.0,5.0
837acafffffffff,2.0,0.0,0.0,0.0,0.0
837acbfffffffff,2.0,0.0,0.0,0.0,0.0
837accfffffffff,67.0,0.0,0.0,0.0,23.0
837acdfffffffff,33.0,0.0,0.0,0.0,5.0
837ae8fffffffff,2.0,0.0,0.0,0.0,0.0
837aeafffffffff,2.0,0.0,0.0,0.0,0.0
837b48fffffffff,5.0,0.0,0.0,0.0,0.0
837b4bfffffffff,108.0,0.0,0.0,0.0,0.0
8382d0fffffffff,13.0,0.0,12.0,0.0,0.0
8382d1fffffffff,6.0,0.0,4.0,0.0,0.0
8382d3fffffffff,32.0,18.0,0.0,0.0,0.0
838326fffffffff,1.0,0.0,0.0,0.0,0.0
838332fffffffff,3.0,0.0,0.0,0.0,0.0
838333fffffffff,10.0,0.0,0.0,0.0,0.0
83968dfffffffff,4.0,0.0,0.0,0.0,0.0
839690fffffffff,4.0,0.0,0.0,0.0,0.0
839692fffffffff,31.0,0.0,0.0,0.0,0.0
839693fffffffff,29.0,0.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0,0.0
8396b0fffffffff,22.0,0.0,0.0,0.0,0.0
8396b2fffffffff,6.0,0.0,0.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0,0.0,0.0
8396b6fffffffff,6.0,0.0,0.0,0.0,0.0
8396d6fffffffff,2.0,0.0,0.0,0.0,0.0
83978efffffffff,6.0,0.0,0.0,0.0,0.0
