cell_id,Pteroglossus azara,Pteroglossus azara flavirostris,Pteroglossus azara azara,Pteroglossus azara mariae
835f68fffffffff,20.0,0.0,0.0,0.0
835f75fffffffff,12.0,0.0,0.0,0.0
836641fffffffff,216.0,3.0,0.0,0.0
836643fffffffff,2.0,0.0,0.0,0.0
836644fffffffff,3.0,0.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
836652fffffffff,1.0,0.0,0.0,0.0
83665afffffffff,87.0,4.0,0.0,0.0
83665bfffffffff,88.0,4.0,0.0,0.0
83665efffffffff,4.0,0.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0,0.0
83666afffffffff,1.0,0.0,0.0,0.0
83666cfffffffff,10.0,0.0,0.0,0.0
83666efffffffff,13.0,0.0,0.0,0.0
8366c0fffffffff,10.0,0.0,0.0,0.0
8366c1fffffffff,1.0,0.0,0.0,0.0
8366c2fffffffff,43.0,3.0,0.0,0.0
8366c3fffffffff,4.0,0.0,0.0,0.0
8366cefffffffff,10.0,2.0,0.0,0.0
8366d1fffffffff,7.0,2.0,0.0,0.0
8366d8fffffffff,65.0,7.0,0.0,0.0
8366dafffffffff,9.0,0.0,0.0,0.0
8366dbfffffffff,4.0,0.0,0.0,0.0
8366dcfffffffff,606.0,55.0,0.0,0.0
8366ddfffffffff,84.0,13.0,0.0,0.0
8366defffffffff,63.0,10.0,0.0,0.0
8366e1fffffffff,4.0,0.0,0.0,0.0
8366e8fffffffff,6.0,0.0,0.0,0.0
8366eafffffffff,7.0,0.0,0.0,0.0
8366ecfffffffff,22.0,0.0,0.0,0.0
8366eefffffffff,18.0,4.0,0.0,0.0
838a00fffffffff,5.0,0.0,0.0,2.0
838a01fffffffff,4.0,0.0,0.0,4.0
838a05fffffffff,78.0,0.0,0.0,54.0
838a1afffffffff,6.0,0.0,0.0,2.0
838a21fffffffff,1.0,0.0,0.0,0.0
838a45fffffffff,42.0,2.0,0.0,0.0
838a4bfffffffff,3.0,0.0,0.0,0.0
838a52fffffffff,3.0,0.0,0.0,0.0
838a63fffffffff,3.0,0.0,0.0,0.0
838a69fffffffff,76.0,0.0,0.0,0.0
838a6dfffffffff,84.0,0.0,0.0,0.0
838a73fffffffff,4.0,0.0,0.0,0.0
838aa9fffffffff,6.0,0.0,0.0,3.0
838ad8fffffffff,9.0,3.0,0.0,0.0
838ae5fffffffff,7.0,0.0,0.0,0.0
838af0fffffffff,28.0,0.0,0.0,0.0
838af4fffffffff,32.0,0.0,4.0,5.0
838af6fffffffff,5.0,0.0,2.0,0.0
838b40fffffffff,25.0,0.0,0.0,1.0
838b42fffffffff,3.0,0.0,0.0,2.0
838b44fffffffff,115.0,0.0,0.0,11.0
838b45fffffffff,4.0,0.0,0.0,4.0
838b46fffffffff,9.0,0.0,0.0,1.0
838b4afffffffff,1.0,0.0,0.0,1.0
838b51fffffffff,8.0,0.0,0.0,3.0
838b52fffffffff,2.0,0.0,0.0,2.0
838b56fffffffff,2.0,0.0,0.0,0.0
838b5cfffffffff,8.0,0.0,0.0,8.0
838b5dfffffffff,2.0,0.0,0.0,2.0
838b61fffffffff,33.0,0.0,0.0,0.0
838b62fffffffff,26.0,0.0,0.0,1.0
838b63fffffffff,115.0,0.0,0.0,9.0
838b68fffffffff,3.0,0.0,0.0,0.0
838b69fffffffff,10.0,0.0,0.0,0.0
838b6cfffffffff,3.0,0.0,0.0,0.0
838b6efffffffff,55.0,0.0,0.0,0.0
838b70fffffffff,2.0,0.0,0.0,0.0
838b71fffffffff,151.0,0.0,0.0,15.0
838b74fffffffff,16.0,0.0,0.0,0.0
838b75fffffffff,3.0,0.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0,0.0
838f40fffffffff,52.0,0.0,0.0,12.0
838f43fffffffff,7.0,0.0,0.0,4.0
838f44fffffffff,2.0,0.0,0.0,0.0
838f46fffffffff,5.0,0.0,0.0,0.0
838f48fffffffff,3.0,0.0,0.0,0.0
838f49fffffffff,2.0,0.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0,0.0
838f4cfffffffff,2.0,0.0,0.0,0.0
838f61fffffffff,50.0,0.0,0.0,0.0
838f63fffffffff,2.0,0.0,0.0,0.0
838f6efffffffff,17.0,0.0,0.0,0.0
838f70fffffffff,8.0,1.0,0.0,0.0
838f71fffffffff,3.0,0.0,0.0,0.0
838f72fffffffff,60.0,10.0,0.0,0.0
838f73fffffffff,2.0,0.0,0.0,2.0
838f74fffffffff,11.0,0.0,0.0,0.0
838f76fffffffff,11.0,0.0,0.0,0.0
