cell_id,Camaroptera chloronota,Camaroptera chloronota [chloronota Group],Camaroptera chloronota toroensis/kamitugaensis
8458839ffffffff,4.0,0.0,0.0
845890dffffffff,1.0,0.0,0.0
8458943ffffffff,2.0,0.0,0.0
8458d31ffffffff,4.0,0.0,0.0
8458d33ffffffff,19.0,0.0,0.0
8458d35ffffffff,1.0,0.0,0.0
8458d37ffffffff,1.0,0.0,0.0
8458db5ffffffff,5.0,0.0,0.0
8458de5ffffffff,10.0,0.0,0.0
846ac03ffffffff,35.0,0.0,0.0
846ac0bffffffff,52.0,0.0,0.0
846ac15ffffffff,22.0,0.0,0.0
846ac1bffffffff,1.0,0.0,0.0
846ac35ffffffff,2.0,0.0,0.0
846ac89ffffffff,10.0,0.0,0.0
846acadffffffff,3.0,0.0,0.0
846acd1ffffffff,1.0,0.0,0.0
846acd5ffffffff,61.0,0.0,1.0
846ace5ffffffff,6.0,0.0,0.0
846adc1ffffffff,283.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846aea1ffffffff,102.0,0.0,0.0
846aeabffffffff,2.0,0.0,0.0
8475085ffffffff,10.0,0.0,0.0
8475087ffffffff,6.0,0.0,0.0
847508bffffffff,1.0,0.0,0.0
8475095ffffffff,2.0,0.0,0.0
84750c5ffffffff,1.0,0.0,0.0
84750d1ffffffff,123.0,13.0,0.0
84750d7ffffffff,1.0,0.0,0.0
84750d9ffffffff,1.0,0.0,0.0
84750ddffffffff,8.0,0.0,0.0
84751d7ffffffff,1.0,0.0,0.0
8475295ffffffff,117.0,16.0,0.0
84752a5ffffffff,1.0,0.0,0.0
84752abffffffff,53.0,13.0,0.0
84752adffffffff,7.0,0.0,0.0
84752b5ffffffff,13.0,1.0,0.0
84752d3ffffffff,2.0,0.0,0.0
84752dbffffffff,1.0,0.0,0.0
847581bffffffff,1.0,0.0,0.0
847584dffffffff,1.0,0.0,0.0
8475861ffffffff,4.0,0.0,0.0
8475a07ffffffff,5.0,0.0,0.0
8475a65ffffffff,1.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0
8475b05ffffffff,2.0,0.0,0.0
8475b07ffffffff,4.0,0.0,0.0
8475b0dffffffff,1.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4cbffffffff,165.0,0.0,0.0
847a4ddffffffff,175.0,0.0,0.0
8482125ffffffff,6.0,0.0,0.0
8482841ffffffff,2.0,0.0,0.0
848284dffffffff,4.0,0.0,0.0
8482853ffffffff,2.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828bdffffffff,4.0,0.0,0.0
84828d1ffffffff,73.0,0.0,0.0
848290bffffffff,2.0,0.0,0.0
8482a09ffffffff,4.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0
8482a81ffffffff,4.0,0.0,0.0
8482aadffffffff,9.0,0.0,0.0
8482ab3ffffffff,6.0,0.0,0.0
8482ab7ffffffff,10.0,0.0,0.0
8482b0bffffffff,1.0,0.0,0.0
8482b13ffffffff,1.0,0.0,0.0
8482d03ffffffff,12.0,0.0,0.0
8482d07ffffffff,4.0,0.0,0.0
8482d1dffffffff,40.0,0.0,0.0
8482d27ffffffff,16.0,0.0,0.0
8482d2bffffffff,3.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
8482d3dffffffff,4.0,0.0,0.0
8483981ffffffff,2.0,0.0,0.0
