cell_id,Alcedo atthis,Alcedo atthis [atthis Group],Alcedo atthis [hispidoides Group]
82075ffffffffff,6.0,0.0,0.0
82089ffffffffff,20.0,2.0,0.0
820997fffffffff,2.0,2.0,0.0
821187fffffffff,4.0,4.0,0.0
82184ffffffffff,33.0,0.0,0.0
82185ffffffffff,28.0,1.0,0.0
82186ffffffffff,6.0,2.0,0.0
821947fffffffff,2.0,2.0,0.0
82194ffffffffff,3.0,2.0,0.0
821957fffffffff,4.0,2.0,0.0
82195ffffffffff,8.0,8.0,0.0
821e07fffffffff,4.0,0.0,0.0
821e0ffffffffff,2.0,0.0,0.0
821e5ffffffffff,4.0,0.0,0.0
821ea7fffffffff,14.0,0.0,0.0
821ec7fffffffff,3.0,0.0,0.0
821ecffffffffff,7.0,0.0,0.0
821ed7fffffffff,1.0,0.0,0.0
821edffffffffff,2.0,0.0,0.0
821ee7fffffffff,10.0,0.0,0.0
821eeffffffffff,2.0,0.0,0.0
821ef7fffffffff,3.0,0.0,0.0
821f37fffffffff,1.0,0.0,0.0
821f87fffffffff,5.0,0.0,0.0
821f9ffffffffff,5.0,0.0,0.0
821fa7fffffffff,1.0,0.0,0.0
821faffffffffff,23.0,0.0,0.0
821fb7fffffffff,2.0,0.0,0.0
82201ffffffffff,1.0,0.0,0.0
8220a7fffffffff,6.0,0.0,0.0
8220b7fffffffff,4.0,0.0,0.0
822c07fffffffff,1.0,0.0,0.0
822c27fffffffff,1.0,0.0,0.0
822d07fffffffff,8.0,3.0,0.0
822d0ffffffffff,1.0,1.0,0.0
822d37fffffffff,6.0,5.0,0.0
822db7fffffffff,14.0,3.0,0.0
823087fffffffff,4.0,0.0,0.0
82309ffffffffff,72.0,3.0,0.0
8231affffffffff,2.0,2.0,0.0
823817fffffffff,1.0,0.0,0.0
823867fffffffff,8.0,0.0,0.0
823877fffffffff,14.0,0.0,0.0
823907fffffffff,76.0,0.0,0.0
82390ffffffffff,2.0,0.0,0.0
823917fffffffff,21.0,0.0,0.0
82391ffffffffff,3.0,0.0,0.0
823927fffffffff,37.0,7.0,0.0
82392ffffffffff,13.0,2.0,0.0
823937fffffffff,9.0,0.0,0.0
823947fffffffff,9.0,2.0,0.0
823957fffffffff,3.0,0.0,0.0
82396ffffffffff,1.0,0.0,0.0
823977fffffffff,49.0,12.0,0.0
823c07fffffffff,7.0,4.0,0.0
823c0ffffffffff,1.0,0.0,0.0
823c17fffffffff,9.0,9.0,0.0
823c1ffffffffff,56.0,5.0,0.0
823c37fffffffff,5.0,0.0,0.0
823c87fffffffff,3.0,0.0,0.0
823c8ffffffffff,1.0,0.0,0.0
823caffffffffff,7.0,0.0,0.0
823cd7fffffffff,3.0,0.0,0.0
823ceffffffffff,5.0,5.0,0.0
823cf7fffffffff,37.0,0.0,0.0
823d87fffffffff,8.0,0.0,0.0
823d97fffffffff,1.0,0.0,0.0
823daffffffffff,7.0,7.0,0.0
823db7fffffffff,2.0,0.0,0.0
823e67fffffffff,13.0,6.0,0.0
823e6ffffffffff,15.0,2.0,0.0
823e77fffffffff,2.0,0.0,0.0
823f4ffffffffff,1.0,1.0,0.0
823f67fffffffff,3.0,3.0,0.0
823f6ffffffffff,2.0,0.0,0.0
824047fffffffff,11.0,11.0,0.0
82404ffffffffff,56.0,56.0,0.0
824067fffffffff,4.0,4.0,0.0
82406ffffffffff,1.0,1.0,0.0
824077fffffffff,2.0,2.0,0.0
8240b7fffffffff,1.0,1.0,0.0
82411ffffffffff,8.0,8.0,0.0
82416ffffffffff,2.0,0.0,0.0
824197fffffffff,2.0,2.0,0.0
8241a7fffffffff,2.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0
8242c7fffffffff,12.0,5.0,0.0
8242cffffffffff,3.0,3.0,0.0
8242e7fffffffff,2.0,2.0,0.0
