cell_id,Epinecrophylla haematonota,Epinecrophylla haematonota pyrrhonota,Epinecrophylla haematonota fjeldsaai,Epinecrophylla haematonota haematonota,Epinecrophylla haematonota fjeldsaai x haematonota
8366c3fffffffff,3.0,3.0,0.0,0.0,0.0
8366cefffffffff,5.0,0.0,0.0,5.0,0.0
8366dcfffffffff,2.0,0.0,2.0,0.0,0.0
838a05fffffffff,2.0,0.0,0.0,0.0,0.0
838a63fffffffff,14.0,0.0,0.0,14.0,0.0
838af0fffffffff,1.0,1.0,0.0,0.0,0.0
838b46fffffffff,1.0,0.0,0.0,1.0,0.0
838b5cfffffffff,2.0,0.0,0.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0,2.0,0.0
838f40fffffffff,4.0,0.0,0.0,0.0,0.0
838f48fffffffff,9.0,0.0,0.0,9.0,0.0
838f4dfffffffff,2.0,0.0,0.0,0.0,0.0
838f6bfffffffff,17.0,0.0,0.0,7.0,0.0
