cell_id,Chlorospingus canigularis,Chlorospingus canigularis olivaceiceps,Chlorospingus canigularis [canigularis Group]
82660ffffffffff,499.0,0.0,2.0
82661ffffffffff,183.0,0.0,8.0
82662ffffffffff,1.0,0.0,0.0
8266a7fffffffff,20.0,0.0,0.0
8266b7fffffffff,802.0,0.0,0.0
8266c7fffffffff,43.0,0.0,0.0
8266d7fffffffff,26.0,0.0,1.0
8266dffffffffff,480.0,0.0,54.0
8266e7fffffffff,1186.0,0.0,15.0
8266f7fffffffff,1532.0,0.0,20.0
82679ffffffffff,15.0,0.0,0.0
826d6ffffffffff,133.0,0.0,0.0
828b67fffffffff,48.0,0.0,0.0
828f0ffffffffff,312.0,0.0,33.0
828f2ffffffffff,69.0,0.0,7.0
828f47fffffffff,20.0,0.0,2.0
828f57fffffffff,5.0,0.0,0.0
828f77fffffffff,728.0,0.0,79.0
