cell_id,Dicaeum trigonostigma,Dicaeum trigonostigma [trigonostigma Group],Dicaeum trigonostigma xanthopygium/dorsale,Dicaeum trigonostigma [sibuyanicum Group],Dicaeum trigonostigma [cinereigulare Group],Dicaeum trigonostigma sibutuense/assimile
833cd4fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
833cf3fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
836412fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836416fffffffff,140.0,0.0,0.0,0.0,0.0,0.0
836422fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
836426fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
836430fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
836431fffffffff,272.0,0.0,0.0,0.0,0.0,0.0
836432fffffffff,173.0,0.0,0.0,0.0,0.0,0.0
836433fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
836434fffffffff,197.0,0.0,0.0,0.0,0.0,0.0
836435fffffffff,97.0,0.0,0.0,0.0,0.0,0.0
836480fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8364a1fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8364a5fffffffff,66.0,0.0,0.0,0.0,0.0,0.0
836500fffffffff,185.0,0.0,0.0,0.0,0.0,0.0
836501fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836502fffffffff,63.0,0.0,0.0,0.0,0.0,0.0
836503fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
836504fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836505fffffffff,521.0,0.0,0.0,0.0,0.0,0.0
836506fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836509fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83650dfffffffff,24.0,0.0,0.0,0.0,0.0,0.0
836511fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836518fffffffff,322.0,0.0,0.0,0.0,0.0,0.0
836519fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
83651bfffffffff,245.0,0.0,0.0,0.0,0.0,0.0
83651cfffffffff,535.0,0.0,0.0,0.0,0.0,0.0
83651dfffffffff,46.0,0.0,0.0,0.0,0.0,0.0
83651efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836520fffffffff,403.0,0.0,0.0,0.0,0.0,0.0
836522fffffffff,100.0,0.0,0.0,0.0,0.0,0.0
836523fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836525fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836526fffffffff,968.0,0.0,0.0,0.0,0.0,0.0
836529fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83652bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83652cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83652dfffffffff,13.0,0.0,0.0,0.0,0.0,0.0
836535fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836552fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836554fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
836556fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836570fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
836573fffffffff,31.0,0.0,0.0,0.0,0.0,0.0
836589fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836802fffffffff,83.0,0.0,0.0,0.0,0.0,0.0
836810fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
836811fffffffff,340.0,0.0,0.0,0.0,0.0,0.0
836812fffffffff,60.0,0.0,0.0,0.0,0.0,0.0
836815fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
836816fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836818fffffffff,504.0,0.0,0.0,0.0,0.0,0.0
836819fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83681afffffffff,37.0,0.0,0.0,0.0,0.0,0.0
83681cfffffffff,494.0,0.0,0.0,0.0,0.0,0.0
83681dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
