cell_id,Myiothlypis luteoviridis,Myiothlypis luteoviridis [luteoviridis Group],Myiothlypis luteoviridis striaticeps,Myiothlypis luteoviridis euophrys
82660ffffffffff,41.0,0.0,0.0,0.0
82661ffffffffff,819.0,9.0,0.0,0.0
82662ffffffffff,40.0,3.0,0.0,0.0
8266c7fffffffff,226.0,0.0,0.0,0.0
8266d7fffffffff,73.0,0.0,0.0,0.0
8266dffffffffff,209.0,16.0,0.0,0.0
8266e7fffffffff,632.0,8.0,0.0,0.0
8266f7fffffffff,78.0,1.0,0.0,0.0
828b27fffffffff,30.0,0.0,0.0,0.0
828b2ffffffffff,117.0,0.0,0.0,3.0
828b67fffffffff,536.0,0.0,11.0,0.0
828b6ffffffffff,297.0,0.0,1.0,0.0
828b77fffffffff,10.0,0.0,0.0,0.0
828e67fffffffff,220.0,0.0,0.0,0.0
828e6ffffffffff,15.0,0.0,0.0,0.0
828f0ffffffffff,4.0,4.0,0.0,0.0
828f2ffffffffff,3.0,0.0,0.0,0.0
828f47fffffffff,55.0,0.0,0.0,0.0
828f4ffffffffff,40.0,0.0,0.0,0.0
828f57fffffffff,256.0,0.0,0.0,0.0
828f5ffffffffff,264.0,0.0,25.0,0.0
828f77fffffffff,679.0,46.0,0.0,0.0
82b327fffffffff,130.0,0.0,0.0,5.0
