cell_id,Mimus gilvus,Mimus gilvus gracilis/leucophaeus,Mimus gilvus [gilvus Group],Mimus gilvus magnirostris
84391abffffffff,2.0,0.0,0.0,0.0
84446e9ffffffff,63.0,0.0,0.0,0.0
8444ae9ffffffff,62.0,0.0,2.0,0.0
8445019ffffffff,2.0,0.0,0.0,0.0
844505dffffffff,3.0,0.0,0.0,0.0
84450adffffffff,5.0,0.0,0.0,0.0
84450b1ffffffff,6.0,3.0,0.0,0.0
8445203ffffffff,3.0,0.0,0.0,0.0
844520dffffffff,1.0,0.0,0.0,0.0
8445215ffffffff,1.0,0.0,0.0,0.0
844523bffffffff,6.0,0.0,0.0,0.0
8445251ffffffff,3.0,0.0,0.0,0.0
844525bffffffff,8.0,0.0,0.0,0.0
84452a5ffffffff,6.0,0.0,0.0,0.0
84452c3ffffffff,4.0,0.0,0.0,0.0
84452c5ffffffff,1.0,0.0,0.0,0.0
84452c7ffffffff,2.0,0.0,0.0,0.0
84452cbffffffff,2.0,0.0,0.0,0.0
84452e1ffffffff,6.0,0.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0,0.0
8445313ffffffff,7.0,0.0,0.0,0.0
8445727ffffffff,1.0,0.0,0.0,0.0
844996dffffffff,1.0,1.0,0.0,0.0
845e467ffffffff,4.0,0.0,0.0,0.0
845e667ffffffff,2.0,0.0,2.0,0.0
845e753ffffffff,2.0,0.0,0.0,0.0
845f583ffffffff,22.0,0.0,22.0,0.0
845f58bffffffff,9.0,0.0,9.0,0.0
845f5b5ffffffff,20.0,0.0,8.0,0.0
845f5b9ffffffff,6.0,0.0,6.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0
84660b1ffffffff,1.0,0.0,0.0,0.0
84660bdffffffff,2.0,0.0,0.0,0.0
84660c7ffffffff,7.0,0.0,0.0,0.0
8466107ffffffff,6.0,0.0,0.0,0.0
8466129ffffffff,2.0,0.0,0.0,0.0
8466163ffffffff,1.0,0.0,0.0,0.0
8466193ffffffff,2.0,0.0,2.0,0.0
84661d1ffffffff,2.0,0.0,2.0,0.0
8466217ffffffff,2.0,0.0,2.0,0.0
8466239ffffffff,1.0,0.0,0.0,0.0
846623dffffffff,2.0,0.0,2.0,0.0
8466415ffffffff,6.0,0.0,0.0,0.0
846641dffffffff,2.0,0.0,0.0,0.0
8466a0bffffffff,13.0,0.0,6.0,0.0
8466a1dffffffff,5.0,0.0,0.0,0.0
8466a5bffffffff,44.0,0.0,0.0,0.0
8466b09ffffffff,2.0,0.0,0.0,0.0
8466b41ffffffff,19.0,0.0,2.0,0.0
8466b45ffffffff,84.0,0.0,0.0,0.0
8466b47ffffffff,4.0,0.0,0.0,0.0
8466b4dffffffff,122.0,0.0,0.0,0.0
8466b51ffffffff,62.0,0.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0,0.0
8466b55ffffffff,4.0,0.0,2.0,0.0
8466b57ffffffff,2.0,0.0,0.0,0.0
8466d05ffffffff,5.0,0.0,0.0,0.0
8466d25ffffffff,5.0,0.0,0.0,0.0
