cell_id,Anthus gustavi,Anthus gustavi gustavi/stejnegeri,Anthus gustavi menzbieri
840d937ffffffff,1.0,0.0,0.0
8414ae5ffffffff,24.0,0.0,23.0
8414cc5ffffffff,1.0,0.0,0.0
841592bffffffff,2.0,0.0,0.0
8416011ffffffff,3.0,0.0,0.0
8416013ffffffff,8.0,0.0,0.0
84160c7ffffffff,14.0,0.0,0.0
84160e9ffffffff,1.0,0.0,0.0
8416109ffffffff,5.0,0.0,0.0
84171a7ffffffff,6.0,0.0,0.0
841756bffffffff,2.0,0.0,0.0
84176bdffffffff,2.0,0.0,0.0
84178b3ffffffff,2.0,0.0,0.0
842ecb9ffffffff,3.0,0.0,0.0
843000dffffffff,2.0,0.0,0.0
843019bffffffff,4.0,0.0,0.0
843028bffffffff,1.0,0.0,0.0
84302b7ffffffff,18.0,0.0,0.0
8430305ffffffff,3.0,0.0,0.0
8430325ffffffff,7.0,0.0,0.0
8430833ffffffff,3.0,0.0,0.0
8430985ffffffff,2.0,0.0,0.0
8430991ffffffff,1.0,0.0,0.0
84309a5ffffffff,4.0,0.0,0.0
84309bdffffffff,10.0,0.0,0.0
84309d1ffffffff,1.0,0.0,0.0
84309d9ffffffff,6.0,0.0,0.0
8430c15ffffffff,2.0,0.0,0.0
8430c4dffffffff,3.0,0.0,0.0
8430e07ffffffff,2.0,0.0,0.0
8430e0bffffffff,5.0,0.0,0.0
8430e25ffffffff,11.0,0.0,0.0
8430e2bffffffff,4.0,0.0,0.0
8430e31ffffffff,2.0,0.0,0.0
84312c5ffffffff,2.0,0.0,0.0
84316e7ffffffff,3.0,0.0,0.0
8431889ffffffff,2.0,0.0,0.0
84318d1ffffffff,2.0,0.0,0.0
84318d3ffffffff,5.0,0.0,0.0
84318d7ffffffff,8.0,0.0,0.0
8431aa5ffffffff,2.0,0.0,0.0
8441035ffffffff,1.0,0.0,0.0
8441037ffffffff,1.0,0.0,0.0
84411cbffffffff,31.0,0.0,0.0
844192dffffffff,2.0,0.0,0.0
8441a09ffffffff,4.0,0.0,0.0
8441a0dffffffff,1.0,0.0,0.0
8441a43ffffffff,5.0,0.0,0.0
8441a55ffffffff,25.0,0.0,0.0
8441b29ffffffff,3.0,0.0,0.0
8441b43ffffffff,37.0,0.0,0.0
8441b5dffffffff,4.0,0.0,0.0
8441b61ffffffff,1.0,0.0,0.0
844b26dffffffff,29.0,0.0,0.0
844b30bffffffff,2.0,0.0,0.0
844b339ffffffff,1.0,0.0,0.0
844b349ffffffff,1.0,0.0,0.0
844b847ffffffff,3.0,0.0,0.0
844b863ffffffff,3.0,0.0,0.0
844b86dffffffff,255.0,0.0,0.0
844b9cdffffffff,1.0,0.0,0.0
844ba01ffffffff,1.0,0.0,0.0
844ba03ffffffff,2.0,0.0,0.0
844ba09ffffffff,24.0,0.0,0.0
844ba0bffffffff,65.0,0.0,0.0
844ba0dffffffff,3.0,0.0,0.0
844ba11ffffffff,1.0,0.0,0.0
844ba15ffffffff,98.0,0.0,0.0
844ba19ffffffff,4.0,0.0,0.0
844ba1dffffffff,81.0,0.0,0.0
844ba21ffffffff,3.0,0.0,0.0
844ba29ffffffff,1.0,0.0,0.0
844ba2bffffffff,4.0,0.0,0.0
844ba2dffffffff,2.0,0.0,0.0
844ba35ffffffff,3.0,0.0,0.0
844ba39ffffffff,17.0,0.0,0.0
844ba3dffffffff,6.0,0.0,0.0
844ba53ffffffff,4.0,0.0,0.0
844ba57ffffffff,13.0,0.0,0.0
844ba63ffffffff,1.0,0.0,0.0
844bb11ffffffff,21.0,0.0,0.0
844bb17ffffffff,2.0,0.0,0.0
844bb19ffffffff,97.0,0.0,0.0
844bb51ffffffff,25.0,0.0,0.0
844bb53ffffffff,9.0,0.0,0.0
844bb59ffffffff,19.0,0.0,0.0
8468285ffffffff,8.0,0.0,0.0
846856bffffffff,15.0,0.0,0.0
84685c7ffffffff,1.0,0.0,0.0
8468621ffffffff,5.0,0.0,0.0
8468651ffffffff,2.0,0.0,0.0
846871bffffffff,1.0,0.0,0.0
846871dffffffff,3.0,0.0,0.0
84694e1ffffffff,7.0,0.0,0.0
84694e5ffffffff,12.0,0.0,0.0
84694edffffffff,47.0,0.0,0.0
8469583ffffffff,2.0,0.0,0.0
8469685ffffffff,4.0,0.0,0.0
84696adffffffff,1.0,0.0,0.0
