cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
820807fffffffff,8.0,0.0,0.0
820817fffffffff,6.0,0.0,0.0
820837fffffffff,7.0,2.0,0.0
820887fffffffff,293.0,123.0,0.0
820897fffffffff,14.0,6.0,0.0
8208a7fffffffff,12.0,5.0,0.0
8208b7fffffffff,81.0,4.0,0.0
820987fffffffff,1.0,0.0,0.0
82098ffffffffff,8.0,0.0,0.0
820997fffffffff,37.0,6.0,0.0
82099ffffffffff,145.0,19.0,0.0
821187fffffffff,22.0,4.0,0.0
82118ffffffffff,14.0,0.0,0.0
8211affffffffff,11.0,3.0,0.0
821847fffffffff,157.0,14.0,0.0
82184ffffffffff,305.0,0.0,0.0
821867fffffffff,101.0,5.0,0.0
82186ffffffffff,497.0,27.0,0.0
821877fffffffff,96.0,8.0,0.0
82190ffffffffff,26.0,0.0,0.0
821947fffffffff,2811.0,457.0,0.0
82194ffffffffff,5842.0,1084.0,0.0
821957fffffffff,106.0,19.0,0.0
82195ffffffffff,4076.0,487.0,0.0
82196ffffffffff,575.0,11.0,0.0
821977fffffffff,40.0,0.0,0.0
821e07fffffffff,3424.0,168.0,0.0
821e0ffffffffff,1068.0,19.0,0.0
821e17fffffffff,524.0,22.0,0.0
821e1ffffffffff,512.0,33.0,0.0
821e27fffffffff,597.0,12.0,0.0
821e2ffffffffff,304.0,4.0,0.0
821e37fffffffff,4715.0,43.0,0.0
821e57fffffffff,23.0,0.0,0.0
821e5ffffffffff,41.0,0.0,0.0
821e77fffffffff,10.0,0.0,0.0
821e87fffffffff,262.0,23.0,0.0
821e8ffffffffff,12.0,0.0,0.0
821e9ffffffffff,2.0,0.0,0.0
821ea7fffffffff,301.0,13.0,0.0
821eaffffffffff,31.0,2.0,0.0
821eb7fffffffff,37.0,4.0,0.0
821ec7fffffffff,1792.0,90.0,0.0
821ecffffffffff,897.0,61.0,0.0
821ed7fffffffff,214.0,11.0,0.0
821edffffffffff,46.0,2.0,0.0
821ee7fffffffff,56.0,0.0,0.0
821eeffffffffff,266.0,30.0,0.0
821ef7fffffffff,261.0,24.0,0.0
821f07fffffffff,176.0,6.0,0.0
821f0ffffffffff,43.0,0.0,0.0
821f17fffffffff,966.0,20.0,0.0
821f1ffffffffff,1124.0,70.0,0.0
821f27fffffffff,61.0,7.0,0.0
821f2ffffffffff,252.0,33.0,0.0
821f37fffffffff,23.0,7.0,0.0
821f47fffffffff,13.0,0.0,0.0
821f57fffffffff,259.0,10.0,0.0
821f5ffffffffff,66.0,14.0,0.0
821f6ffffffffff,2.0,0.0,0.0
821f77fffffffff,54.0,0.0,0.0
821f87fffffffff,1537.0,214.0,0.0
821f8ffffffffff,1522.0,512.0,0.0
821f97fffffffff,565.0,236.0,0.0
821f9ffffffffff,870.0,102.0,0.0
821fa7fffffffff,1095.0,51.0,0.0
821faffffffffff,3689.0,127.0,0.0
821fb7fffffffff,831.0,57.0,0.0
822c07fffffffff,25.0,1.0,0.0
822c0ffffffffff,32.0,0.0,0.0
822c17fffffffff,14.0,0.0,0.0
822c1ffffffffff,83.0,2.0,0.0
822c27fffffffff,47.0,5.0,0.0
822c2ffffffffff,286.0,0.0,0.0
822c37fffffffff,6.0,0.0,0.0
822c77fffffffff,34.0,0.0,0.0
822c8ffffffffff,1.0,1.0,0.0
822caffffffffff,37.0,4.0,0.0
822cc7fffffffff,160.0,2.0,0.0
822ccffffffffff,32.0,0.0,0.0
822ce7fffffffff,11.0,0.0,0.0
822cf7fffffffff,10.0,8.0,0.0
822d07fffffffff,88.0,0.0,0.0
822d17fffffffff,26.0,0.0,0.0
822d1ffffffffff,30.0,0.0,0.0
822d37fffffffff,233.0,6.0,0.0
822d57fffffffff,16.0,0.0,0.0
822d5ffffffffff,2.0,0.0,0.0
822d77fffffffff,16.0,0.0,0.0
822daffffffffff,13.0,0.0,0.0
823967fffffffff,276.0,21.0,0.0
82396ffffffffff,585.0,42.0,0.0
823977fffffffff,44.0,2.0,0.0
823f27fffffffff,4.0,0.0,0.0
823f2ffffffffff,19.0,4.0,0.0
823f67fffffffff,88.0,1.0,0.0
823f6ffffffffff,51.0,2.0,0.0
