cell_id,Aethopyga saturata,Aethopyga saturata [saturata Group],Aethopyga saturata johnsi
843c0a5ffffffff,7.0,0.0,0.0
843c0adffffffff,3.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c537ffffffff,1.0,0.0,0.0
843c5a1ffffffff,3.0,0.0,0.0
843cc55ffffffff,1.0,0.0,0.0
843cc5bffffffff,3.0,0.0,0.0
843cdd5ffffffff,2.0,0.0,0.0
843ce11ffffffff,3.0,0.0,0.0
843ce15ffffffff,7.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0
843ce5bffffffff,6.0,0.0,0.0
843cec9ffffffff,2.0,0.0,0.0
843cecdffffffff,2.0,0.0,0.0
843ced1ffffffff,1.0,0.0,0.0
84404c5ffffffff,6.0,6.0,0.0
8441659ffffffff,3.0,0.0,0.0
846434bffffffff,6.0,0.0,0.0
8464911ffffffff,7.0,0.0,0.0
8464b0bffffffff,2.0,0.0,0.0
846500bffffffff,265.0,0.0,0.0
846502bffffffff,1.0,0.0,0.0
8465033ffffffff,8.0,0.0,0.0
8465039ffffffff,26.0,0.0,0.0
8465055ffffffff,42.0,0.0,0.0
84651c1ffffffff,11.0,0.0,0.0
84651c9ffffffff,12.0,0.0,0.0
84658e7ffffffff,2.0,0.0,0.0
