cell_id,Melozone leucotis,Melozone leucotis occipitalis,Melozone leucotis leucotis/nigrior
8445343ffffffff,93.0,0.0,0.0
8466b41ffffffff,3.0,0.0,0.0
8466b45ffffffff,21.0,0.0,0.0
8466b4dffffffff,2167.0,0.0,0.0
846d04bffffffff,17.0,0.0,0.0
846d059ffffffff,58.0,3.0,0.0
846d05bffffffff,328.0,17.0,0.0
846d237ffffffff,4.0,0.0,0.0
846d283ffffffff,49.0,0.0,0.0
846d287ffffffff,9.0,0.0,0.0
846d291ffffffff,95.0,0.0,0.0
846d295ffffffff,386.0,0.0,0.0
846d297ffffffff,37.0,0.0,0.0
846d2a9ffffffff,33.0,3.0,0.0
846d2adffffffff,4.0,0.0,0.0
846d2b9ffffffff,971.0,18.0,0.0
846d2e5ffffffff,22.0,0.0,0.0
846d651ffffffff,55.0,0.0,0.0
846d653ffffffff,112.0,0.0,0.0
846d655ffffffff,43.0,0.0,0.0
846d657ffffffff,23.0,0.0,0.0
846d683ffffffff,1.0,0.0,0.0
846d691ffffffff,2400.0,0.0,0.0
846d693ffffffff,652.0,0.0,0.0
846d695ffffffff,29.0,0.0,0.0
846d69bffffffff,2005.0,0.0,0.0
846d69dffffffff,4035.0,0.0,50.0
846d741ffffffff,70.0,0.0,0.0
846d743ffffffff,1.0,0.0,0.0
846d745ffffffff,4.0,0.0,0.0
846d74bffffffff,3.0,0.0,0.0
