cell_id,Taeniopygia guttata,Taeniopygia guttata guttata,Taeniopygia guttata castanotis
836142fffffffff,1.0,0.0,0.0
83945afffffffff,5.0,0.0,0.0
83945cfffffffff,2.0,0.0,0.0
83945dfffffffff,2.0,0.0,0.0
839480fffffffff,303.0,0.0,99.0
839481fffffffff,477.0,0.0,197.0
839482fffffffff,26.0,0.0,11.0
839485fffffffff,33.0,0.0,1.0
839489fffffffff,24.0,0.0,4.0
83948cfffffffff,18.0,0.0,2.0
83948dfffffffff,13.0,0.0,0.0
83948efffffffff,40.0,0.0,31.0
839490fffffffff,17.0,0.0,2.0
839491fffffffff,24.0,0.0,13.0
839492fffffffff,10.0,0.0,2.0
839496fffffffff,23.0,0.0,0.0
8394aafffffffff,29.0,0.0,6.0
8394abfffffffff,7.0,0.0,1.0
8394aefffffffff,17.0,0.0,6.0
8394c1fffffffff,18.0,0.0,0.0
8394c3fffffffff,2.0,0.0,2.0
8394c4fffffffff,4.0,0.0,0.0
8394c6fffffffff,44.0,0.0,2.0
8394c9fffffffff,65.0,0.0,7.0
8394ccfffffffff,10.0,0.0,0.0
8394d0fffffffff,2.0,0.0,0.0
8394d4fffffffff,8.0,0.0,2.0
8394d5fffffffff,31.0,0.0,6.0
8394d6fffffffff,2.0,0.0,0.0
8394defffffffff,2.0,0.0,0.0
8394e2fffffffff,112.0,0.0,18.0
8394e3fffffffff,20.0,0.0,7.0
8394e8fffffffff,6.0,0.0,3.0
8394eafffffffff,14.0,0.0,0.0
8394ebfffffffff,19.0,0.0,8.0
8394edfffffffff,36.0,0.0,8.0
8394eefffffffff,40.0,0.0,18.0
8394f1fffffffff,1.0,0.0,0.0
8394f2fffffffff,50.0,0.0,3.0
8394f4fffffffff,2.0,0.0,0.0
8394f5fffffffff,3.0,0.0,0.0
8394f6fffffffff,9.0,0.0,0.0
839c25fffffffff,2.0,0.0,0.0
839c2cfffffffff,53.0,0.0,7.0
839c2dfffffffff,125.0,0.0,33.0
839c41fffffffff,1.0,0.0,0.0
839c48fffffffff,2.0,0.0,0.0
839c58fffffffff,2.0,0.0,0.0
839c60fffffffff,77.0,0.0,28.0
839c62fffffffff,4.0,0.0,4.0
839c64fffffffff,61.0,0.0,24.0
839c65fffffffff,38.0,0.0,11.0
839c66fffffffff,26.0,0.0,8.0
839c68fffffffff,10.0,0.0,2.0
839c69fffffffff,37.0,0.0,10.0
839c6afffffffff,7.0,0.0,2.0
839c6bfffffffff,2.0,0.0,0.0
839c6cfffffffff,55.0,0.0,19.0
839c6dfffffffff,44.0,0.0,19.0
839c6efffffffff,6.0,0.0,0.0
839c74fffffffff,94.0,0.0,27.0
839c75fffffffff,7.0,0.0,4.0
839d08fffffffff,1.0,0.0,0.0
839d0bfffffffff,135.0,0.0,11.0
839d0dfffffffff,1.0,0.0,0.0
839d0efffffffff,2.0,0.0,0.0
839d21fffffffff,4.0,0.0,2.0
839d25fffffffff,4.0,0.0,0.0
839d28fffffffff,28.0,0.0,26.0
839d29fffffffff,3.0,0.0,0.0
839d2afffffffff,3.0,0.0,0.0
839d2cfffffffff,7.0,0.0,5.0
839d2dfffffffff,3.0,0.0,0.0
839d40fffffffff,14.0,0.0,5.0
839d41fffffffff,26.0,0.0,15.0
839d42fffffffff,4.0,0.0,3.0
839d43fffffffff,17.0,0.0,9.0
839d44fffffffff,343.0,0.0,116.0
839d45fffffffff,36.0,0.0,7.0
839d46fffffffff,161.0,0.0,65.0
839d48fffffffff,28.0,0.0,10.0
839d4afffffffff,412.0,0.0,110.0
839d4cfffffffff,65.0,0.0,17.0
839d4dfffffffff,6.0,0.0,0.0
839d4efffffffff,7.0,0.0,0.0
839d50fffffffff,7.0,0.0,4.0
839d53fffffffff,2.0,0.0,0.0
839d54fffffffff,6.0,0.0,2.0
839d55fffffffff,21.0,0.0,2.0
839d58fffffffff,2.0,0.0,0.0
